民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
103,1,3,中和區,0歲,0,0,不相關,0.0,男,1705
103,1,3,中和區,0歲,0,0,不相關,0.0,女,1572
103,1,3,中和區,1歲,1,1,不相關,0.0,男,2156
103,1,3,中和區,1歲,1,1,不相關,0.0,女,2032
103,1,3,中和區,2歲,2,2,不相關,0.0,男,1775
103,1,3,中和區,2歲,2,2,不相關,0.0,女,1620
103,1,3,中和區,3歲,3,3,不相關,0.0,男,1387
103,1,3,中和區,3歲,3,3,不相關,0.0,女,1221
103,1,3,中和區,4歲,4,4,不相關,0.0,男,1611
103,1,3,中和區,4歲,4,4,不相關,0.0,女,1441
103,1,3,中和區,5歲,5,5,不相關,0.0,男,1564
103,1,3,中和區,5歲,5,5,不相關,0.0,女,1489
103,1,3,中和區,6歲,6,6,不相關,0.0,男,1640
103,1,3,中和區,6歲,6,6,不相關,0.0,女,1503
103,1,3,中和區,7歲,7,7,不相關,0.0,男,1685
103,1,3,中和區,7歲,7,7,不相關,0.0,女,1517
103,1,3,中和區,8歲,8,8,不相關,0.0,男,1638
103,1,3,中和區,8歲,8,8,不相關,0.0,女,1423
103,1,3,中和區,9歲,9,9,不相關,0.0,男,1664
103,1,3,中和區,9歲,9,9,不相關,0.0,女,1471
103,1,3,中和區,10歲,10,10,不相關,0.0,男,1663
103,1,3,中和區,10歲,10,10,不相關,0.0,女,1444
103,1,3,中和區,11歲,11,11,不相關,0.0,男,1656
103,1,3,中和區,11歲,11,11,不相關,0.0,女,1475
103,1,3,中和區,12歲,12,12,不相關,0.0,男,1556
103,1,3,中和區,12歲,12,12,不相關,0.0,女,1450
103,1,3,中和區,13歲,13,13,不相關,0.0,男,2020
103,1,3,中和區,13歲,13,13,不相關,0.0,女,1906
103,1,3,中和區,14歲,14,14,不相關,0.0,男,1942
103,1,3,中和區,14歲,14,14,不相關,0.0,女,1841
103,1,3,中和區,15歲,15,15,不相關,0.0,男,1970
103,1,3,中和區,15歲,15,15,不相關,0.0,女,1871
103,1,3,中和區,16歲,16,16,不相關,0.0,男,2405
103,1,3,中和區,16歲,16,16,不相關,0.0,女,2309
103,1,3,中和區,17歲,17,17,不相關,0.0,男,2490
103,1,3,中和區,17歲,17,17,不相關,0.0,女,2467
103,1,3,中和區,18歲,18,18,完全落入,1.0,男,2641
103,1,3,中和區,18歲,18,18,完全落入,1.0,女,2435
103,1,3,中和區,19歲,19,19,完全落入,1.0,男,2561
103,1,3,中和區,19歲,19,19,完全落入,1.0,女,2370
103,1,3,中和區,20歲,20,20,完全落入,1.0,男,2720
103,1,3,中和區,20歲,20,20,完全落入,1.0,女,2518
103,1,3,中和區,21歲,21,21,完全落入,1.0,男,2830
103,1,3,中和區,21歲,21,21,完全落入,1.0,女,2479
103,1,3,中和區,22歲,22,22,完全落入,1.0,男,2686
103,1,3,中和區,22歲,22,22,完全落入,1.0,女,2504
103,1,3,中和區,23歲,23,23,完全落入,1.0,男,3078
103,1,3,中和區,23歲,23,23,完全落入,1.0,女,2723
103,1,3,中和區,24歲,24,24,完全落入,1.0,男,2810
103,1,3,中和區,24歲,24,24,完全落入,1.0,女,2638
103,1,3,中和區,25歲,25,25,完全落入,1.0,男,3159
103,1,3,中和區,25歲,25,25,完全落入,1.0,女,2996
103,1,3,中和區,26歲,26,26,完全落入,1.0,男,2908
103,1,3,中和區,26歲,26,26,完全落入,1.0,女,2794
103,1,3,中和區,27歲,27,27,完全落入,1.0,男,2713
103,1,3,中和區,27歲,27,27,完全落入,1.0,女,2791
103,1,3,中和區,28歲,28,28,完全落入,1.0,男,3248
103,1,3,中和區,28歲,28,28,完全落入,1.0,女,3149
103,1,3,中和區,29歲,29,29,完全落入,1.0,男,3566
103,1,3,中和區,29歲,29,29,完全落入,1.0,女,3420
103,1,3,中和區,30歲,30,30,完全落入,1.0,男,3695
103,1,3,中和區,30歲,30,30,完全落入,1.0,女,3616
103,1,3,中和區,31歲,31,31,完全落入,1.0,男,3949
103,1,3,中和區,31歲,31,31,完全落入,1.0,女,3886
103,1,3,中和區,32歲,32,32,完全落入,1.0,男,3933
103,1,3,中和區,32歲,32,32,完全落入,1.0,女,4017
103,1,3,中和區,33歲,33,33,完全落入,1.0,男,3961
103,1,3,中和區,33歲,33,33,完全落入,1.0,女,4019
103,1,3,中和區,34歲,34,34,完全落入,1.0,男,4175
103,1,3,中和區,34歲,34,34,完全落入,1.0,女,4195
103,1,3,中和區,35歲,35,35,完全落入,1.0,男,3983
103,1,3,中和區,35歲,35,35,完全落入,1.0,女,4047
103,1,3,中和區,36歲,36,36,不相關,0.0,男,3805
103,1,3,中和區,36歲,36,36,不相關,0.0,女,3830
103,1,3,中和區,37歲,37,37,不相關,0.0,男,4104
103,1,3,中和區,37歲,37,37,不相關,0.0,女,4126
103,1,3,中和區,38歲,38,38,不相關,0.0,男,3467
103,1,3,中和區,38歲,38,38,不相關,0.0,女,3435
103,1,3,中和區,39歲,39,39,不相關,0.0,男,3343
103,1,3,中和區,39歲,39,39,不相關,0.0,女,3341
103,1,3,中和區,40歲,40,40,不相關,0.0,男,3414
103,1,3,中和區,40歲,40,40,不相關,0.0,女,3281
103,1,3,中和區,41歲,41,41,不相關,0.0,男,3311
103,1,3,中和區,41歲,41,41,不相關,0.0,女,3278
103,1,3,中和區,42歲,42,42,不相關,0.0,男,3344
103,1,3,中和區,42歲,42,42,不相關,0.0,女,3444
103,1,3,中和區,43歲,43,43,不相關,0.0,男,3346
103,1,3,中和區,43歲,43,43,不相關,0.0,女,3415
103,1,3,中和區,44歲,44,44,不相關,0.0,男,3191
103,1,3,中和區,44歲,44,44,不相關,0.0,女,3369
103,1,3,中和區,45歲,45,45,不相關,0.0,男,3130
103,1,3,中和區,45歲,45,45,不相關,0.0,女,3341
103,1,3,中和區,46歲,46,46,不相關,0.0,男,3068
103,1,3,中和區,46歲,46,46,不相關,0.0,女,3117
103,1,3,中和區,47歲,47,47,不相關,0.0,男,3093
103,1,3,中和區,47歲,47,47,不相關,0.0,女,3458
103,1,3,中和區,48歲,48,48,不相關,0.0,男,3044
103,1,3,中和區,48歲,48,48,不相關,0.0,女,3455
103,1,3,中和區,49歲,49,49,不相關,0.0,男,3069
103,1,3,中和區,49歲,49,49,不相關,0.0,女,3552
103,1,3,中和區,50歲,50,50,不相關,0.0,男,3195
103,1,3,中和區,50歲,50,50,不相關,0.0,女,3759
103,1,3,中和區,51歲,51,51,不相關,0.0,男,3215
103,1,3,中和區,51歲,51,51,不相關,0.0,女,3798
103,1,3,中和區,52歲,52,52,不相關,0.0,男,3201
103,1,3,中和區,52歲,52,52,不相關,0.0,女,3661
103,1,3,中和區,53歲,53,53,不相關,0.0,男,3236
103,1,3,中和區,53歲,53,53,不相關,0.0,女,3762
103,1,3,中和區,54歲,54,54,不相關,0.0,男,3161
103,1,3,中和區,54歲,54,54,不相關,0.0,女,3728
103,1,3,中和區,55歲,55,55,不相關,0.0,男,3199
103,1,3,中和區,55歲,55,55,不相關,0.0,女,3974
103,1,3,中和區,56歲,56,56,不相關,0.0,男,3024
103,1,3,中和區,56歲,56,56,不相關,0.0,女,3621
103,1,3,中和區,57歲,57,57,不相關,0.0,男,3173
103,1,3,中和區,57歲,57,57,不相關,0.0,女,3766
103,1,3,中和區,58歲,58,58,不相關,0.0,男,3189
103,1,3,中和區,58歲,58,58,不相關,0.0,女,3790
103,1,3,中和區,59歲,59,59,不相關,0.0,男,3004
103,1,3,中和區,59歲,59,59,不相關,0.0,女,3707
103,1,3,中和區,60歲,60,60,不相關,0.0,男,2907
103,1,3,中和區,60歲,60,60,不相關,0.0,女,3542
103,1,3,中和區,61歲,61,61,不相關,0.0,男,2877
103,1,3,中和區,61歲,61,61,不相關,0.0,女,3433
103,1,3,中和區,62歲,62,62,不相關,0.0,男,2929
103,1,3,中和區,62歲,62,62,不相關,0.0,女,3378
103,1,3,中和區,63歲,63,63,不相關,0.0,男,2389
103,1,3,中和區,63歲,63,63,不相關,0.0,女,2880
103,1,3,中和區,64歲,64,64,不相關,0.0,男,2303
103,1,3,中和區,64歲,64,64,不相關,0.0,女,2690
103,1,3,中和區,65歲,65,65,不相關,0.0,男,1957
103,1,3,中和區,65歲,65,65,不相關,0.0,女,2195
