民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
104,1,6,新店區,0歲,0,0,不相關,0.0,男,1118
104,1,6,新店區,0歲,0,0,不相關,0.0,女,1042
104,1,6,新店區,1歲,1,1,不相關,0.0,男,1085
104,1,6,新店區,1歲,1,1,不相關,0.0,女,1040
104,1,6,新店區,2歲,2,2,不相關,0.0,男,1263
104,1,6,新店區,2歲,2,2,不相關,0.0,女,1155
104,1,6,新店區,3歲,3,3,不相關,0.0,男,1033
104,1,6,新店區,3歲,3,3,不相關,0.0,女,933
104,1,6,新店區,4歲,4,4,不相關,0.0,男,915
104,1,6,新店區,4歲,4,4,不相關,0.0,女,838
104,1,6,新店區,5歲,5,5,不相關,0.0,男,972
104,1,6,新店區,5歲,5,5,不相關,0.0,女,998
104,1,6,新店區,6歲,6,6,不相關,0.0,男,1069
104,1,6,新店區,6歲,6,6,不相關,0.0,女,982
104,1,6,新店區,7歲,7,7,不相關,0.0,男,1112
104,1,6,新店區,7歲,7,7,不相關,0.0,女,1076
104,1,6,新店區,8歲,8,8,不相關,0.0,男,1113
104,1,6,新店區,8歲,8,8,不相關,0.0,女,1019
104,1,6,新店區,9歲,9,9,不相關,0.0,男,953
104,1,6,新店區,9歲,9,9,不相關,0.0,女,1004
104,1,6,新店區,10歲,10,10,不相關,0.0,男,1075
104,1,6,新店區,10歲,10,10,不相關,0.0,女,954
104,1,6,新店區,11歲,11,11,不相關,0.0,男,1044
104,1,6,新店區,11歲,11,11,不相關,0.0,女,1035
104,1,6,新店區,12歲,12,12,不相關,0.0,男,1122
104,1,6,新店區,12歲,12,12,不相關,0.0,女,1118
104,1,6,新店區,13歲,13,13,不相關,0.0,男,1258
104,1,6,新店區,13歲,13,13,不相關,0.0,女,1171
104,1,6,新店區,14歲,14,14,不相關,0.0,男,1475
104,1,6,新店區,14歲,14,14,不相關,0.0,女,1494
104,1,6,新店區,15歲,15,15,不相關,0.0,男,1501
104,1,6,新店區,15歲,15,15,不相關,0.0,女,1509
104,1,6,新店區,16歲,16,16,不相關,0.0,男,1542
104,1,6,新店區,16歲,16,16,不相關,0.0,女,1428
104,1,6,新店區,17歲,17,17,不相關,0.0,男,1849
104,1,6,新店區,17歲,17,17,不相關,0.0,女,1754
104,1,6,新店區,18歲,18,18,完全落入,1.0,男,1998
104,1,6,新店區,18歲,18,18,完全落入,1.0,女,1783
104,1,6,新店區,19歲,19,19,完全落入,1.0,男,2000
104,1,6,新店區,19歲,19,19,完全落入,1.0,女,1926
104,1,6,新店區,20歲,20,20,完全落入,1.0,男,2001
104,1,6,新店區,20歲,20,20,完全落入,1.0,女,1936
104,1,6,新店區,21歲,21,21,完全落入,1.0,男,2070
104,1,6,新店區,21歲,21,21,完全落入,1.0,女,1988
104,1,6,新店區,22歲,22,22,完全落入,1.0,男,2057
104,1,6,新店區,22歲,22,22,完全落入,1.0,女,1896
104,1,6,新店區,23歲,23,23,完全落入,1.0,男,2043
104,1,6,新店區,23歲,23,23,完全落入,1.0,女,1957
104,1,6,新店區,24歲,24,24,完全落入,1.0,男,2228
104,1,6,新店區,24歲,24,24,完全落入,1.0,女,1970
104,1,6,新店區,25歲,25,25,完全落入,1.0,男,2024
104,1,6,新店區,25歲,25,25,完全落入,1.0,女,1906
104,1,6,新店區,26歲,26,26,完全落入,1.0,男,2063
104,1,6,新店區,26歲,26,26,完全落入,1.0,女,2085
104,1,6,新店區,27歲,27,27,完全落入,1.0,男,1825
104,1,6,新店區,27歲,27,27,完全落入,1.0,女,1833
104,1,6,新店區,28歲,28,28,完全落入,1.0,男,1887
104,1,6,新店區,28歲,28,28,完全落入,1.0,女,1787
104,1,6,新店區,29歲,29,29,完全落入,1.0,男,2030
104,1,6,新店區,29歲,29,29,完全落入,1.0,女,1983
104,1,6,新店區,30歲,30,30,完全落入,1.0,男,2194
104,1,6,新店區,30歲,30,30,完全落入,1.0,女,2265
104,1,6,新店區,31歲,31,31,完全落入,1.0,男,2207
104,1,6,新店區,31歲,31,31,完全落入,1.0,女,2212
104,1,6,新店區,32歲,32,32,完全落入,1.0,男,2269
104,1,6,新店區,32歲,32,32,完全落入,1.0,女,2334
104,1,6,新店區,33歲,33,33,完全落入,1.0,男,2347
104,1,6,新店區,33歲,33,33,完全落入,1.0,女,2345
104,1,6,新店區,34歲,34,34,完全落入,1.0,男,2294
104,1,6,新店區,34歲,34,34,完全落入,1.0,女,2339
104,1,6,新店區,35歲,35,35,完全落入,1.0,男,2280
104,1,6,新店區,35歲,35,35,完全落入,1.0,女,2457
104,1,6,新店區,36歲,36,36,不相關,0.0,男,2257
104,1,6,新店區,36歲,36,36,不相關,0.0,女,2388
104,1,6,新店區,37歲,37,37,不相關,0.0,男,2054
104,1,6,新店區,37歲,37,37,不相關,0.0,女,2351
104,1,6,新店區,38歲,38,38,不相關,0.0,男,2468
104,1,6,新店區,38歲,38,38,不相關,0.0,女,2622
104,1,6,新店區,39歲,39,39,不相關,0.0,男,2064
104,1,6,新店區,39歲,39,39,不相關,0.0,女,2360
104,1,6,新店區,40歲,40,40,不相關,0.0,男,2161
104,1,6,新店區,40歲,40,40,不相關,0.0,女,2262
104,1,6,新店區,41歲,41,41,不相關,0.0,男,2276
104,1,6,新店區,41歲,41,41,不相關,0.0,女,2401
104,1,6,新店區,42歲,42,42,不相關,0.0,男,2330
104,1,6,新店區,42歲,42,42,不相關,0.0,女,2446
104,1,6,新店區,43歲,43,43,不相關,0.0,男,2392
104,1,6,新店區,43歲,43,43,不相關,0.0,女,2397
104,1,6,新店區,44歲,44,44,不相關,0.0,男,2433
104,1,6,新店區,44歲,44,44,不相關,0.0,女,2600
104,1,6,新店區,45歲,45,45,不相關,0.0,男,2501
104,1,6,新店區,45歲,45,45,不相關,0.0,女,2729
104,1,6,新店區,46歲,46,46,不相關,0.0,男,2536
104,1,6,新店區,46歲,46,46,不相關,0.0,女,2775
104,1,6,新店區,47歲,47,47,不相關,0.0,男,2404
104,1,6,新店區,47歲,47,47,不相關,0.0,女,2636
104,1,6,新店區,48歲,48,48,不相關,0.0,男,2483
104,1,6,新店區,48歲,48,48,不相關,0.0,女,2701
104,1,6,新店區,49歲,49,49,不相關,0.0,男,2512
104,1,6,新店區,49歲,49,49,不相關,0.0,女,2763
104,1,6,新店區,50歲,50,50,不相關,0.0,男,2591
104,1,6,新店區,50歲,50,50,不相關,0.0,女,2829
104,1,6,新店區,51歲,51,51,不相關,0.0,男,2520
104,1,6,新店區,51歲,51,51,不相關,0.0,女,2983
