民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
104,1,11,三峽區,0歲,0,0,不相關,0.0,男,577
104,1,11,三峽區,0歲,0,0,不相關,0.0,女,516
104,1,11,三峽區,1歲,1,1,不相關,0.0,男,531
104,1,11,三峽區,1歲,1,1,不相關,0.0,女,523
104,1,11,三峽區,2歲,2,2,不相關,0.0,男,672
104,1,11,三峽區,2歲,2,2,不相關,0.0,女,582
104,1,11,三峽區,3歲,3,3,不相關,0.0,男,540
104,1,11,三峽區,3歲,3,3,不相關,0.0,女,528
104,1,11,三峽區,4歲,4,4,不相關,0.0,男,508
104,1,11,三峽區,4歲,4,4,不相關,0.0,女,434
104,1,11,三峽區,5歲,5,5,不相關,0.0,男,538
104,1,11,三峽區,5歲,5,5,不相關,0.0,女,502
104,1,11,三峽區,6歲,6,6,不相關,0.0,男,618
104,1,11,三峽區,6歲,6,6,不相關,0.0,女,560
104,1,11,三峽區,7歲,7,7,不相關,0.0,男,613
104,1,11,三峽區,7歲,7,7,不相關,0.0,女,567
104,1,11,三峽區,8歲,8,8,不相關,0.0,男,600
104,1,11,三峽區,8歲,8,8,不相關,0.0,女,535
104,1,11,三峽區,9歲,9,9,不相關,0.0,男,591
104,1,11,三峽區,9歲,9,9,不相關,0.0,女,563
104,1,11,三峽區,10歲,10,10,不相關,0.0,男,657
104,1,11,三峽區,10歲,10,10,不相關,0.0,女,571
104,1,11,三峽區,11歲,11,11,不相關,0.0,男,672
104,1,11,三峽區,11歲,11,11,不相關,0.0,女,566
104,1,11,三峽區,12歲,12,12,不相關,0.0,男,701
104,1,11,三峽區,12歲,12,12,不相關,0.0,女,651
104,1,11,三峽區,13歲,13,13,不相關,0.0,男,766
104,1,11,三峽區,13歲,13,13,不相關,0.0,女,647
104,1,11,三峽區,14歲,14,14,不相關,0.0,男,908
104,1,11,三峽區,14歲,14,14,不相關,0.0,女,802
104,1,11,三峽區,15歲,15,15,不相關,0.0,男,783
104,1,11,三峽區,15歲,15,15,不相關,0.0,女,744
104,1,11,三峽區,16歲,16,16,不相關,0.0,男,775
104,1,11,三峽區,16歲,16,16,不相關,0.0,女,714
104,1,11,三峽區,17歲,17,17,不相關,0.0,男,884
104,1,11,三峽區,17歲,17,17,不相關,0.0,女,792
104,1,11,三峽區,18歲,18,18,完全落入,1.0,男,917
104,1,11,三峽區,18歲,18,18,完全落入,1.0,女,816
104,1,11,三峽區,19歲,19,19,完全落入,1.0,男,902
104,1,11,三峽區,19歲,19,19,完全落入,1.0,女,800
104,1,11,三峽區,20歲,20,20,完全落入,1.0,男,902
104,1,11,三峽區,20歲,20,20,完全落入,1.0,女,840
104,1,11,三峽區,21歲,21,21,完全落入,1.0,男,950
104,1,11,三峽區,21歲,21,21,完全落入,1.0,女,839
104,1,11,三峽區,22歲,22,22,完全落入,1.0,男,841
104,1,11,三峽區,22歲,22,22,完全落入,1.0,女,821
104,1,11,三峽區,23歲,23,23,完全落入,1.0,男,820
104,1,11,三峽區,23歲,23,23,完全落入,1.0,女,796
104,1,11,三峽區,24歲,24,24,完全落入,1.0,男,840
104,1,11,三峽區,24歲,24,24,完全落入,1.0,女,771
104,1,11,三峽區,25歲,25,25,完全落入,1.0,男,787
104,1,11,三峽區,25歲,25,25,完全落入,1.0,女,712
104,1,11,三峽區,26歲,26,26,完全落入,1.0,男,844
104,1,11,三峽區,26歲,26,26,完全落入,1.0,女,751
104,1,11,三峽區,27歲,27,27,完全落入,1.0,男,750
104,1,11,三峽區,27歲,27,27,完全落入,1.0,女,724
104,1,11,三峽區,28歲,28,28,完全落入,1.0,男,696
104,1,11,三峽區,28歲,28,28,完全落入,1.0,女,706
104,1,11,三峽區,29歲,29,29,完全落入,1.0,男,739
104,1,11,三峽區,29歲,29,29,完全落入,1.0,女,813
104,1,11,三峽區,30歲,30,30,完全落入,1.0,男,799
104,1,11,三峽區,30歲,30,30,完全落入,1.0,女,809
104,1,11,三峽區,31歲,31,31,完全落入,1.0,男,813
104,1,11,三峽區,31歲,31,31,完全落入,1.0,女,875
104,1,11,三峽區,32歲,32,32,完全落入,1.0,男,828
104,1,11,三峽區,32歲,32,32,完全落入,1.0,女,866
104,1,11,三峽區,33歲,33,33,完全落入,1.0,男,863
104,1,11,三峽區,33歲,33,33,完全落入,1.0,女,930
104,1,11,三峽區,34歲,34,34,完全落入,1.0,男,907
104,1,11,三峽區,34歲,34,34,完全落入,1.0,女,973
104,1,11,三峽區,35歲,35,35,完全落入,1.0,男,933
104,1,11,三峽區,35歲,35,35,完全落入,1.0,女,966
104,1,11,三峽區,36歲,36,36,不相關,0.0,男,916
104,1,11,三峽區,36歲,36,36,不相關,0.0,女,1041
104,1,11,三峽區,37歲,37,37,不相關,0.0,男,884
104,1,11,三峽區,37歲,37,37,不相關,0.0,女,972
104,1,11,三峽區,38歲,38,38,不相關,0.0,男,1020
104,1,11,三峽區,38歲,38,38,不相關,0.0,女,1072
104,1,11,三峽區,39歲,39,39,不相關,0.0,男,887
104,1,11,三峽區,39歲,39,39,不相關,0.0,女,916
104,1,11,三峽區,40歲,40,40,不相關,0.0,男,883
104,1,11,三峽區,40歲,40,40,不相關,0.0,女,908
104,1,11,三峽區,41歲,41,41,不相關,0.0,男,900
104,1,11,三峽區,41歲,41,41,不相關,0.0,女,898
104,1,11,三峽區,42歲,42,42,不相關,0.0,男,857
104,1,11,三峽區,42歲,42,42,不相關,0.0,女,925
104,1,11,三峽區,43歲,43,43,不相關,0.0,男,888
104,1,11,三峽區,43歲,43,43,不相關,0.0,女,909
104,1,11,三峽區,44歲,44,44,不相關,0.0,男,952
104,1,11,三峽區,44歲,44,44,不相關,0.0,女,954
104,1,11,三峽區,45歲,45,45,不相關,0.0,男,874
104,1,11,三峽區,45歲,45,45,不相關,0.0,女,984
104,1,11,三峽區,46歲,46,46,不相關,0.0,男,929
104,1,11,三峽區,46歲,46,46,不相關,0.0,女,967
104,1,11,三峽區,47歲,47,47,不相關,0.0,男,926
104,1,11,三峽區,47歲,47,47,不相關,0.0,女,892
104,1,11,三峽區,48歲,48,48,不相關,0.0,男,945
104,1,11,三峽區,48歲,48,48,不相關,0.0,女,944
104,1,11,三峽區,49歲,49,49,不相關,0.0,男,982
104,1,11,三峽區,49歲,49,49,不相關,0.0,女,973
104,1,11,三峽區,50歲,50,50,不相關,0.0,男,1016
104,1,11,三峽區,50歲,50,50,不相關,0.0,女,905
104,1,11,三峽區,51歲,51,51,不相關,0.0,男,1001
104,1,11,三峽區,51歲,51,51,不相關,0.0,女,944
104,1,11,三峽區,52歲,52,52,不相關,0.0,男,899
104,1,11,三峽區,52歲,52,52,不相關,0.0,女,927
104,1,11,三峽區,53歲,53,53,不相關,0.0,男,895
104,1,11,三峽區,53歲,53,53,不相關,0.0,女,860
104,1,11,三峽區,54歲,54,54,不相關,0.0,男,848
104,1,11,三峽區,54歲,54,54,不相關,0.0,女,828
104,1,11,三峽區,55歲,55,55,不相關,0.0,男,883
104,1,11,三峽區,55歲,55,55,不相關,0.0,女,820
104,1,11,三峽區,56歲,56,56,不相關,0.0,男,738
104,1,11,三峽區,56歲,56,56,不相關,0.0,女,750
104,1,11,三峽區,57歲,57,57,不相關,0.0,男,722
104,1,11,三峽區,57歲,57,57,不相關,0.0,女,751
104,1,11,三峽區,58歲,58,58,不相關,0.0,男,764
104,1,11,三峽區,58歲,58,58,不相關,0.0,女,719
104,1,11,三峽區,59歲,59,59,不相關,0.0,男,727
104,1,11,三峽區,59歲,59,59,不相關,0.0,女,696
104,1,11,三峽區,60歲,60,60,不相關,0.0,男,608
104,1,11,三峽區,60歲,60,60,不相關,0.0,女,655
104,1,11,三峽區,61歲,61,61,不相關,0.0,男,574
104,1,11,三峽區,61歲,61,61,不相關,0.0,女,551
104,1,11,三峽區,62歲,62,62,不相關,0.0,男,599
104,1,11,三峽區,62歲,62,62,不相關,0.0,女,606
104,1,11,三峽區,63歲,63,63,不相關,0.0,男,536
104,1,11,三峽區,63歲,63,63,不相關,0.0,女,604
104,1,11,三峽區,64歲,64,64,不相關,0.0,男,452
104,1,11,三峽區,64歲,64,64,不相關,0.0,女,468
104,1,11,三峽區,65歲,65,65,不相關,0.0,男,425
104,1,11,三峽區,65歲,65,65,不相關,0.0,女,426
104,1,11,三峽區,66歲,66,66,不相關,0.0,男,349
104,1,11,三峽區,66歲,66,66,不相關,0.0,女,373
104,1,11,三峽區,67歲,67,67,不相關,0.0,男,286
104,1,11,三峽區,67歲,67,67,不相關,0.0,女,311
104,1,11,三峽區,68歲,68,68,不相關,0.0,男,224
104,1,11,三峽區,68歲,68,68,不相關,0.0,女,245
104,1,11,三峽區,69歲,69,69,不相關,0.0,男,207
104,1,11,三峽區,69歲,69,69,不相關,0.0,女,235
104,1,11,三峽區,70歲,70,70,不相關,0.0,男,255
104,1,11,三峽區,70歲,70,70,不相關,0.0,女,269
104,1,11,三峽區,71歲,71,71,不相關,0.0,男,259
104,1,11,三峽區,71歲,71,71,不相關,0.0,女,282
104,1,11,三峽區,72歲,72,72,不相關,0.0,男,247
104,1,11,三峽區,72歲,72,72,不相關,0.0,女,300
104,1,11,三峽區,73歲,73,73,不相關,0.0,男,246
104,1,11,三峽區,73歲,73,73,不相關,0.0,女,263
104,1,11,三峽區,74歲,74,74,不相關,0.0,男,234
104,1,11,三峽區,74歲,74,74,不相關,0.0,女,269
104,1,11,三峽區,75歲,75,75,不相關,0.0,男,203
104,1,11,三峽區,75歲,75,75,不相關,0.0,女,246
104,1,11,三峽區,76歲,76,76,不相關,0.0,男,199
104,1,11,三峽區,76歲,76,76,不相關,0.0,女,231
104,1,11,三峽區,77歲,77,77,不相關,0.0,男,208
104,1,11,三峽區,77歲,77,77,不相關,0.0,女,236
104,1,11,三峽區,78歲,78,78,不相關,0.0,男,145
104,1,11,三峽區,78歲,78,78,不相關,0.0,女,190
104,1,11,三峽區,79歲,79,79,不相關,0.0,男,175
104,1,11,三峽區,79歲,79,79,不相關,0.0,女,199
104,1,11,三峽區,80歲,80,80,不相關,0.0,男,142
104,1,11,三峽區,80歲,80,80,不相關,0.0,女,143
104,1,11,三峽區,81歲,81,81,不相關,0.0,男,133
104,1,11,三峽區,81歲,81,81,不相關,0.0,女,157
104,1,11,三峽區,82歲,82,82,不相關,0.0,男,152
104,1,11,三峽區,82歲,82,82,不相關,0.0,女,129
104,1,11,三峽區,83歲,83,83,不相關,0.0,男,159
104,1,11,三峽區,83歲,83,83,不相關,0.0,女,138
104,1,11,三峽區,84歲,84,84,不相關,0.0,男,139
104,1,11,三峽區,84歲,84,84,不相關,0.0,女,99
104,1,11,三峽區,85歲,85,85,不相關,0.0,男,138
104,1,11,三峽區,85歲,85,85,不相關,0.0,女,97
104,1,11,三峽區,86歲,86,86,不相關,0.0,男,123
104,1,11,三峽區,86歲,86,86,不相關,0.0,女,77
104,1,11,三峽區,87歲,87,87,不相關,0.0,男,109
104,1,11,三峽區,87歲,87,87,不相關,0.0,女,63
104,1,11,三峽區,88歲,88,88,不相關,0.0,男,85
104,1,11,三峽區,88歲,88,88,不相關,0.0,女,83
104,1,11,三峽區,89歲,89,89,不相關,0.0,男,81
104,1,11,三峽區,89歲,89,89,不相關,0.0,女,51
104,1,11,三峽區,90歲,90,90,不相關,0.0,男,72
104,1,11,三峽區,90歲,90,90,不相關,0.0,女,38
104,1,11,三峽區,91歲,91,91,不相關,0.0,男,38
104,1,11,三峽區,91歲,91,91,不相關,0.0,女,36
104,1,11,三峽區,92歲,92,92,不相關,0.0,男,36
104,1,11,三峽區,92歲,92,92,不相關,0.0,女,27
104,1,11,三峽區,93歲,93,93,不相關,0.0,男,25
104,1,11,三峽區,93歲,93,93,不相關,0.0,女,17
104,1,11,三峽區,94歲,94,94,不相關,0.0,男,14
104,1,11,三峽區,94歲,94,94,不相關,0.0,女,14
104,1,11,三峽區,95歲,95,95,不相關,0.0,男,11
104,1,11,三峽區,95歲,95,95,不相關,0.0,女,10
104,1,11,三峽區,96歲,96,96,不相關,0.0,男,4
104,1,11,三峽區,96歲,96,96,不相關,0.0,女,9
104,1,11,三峽區,97歲,97,97,不相關,0.0,男,3
104,1,11,三峽區,97歲,97,97,不相關,0.0,女,6
104,1,11,三峽區,98歲,98,98,不相關,0.0,男,4
104,1,11,三峽區,98歲,98,98,不相關,0.0,女,7
104,1,11,三峽區,99歲,99,99,不相關,0.0,男,3
104,1,11,三峽區,99歲,99,99,不相關,0.0,女,2
104,1,11,三峽區,100歲以上,100,100,不相關,0.0,男,11
104,1,11,三峽區,100歲以上,100,100,不相關,0.0,女,5
104,2,11,三峽區,0歲,0,0,不相關,0.0,男,559
104,2,11,三峽區,0歲,0,0,不相關,0.0,女,502
104,2,11,三峽區,1歲,1,1,不相關,0.0,男,538
104,2,11,三峽區,1歲,1,1,不相關,0.0,女,529
104,2,11,三峽區,2歲,2,2,不相關,0.0,男,678
104,2,11,三峽區,2歲,2,2,不相關,0.0,女,581
104,2,11,三峽區,3歲,3,3,不相關,0.0,男,534
104,2,11,三峽區,3歲,3,3,不相關,0.0,女,532
104,2,11,三峽區,4歲,4,4,不相關,0.0,男,507
104,2,11,三峽區,4歲,4,4,不相關,0.0,女,432
104,2,11,三峽區,5歲,5,5,不相關,0.0,男,547
104,2,11,三峽區,5歲,5,5,不相關,0.0,女,500
104,2,11,三峽區,6歲,6,6,不相關,0.0,男,616
104,2,11,三峽區,6歲,6,6,不相關,0.0,女,552
104,2,11,三峽區,7歲,7,7,不相關,0.0,男,610
104,2,11,三峽區,7歲,7,7,不相關,0.0,女,568
104,2,11,三峽區,8歲,8,8,不相關,0.0,男,612
104,2,11,三峽區,8歲,8,8,不相關,0.0,女,545
104,2,11,三峽區,9歲,9,9,不相關,0.0,男,586
104,2,11,三峽區,9歲,9,9,不相關,0.0,女,549
104,2,11,三峽區,10歲,10,10,不相關,0.0,男,637
104,2,11,三峽區,10歲,10,10,不相關,0.0,女,588
104,2,11,三峽區,11歲,11,11,不相關,0.0,男,670
104,2,11,三峽區,11歲,11,11,不相關,0.0,女,552
104,2,11,三峽區,12歲,12,12,不相關,0.0,男,708
104,2,11,三峽區,12歲,12,12,不相關,0.0,女,657
104,2,11,三峽區,13歲,13,13,不相關,0.0,男,750
104,2,11,三峽區,13歲,13,13,不相關,0.0,女,648
104,2,11,三峽區,14歲,14,14,不相關,0.0,男,901
104,2,11,三峽區,14歲,14,14,不相關,0.0,女,792
104,2,11,三峽區,15歲,15,15,不相關,0.0,男,795
104,2,11,三峽區,15歲,15,15,不相關,0.0,女,740
104,2,11,三峽區,16歲,16,16,不相關,0.0,男,766
104,2,11,三峽區,16歲,16,16,不相關,0.0,女,718
104,2,11,三峽區,17歲,17,17,不相關,0.0,男,889
104,2,11,三峽區,17歲,17,17,不相關,0.0,女,786
104,2,11,三峽區,18歲,18,18,完全落入,1.0,男,913
104,2,11,三峽區,18歲,18,18,完全落入,1.0,女,809
104,2,11,三峽區,19歲,19,19,完全落入,1.0,男,895
104,2,11,三峽區,19歲,19,19,完全落入,1.0,女,800
104,2,11,三峽區,20歲,20,20,完全落入,1.0,男,910
104,2,11,三峽區,20歲,20,20,完全落入,1.0,女,845
104,2,11,三峽區,21歲,21,21,完全落入,1.0,男,947
104,2,11,三峽區,21歲,21,21,完全落入,1.0,女,841
104,2,11,三峽區,22歲,22,22,完全落入,1.0,男,854
104,2,11,三峽區,22歲,22,22,完全落入,1.0,女,808
104,2,11,三峽區,23歲,23,23,完全落入,1.0,男,828
104,2,11,三峽區,23歲,23,23,完全落入,1.0,女,815
104,2,11,三峽區,24歲,24,24,完全落入,1.0,男,843
104,2,11,三峽區,24歲,24,24,完全落入,1.0,女,747
