民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
105,1,7,土城區,0歲,0,0,不相關,0.0,男,1110
105,1,7,土城區,0歲,0,0,不相關,0.0,女,983
105,1,7,土城區,1歲,1,1,不相關,0.0,男,1145
105,1,7,土城區,1歲,1,1,不相關,0.0,女,1097
105,1,7,土城區,2歲,2,2,不相關,0.0,男,981
105,1,7,土城區,2歲,2,2,不相關,0.0,女,931
105,1,7,土城區,3歲,3,3,不相關,0.0,男,1169
105,1,7,土城區,3歲,3,3,不相關,0.0,女,1111
105,1,7,土城區,4歲,4,4,不相關,0.0,男,1043
105,1,7,土城區,4歲,4,4,不相關,0.0,女,936
105,1,7,土城區,5歲,5,5,不相關,0.0,男,786
105,1,7,土城區,5歲,5,5,不相關,0.0,女,756
105,1,7,土城區,6歲,6,6,不相關,0.0,男,988
105,1,7,土城區,6歲,6,6,不相關,0.0,女,900
105,1,7,土城區,7歲,7,7,不相關,0.0,男,1026
105,1,7,土城區,7歲,7,7,不相關,0.0,女,934
105,1,7,土城區,8歲,8,8,不相關,0.0,男,1040
105,1,7,土城區,8歲,8,8,不相關,0.0,女,922
105,1,7,土城區,9歲,9,9,不相關,0.0,男,1011
105,1,7,土城區,9歲,9,9,不相關,0.0,女,1000
105,1,7,土城區,10歲,10,10,不相關,0.0,男,974
105,1,7,土城區,10歲,10,10,不相關,0.0,女,939
105,1,7,土城區,11歲,11,11,不相關,0.0,男,1070
105,1,7,土城區,11歲,11,11,不相關,0.0,女,953
105,1,7,土城區,12歲,12,12,不相關,0.0,男,1047
105,1,7,土城區,12歲,12,12,不相關,0.0,女,966
105,1,7,土城區,13歲,13,13,不相關,0.0,男,1186
105,1,7,土城區,13歲,13,13,不相關,0.0,女,1076
105,1,7,土城區,14歲,14,14,不相關,0.0,男,1302
105,1,7,土城區,14歲,14,14,不相關,0.0,女,1178
105,1,7,土城區,15歲,15,15,不相關,0.0,男,1693
105,1,7,土城區,15歲,15,15,不相關,0.0,女,1548
105,1,7,土城區,16歲,16,16,不相關,0.0,男,1594
105,1,7,土城區,16歲,16,16,不相關,0.0,女,1432
105,1,7,土城區,17歲,17,17,不相關,0.0,男,1444
105,1,7,土城區,17歲,17,17,不相關,0.0,女,1330
105,1,7,土城區,18歲,18,18,完全落入,1.0,男,1815
105,1,7,土城區,18歲,18,18,完全落入,1.0,女,1643
105,1,7,土城區,19歲,19,19,完全落入,1.0,男,1911
105,1,7,土城區,19歲,19,19,完全落入,1.0,女,1663
105,1,7,土城區,20歲,20,20,完全落入,1.0,男,1906
105,1,7,土城區,20歲,20,20,完全落入,1.0,女,1745
105,1,7,土城區,21歲,21,21,完全落入,1.0,男,1884
105,1,7,土城區,21歲,21,21,完全落入,1.0,女,1755
105,1,7,土城區,22歲,22,22,完全落入,1.0,男,2085
105,1,7,土城區,22歲,22,22,完全落入,1.0,女,1750
105,1,7,土城區,23歲,23,23,完全落入,1.0,男,1912
105,1,7,土城區,23歲,23,23,完全落入,1.0,女,1802
105,1,7,土城區,24歲,24,24,完全落入,1.0,男,1974
105,1,7,土城區,24歲,24,24,完全落入,1.0,女,1819
105,1,7,土城區,25歲,25,25,完全落入,1.0,男,2130
105,1,7,土城區,25歲,25,25,完全落入,1.0,女,1901
105,1,7,土城區,26歲,26,26,完全落入,1.0,男,1899
105,1,7,土城區,26歲,26,26,完全落入,1.0,女,1804
105,1,7,土城區,27歲,27,27,完全落入,1.0,男,2124
105,1,7,土城區,27歲,27,27,完全落入,1.0,女,1925
105,1,7,土城區,28歲,28,28,完全落入,1.0,男,1909
105,1,7,土城區,28歲,28,28,完全落入,1.0,女,1736
105,1,7,土城區,29歲,29,29,完全落入,1.0,男,1707
105,1,7,土城區,29歲,29,29,完全落入,1.0,女,1665
105,1,7,土城區,30歲,30,30,完全落入,1.0,男,1956
105,1,7,土城區,30歲,30,30,完全落入,1.0,女,1849
105,1,7,土城區,31歲,31,31,完全落入,1.0,男,2086
105,1,7,土城區,31歲,31,31,完全落入,1.0,女,2049
105,1,7,土城區,32歲,32,32,完全落入,1.0,男,2113
105,1,7,土城區,32歲,32,32,完全落入,1.0,女,2132
105,1,7,土城區,33歲,33,33,完全落入,1.0,男,2274
105,1,7,土城區,33歲,33,33,完全落入,1.0,女,2148
105,1,7,土城區,34歲,34,34,完全落入,1.0,男,2257
105,1,7,土城區,34歲,34,34,完全落入,1.0,女,2219
105,1,7,土城區,35歲,35,35,完全落入,1.0,男,2190
105,1,7,土城區,35歲,35,35,完全落入,1.0,女,2186
105,1,7,土城區,36歲,36,36,不相關,0.0,男,2193
105,1,7,土城區,36歲,36,36,不相關,0.0,女,2189
105,1,7,土城區,37歲,37,37,不相關,0.0,男,2064
105,1,7,土城區,37歲,37,37,不相關,0.0,女,2029
105,1,7,土城區,38歲,38,38,不相關,0.0,男,1928
105,1,7,土城區,38歲,38,38,不相關,0.0,女,1971
105,1,7,土城區,39歲,39,39,不相關,0.0,男,2056
105,1,7,土城區,39歲,39,39,不相關,0.0,女,2219
105,1,7,土城區,40歲,40,40,不相關,0.0,男,1771
105,1,7,土城區,40歲,40,40,不相關,0.0,女,1843
105,1,7,土城區,41歲,41,41,不相關,0.0,男,1698
105,1,7,土城區,41歲,41,41,不相關,0.0,女,1801
105,1,7,土城區,42歲,42,42,不相關,0.0,男,1664
105,1,7,土城區,42歲,42,42,不相關,0.0,女,1781
105,1,7,土城區,43歲,43,43,不相關,0.0,男,1699
105,1,7,土城區,43歲,43,43,不相關,0.0,女,1785
105,1,7,土城區,44歲,44,44,不相關,0.0,男,1673
105,1,7,土城區,44歲,44,44,不相關,0.0,女,1870
105,1,7,土城區,45歲,45,45,不相關,0.0,男,1739
105,1,7,土城區,45歲,45,45,不相關,0.0,女,1926
105,1,7,土城區,46歲,46,46,不相關,0.0,男,1720
105,1,7,土城區,46歲,46,46,不相關,0.0,女,1981
105,1,7,土城區,47歲,47,47,不相關,0.0,男,1810
105,1,7,土城區,47歲,47,47,不相關,0.0,女,2061
105,1,7,土城區,48歲,48,48,不相關,0.0,男,1691
105,1,7,土城區,48歲,48,48,不相關,0.0,女,2021
105,1,7,土城區,49歲,49,49,不相關,0.0,男,1806
105,1,7,土城區,49歲,49,49,不相關,0.0,女,2183
105,1,7,土城區,50歲,50,50,不相關,0.0,男,1904
105,1,7,土城區,50歲,50,50,不相關,0.0,女,2346
105,1,7,土城區,51歲,51,51,不相關,0.0,男,1959
105,1,7,土城區,51歲,51,51,不相關,0.0,女,2316
105,1,7,土城區,52歲,52,52,不相關,0.0,男,2065
105,1,7,土城區,52歲,52,52,不相關,0.0,女,2454
105,1,7,土城區,53歲,53,53,不相關,0.0,男,2003
105,1,7,土城區,53歲,53,53,不相關,0.0,女,2302
105,1,7,土城區,54歲,54,54,不相關,0.0,男,1955
105,1,7,土城區,54歲,54,54,不相關,0.0,女,2267
105,1,7,土城區,55歲,55,55,不相關,0.0,男,1952
105,1,7,土城區,55歲,55,55,不相關,0.0,女,2305
105,1,7,土城區,56歲,56,56,不相關,0.0,男,1905
105,1,7,土城區,56歲,56,56,不相關,0.0,女,2105
105,1,7,土城區,57歲,57,57,不相關,0.0,男,1882
105,1,7,土城區,57歲,57,57,不相關,0.0,女,2188
105,1,7,土城區,58歲,58,58,不相關,0.0,男,1679
105,1,7,土城區,58歲,58,58,不相關,0.0,女,1940
105,1,7,土城區,59歲,59,59,不相關,0.0,男,1761
