民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
105,1,26,平溪區,0歲,0,0,不相關,0.0,男,9
105,1,26,平溪區,0歲,0,0,不相關,0.0,女,15
105,1,26,平溪區,1歲,1,1,不相關,0.0,男,10
105,1,26,平溪區,1歲,1,1,不相關,0.0,女,8
105,1,26,平溪區,2歲,2,2,不相關,0.0,男,16
105,1,26,平溪區,2歲,2,2,不相關,0.0,女,9
105,1,26,平溪區,3歲,3,3,不相關,0.0,男,13
105,1,26,平溪區,3歲,3,3,不相關,0.0,女,11
105,1,26,平溪區,4歲,4,4,不相關,0.0,男,8
105,1,26,平溪區,4歲,4,4,不相關,0.0,女,9
105,1,26,平溪區,5歲,5,5,不相關,0.0,男,7
105,1,26,平溪區,5歲,5,5,不相關,0.0,女,5
105,1,26,平溪區,6歲,6,6,不相關,0.0,男,12
105,1,26,平溪區,6歲,6,6,不相關,0.0,女,12
105,1,26,平溪區,7歲,7,7,不相關,0.0,男,6
105,1,26,平溪區,7歲,7,7,不相關,0.0,女,7
105,1,26,平溪區,8歲,8,8,不相關,0.0,男,11
105,1,26,平溪區,8歲,8,8,不相關,0.0,女,11
105,1,26,平溪區,9歲,9,9,不相關,0.0,男,21
105,1,26,平溪區,9歲,9,9,不相關,0.0,女,9
105,1,26,平溪區,10歲,10,10,不相關,0.0,男,10
105,1,26,平溪區,10歲,10,10,不相關,0.0,女,11
105,1,26,平溪區,11歲,11,11,不相關,0.0,男,13
105,1,26,平溪區,11歲,11,11,不相關,0.0,女,20
105,1,26,平溪區,12歲,12,12,不相關,0.0,男,13
105,1,26,平溪區,12歲,12,12,不相關,0.0,女,14
105,1,26,平溪區,13歲,13,13,不相關,0.0,男,8
105,1,26,平溪區,13歲,13,13,不相關,0.0,女,12
105,1,26,平溪區,14歲,14,14,不相關,0.0,男,11
105,1,26,平溪區,14歲,14,14,不相關,0.0,女,8
105,1,26,平溪區,15歲,15,15,不相關,0.0,男,19
105,1,26,平溪區,15歲,15,15,不相關,0.0,女,17
105,1,26,平溪區,16歲,16,16,不相關,0.0,男,13
105,1,26,平溪區,16歲,16,16,不相關,0.0,女,19
105,1,26,平溪區,17歲,17,17,不相關,0.0,男,10
105,1,26,平溪區,17歲,17,17,不相關,0.0,女,10
105,1,26,平溪區,18歲,18,18,完全落入,1.0,男,16
105,1,26,平溪區,18歲,18,18,完全落入,1.0,女,10
105,1,26,平溪區,19歲,19,19,完全落入,1.0,男,24
105,1,26,平溪區,19歲,19,19,完全落入,1.0,女,12
105,1,26,平溪區,20歲,20,20,完全落入,1.0,男,17
105,1,26,平溪區,20歲,20,20,完全落入,1.0,女,26
105,1,26,平溪區,21歲,21,21,完全落入,1.0,男,21
105,1,26,平溪區,21歲,21,21,完全落入,1.0,女,22
105,1,26,平溪區,22歲,22,22,完全落入,1.0,男,24
105,1,26,平溪區,22歲,22,22,完全落入,1.0,女,24
105,1,26,平溪區,23歲,23,23,完全落入,1.0,男,16
105,1,26,平溪區,23歲,23,23,完全落入,1.0,女,9
105,1,26,平溪區,24歲,24,24,完全落入,1.0,男,30
105,1,26,平溪區,24歲,24,24,完全落入,1.0,女,18
105,1,26,平溪區,25歲,25,25,完全落入,1.0,男,21
105,1,26,平溪區,25歲,25,25,完全落入,1.0,女,22
105,1,26,平溪區,26歲,26,26,完全落入,1.0,男,18
105,1,26,平溪區,26歲,26,26,完全落入,1.0,女,29
105,1,26,平溪區,27歲,27,27,完全落入,1.0,男,28
105,1,26,平溪區,27歲,27,27,完全落入,1.0,女,21
105,1,26,平溪區,28歲,28,28,完全落入,1.0,男,17
105,1,26,平溪區,28歲,28,28,完全落入,1.0,女,15
105,1,26,平溪區,29歲,29,29,完全落入,1.0,男,17
105,1,26,平溪區,29歲,29,29,完全落入,1.0,女,12
105,1,26,平溪區,30歲,30,30,完全落入,1.0,男,33
105,1,26,平溪區,30歲,30,30,完全落入,1.0,女,15
105,1,26,平溪區,31歲,31,31,完全落入,1.0,男,22
105,1,26,平溪區,31歲,31,31,完全落入,1.0,女,21
105,1,26,平溪區,32歲,32,32,完全落入,1.0,男,33
105,1,26,平溪區,32歲,32,32,完全落入,1.0,女,26
105,1,26,平溪區,33歲,33,33,完全落入,1.0,男,26
105,1,26,平溪區,33歲,33,33,完全落入,1.0,女,23
105,1,26,平溪區,34歲,34,34,完全落入,1.0,男,35
105,1,26,平溪區,34歲,34,34,完全落入,1.0,女,23
105,1,26,平溪區,35歲,35,35,完全落入,1.0,男,28
105,1,26,平溪區,35歲,35,35,完全落入,1.0,女,24
105,1,26,平溪區,36歲,36,36,不相關,0.0,男,27
