民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
107,1,16,泰山區,0歲,0,0,不相關,0.0,男,308
107,1,16,泰山區,0歲,0,0,不相關,0.0,女,303
107,1,16,泰山區,1歲,1,1,不相關,0.0,男,383
107,1,16,泰山區,1歲,1,1,不相關,0.0,女,356
107,1,16,泰山區,2歲,2,2,不相關,0.0,男,380
107,1,16,泰山區,2歲,2,2,不相關,0.0,女,374
107,1,16,泰山區,3歲,3,3,不相關,0.0,男,421
107,1,16,泰山區,3歲,3,3,不相關,0.0,女,395
107,1,16,泰山區,4歲,4,4,不相關,0.0,男,383
107,1,16,泰山區,4歲,4,4,不相關,0.0,女,331
107,1,16,泰山區,5歲,5,5,不相關,0.0,男,474
107,1,16,泰山區,5歲,5,5,不相關,0.0,女,463
107,1,16,泰山區,6歲,6,6,不相關,0.0,男,437
107,1,16,泰山區,6歲,6,6,不相關,0.0,女,391
107,1,16,泰山區,7歲,7,7,不相關,0.0,男,375
107,1,16,泰山區,7歲,7,7,不相關,0.0,女,332
107,1,16,泰山區,8歲,8,8,不相關,0.0,男,395
107,1,16,泰山區,8歲,8,8,不相關,0.0,女,384
107,1,16,泰山區,9歲,9,9,不相關,0.0,男,461
107,1,16,泰山區,9歲,9,9,不相關,0.0,女,393
107,1,16,泰山區,10歲,10,10,不相關,0.0,男,432
107,1,16,泰山區,10歲,10,10,不相關,0.0,女,403
107,1,16,泰山區,11歲,11,11,不相關,0.0,男,485
107,1,16,泰山區,11歲,11,11,不相關,0.0,女,393
107,1,16,泰山區,12歲,12,12,不相關,0.0,男,417
107,1,16,泰山區,12歲,12,12,不相關,0.0,女,383
107,1,16,泰山區,13歲,13,13,不相關,0.0,男,429
107,1,16,泰山區,13歲,13,13,不相關,0.0,女,415
107,1,16,泰山區,14歲,14,14,不相關,0.0,男,460
107,1,16,泰山區,14歲,14,14,不相關,0.0,女,437
107,1,16,泰山區,15歲,15,15,不相關,0.0,男,453
107,1,16,泰山區,15歲,15,15,不相關,0.0,女,379
107,1,16,泰山區,16歲,16,16,不相關,0.0,男,467
107,1,16,泰山區,16歲,16,16,不相關,0.0,女,429
107,1,16,泰山區,17歲,17,17,不相關,0.0,男,571
107,1,16,泰山區,17歲,17,17,不相關,0.0,女,502
107,1,16,泰山區,18歲,18,18,完全落入,1.0,男,504
107,1,16,泰山區,18歲,18,18,完全落入,1.0,女,440
107,1,16,泰山區,19歲,19,19,完全落入,1.0,男,507
107,1,16,泰山區,19歲,19,19,完全落入,1.0,女,422
107,1,16,泰山區,20歲,20,20,完全落入,1.0,男,561
107,1,16,泰山區,20歲,20,20,完全落入,1.0,女,523
107,1,16,泰山區,21歲,21,21,完全落入,1.0,男,563
107,1,16,泰山區,21歲,21,21,完全落入,1.0,女,527
107,1,16,泰山區,22歲,22,22,完全落入,1.0,男,584
107,1,16,泰山區,22歲,22,22,完全落入,1.0,女,505
107,1,16,泰山區,23歲,23,23,完全落入,1.0,男,550
107,1,16,泰山區,23歲,23,23,完全落入,1.0,女,526
107,1,16,泰山區,24歲,24,24,完全落入,1.0,男,621
107,1,16,泰山區,24歲,24,24,完全落入,1.0,女,507
107,1,16,泰山區,25歲,25,25,完全落入,1.0,男,563
107,1,16,泰山區,25歲,25,25,完全落入,1.0,女,481
107,1,16,泰山區,26歲,26,26,完全落入,1.0,男,559
107,1,16,泰山區,26歲,26,26,完全落入,1.0,女,486
107,1,16,泰山區,27歲,27,27,完全落入,1.0,男,582
107,1,16,泰山區,27歲,27,27,完全落入,1.0,女,509
107,1,16,泰山區,28歲,28,28,完全落入,1.0,男,554
107,1,16,泰山區,28歲,28,28,完全落入,1.0,女,495
107,1,16,泰山區,29歲,29,29,完全落入,1.0,男,584
107,1,16,泰山區,29歲,29,29,完全落入,1.0,女,530
107,1,16,泰山區,30歲,30,30,完全落入,1.0,男,515
107,1,16,泰山區,30歲,30,30,完全落入,1.0,女,511
107,1,16,泰山區,31歲,31,31,完全落入,1.0,男,493
107,1,16,泰山區,31歲,31,31,完全落入,1.0,女,472
107,1,16,泰山區,32歲,32,32,完全落入,1.0,男,559
107,1,16,泰山區,32歲,32,32,完全落入,1.0,女,598
107,1,16,泰山區,33歲,33,33,完全落入,1.0,男,599
107,1,16,泰山區,33歲,33,33,完全落入,1.0,女,666
107,1,16,泰山區,34歲,34,34,完全落入,1.0,男,626
107,1,16,泰山區,34歲,34,34,完全落入,1.0,女,684
107,1,16,泰山區,35歲,35,35,完全落入,1.0,男,716
107,1,16,泰山區,35歲,35,35,完全落入,1.0,女,769
107,1,16,泰山區,36歲,36,36,不相關,0.0,男,747
107,1,16,泰山區,36歲,36,36,不相關,0.0,女,804
107,1,16,泰山區,37歲,37,37,不相關,0.0,男,749
107,1,16,泰山區,37歲,37,37,不相關,0.0,女,814
107,1,16,泰山區,38歲,38,38,不相關,0.0,男,783
107,1,16,泰山區,38歲,38,38,不相關,0.0,女,874
107,1,16,泰山區,39歲,39,39,不相關,0.0,男,816
107,1,16,泰山區,39歲,39,39,不相關,0.0,女,849
107,1,16,泰山區,40歲,40,40,不相關,0.0,男,805
107,1,16,泰山區,40歲,40,40,不相關,0.0,女,823
107,1,16,泰山區,41歲,41,41,不相關,0.0,男,853
107,1,16,泰山區,41歲,41,41,不相關,0.0,女,857
107,1,16,泰山區,42歲,42,42,不相關,0.0,男,718
107,1,16,泰山區,42歲,42,42,不相關,0.0,女,767
107,1,16,泰山區,43歲,43,43,不相關,0.0,男,710
107,1,16,泰山區,43歲,43,43,不相關,0.0,女,726
107,1,16,泰山區,44歲,44,44,不相關,0.0,男,711
107,1,16,泰山區,44歲,44,44,不相關,0.0,女,690
107,1,16,泰山區,45歲,45,45,不相關,0.0,男,606
107,1,16,泰山區,45歲,45,45,不相關,0.0,女,619
107,1,16,泰山區,46歲,46,46,不相關,0.0,男,646
107,1,16,泰山區,46歲,46,46,不相關,0.0,女,582
107,1,16,泰山區,47歲,47,47,不相關,0.0,男,667
107,1,16,泰山區,47歲,47,47,不相關,0.0,女,605
107,1,16,泰山區,48歲,48,48,不相關,0.0,男,562
107,1,16,泰山區,48歲,48,48,不相關,0.0,女,580
107,1,16,泰山區,49歲,49,49,不相關,0.0,男,502
107,1,16,泰山區,49歲,49,49,不相關,0.0,女,595
107,1,16,泰山區,50歲,50,50,不相關,0.0,男,555
107,1,16,泰山區,50歲,50,50,不相關,0.0,女,535
107,1,16,泰山區,51歲,51,51,不相關,0.0,男,546
107,1,16,泰山區,51歲,51,51,不相關,0.0,女,558
107,1,16,泰山區,52歲,52,52,不相關,0.0,男,529
107,1,16,泰山區,52歲,52,52,不相關,0.0,女,587
107,1,16,泰山區,53歲,53,53,不相關,0.0,男,496
107,1,16,泰山區,53歲,53,53,不相關,0.0,女,604
107,1,16,泰山區,54歲,54,54,不相關,0.0,男,549
107,1,16,泰山區,54歲,54,54,不相關,0.0,女,668
107,1,16,泰山區,55歲,55,55,不相關,0.0,男,498
107,1,16,泰山區,55歲,55,55,不相關,0.0,女,568
107,1,16,泰山區,56歲,56,56,不相關,0.0,男,516
107,1,16,泰山區,56歲,56,56,不相關,0.0,女,569
107,1,16,泰山區,57歲,57,57,不相關,0.0,男,498
107,1,16,泰山區,57歲,57,57,不相關,0.0,女,558
107,1,16,泰山區,58歲,58,58,不相關,0.0,男,492
107,1,16,泰山區,58歲,58,58,不相關,0.0,女,563
107,1,16,泰山區,59歲,59,59,不相關,0.0,男,483
107,1,16,泰山區,59歲,59,59,不相關,0.0,女,608
107,1,16,泰山區,60歲,60,60,不相關,0.0,男,451
107,1,16,泰山區,60歲,60,60,不相關,0.0,女,558
107,1,16,泰山區,61歲,61,61,不相關,0.0,男,471
107,1,16,泰山區,61歲,61,61,不相關,0.0,女,587
107,1,16,泰山區,62歲,62,62,不相關,0.0,男,461
107,1,16,泰山區,62歲,62,62,不相關,0.0,女,562
107,1,16,泰山區,63歲,63,63,不相關,0.0,男,472
107,1,16,泰山區,63歲,63,63,不相關,0.0,女,544
107,1,16,泰山區,64歲,64,64,不相關,0.0,男,410
107,1,16,泰山區,64歲,64,64,不相關,0.0,女,522
