民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
107,1,20,石碇區,0歲,0,0,不相關,0.0,男,10
107,1,20,石碇區,0歲,0,0,不相關,0.0,女,18
107,1,20,石碇區,1歲,1,1,不相關,0.0,男,22
107,1,20,石碇區,1歲,1,1,不相關,0.0,女,13
107,1,20,石碇區,2歲,2,2,不相關,0.0,男,25
107,1,20,石碇區,2歲,2,2,不相關,0.0,女,18
107,1,20,石碇區,3歲,3,3,不相關,0.0,男,22
107,1,20,石碇區,3歲,3,3,不相關,0.0,女,22
107,1,20,石碇區,4歲,4,4,不相關,0.0,男,20
107,1,20,石碇區,4歲,4,4,不相關,0.0,女,20
107,1,20,石碇區,5歲,5,5,不相關,0.0,男,23
107,1,20,石碇區,5歲,5,5,不相關,0.0,女,29
107,1,20,石碇區,6歲,6,6,不相關,0.0,男,19
107,1,20,石碇區,6歲,6,6,不相關,0.0,女,16
107,1,20,石碇區,7歲,7,7,不相關,0.0,男,14
107,1,20,石碇區,7歲,7,7,不相關,0.0,女,15
107,1,20,石碇區,8歲,8,8,不相關,0.0,男,20
107,1,20,石碇區,8歲,8,8,不相關,0.0,女,14
107,1,20,石碇區,9歲,9,9,不相關,0.0,男,21
107,1,20,石碇區,9歲,9,9,不相關,0.0,女,13
107,1,20,石碇區,10歲,10,10,不相關,0.0,男,21
107,1,20,石碇區,10歲,10,10,不相關,0.0,女,16
107,1,20,石碇區,11歲,11,11,不相關,0.0,男,30
107,1,20,石碇區,11歲,11,11,不相關,0.0,女,26
107,1,20,石碇區,12歲,12,12,不相關,0.0,男,32
107,1,20,石碇區,12歲,12,12,不相關,0.0,女,24
107,1,20,石碇區,13歲,13,13,不相關,0.0,男,26
107,1,20,石碇區,13歲,13,13,不相關,0.0,女,44
107,1,20,石碇區,14歲,14,14,不相關,0.0,男,36
107,1,20,石碇區,14歲,14,14,不相關,0.0,女,32
107,1,20,石碇區,15歲,15,15,不相關,0.0,男,46
107,1,20,石碇區,15歲,15,15,不相關,0.0,女,36
107,1,20,石碇區,16歲,16,16,不相關,0.0,男,38
107,1,20,石碇區,16歲,16,16,不相關,0.0,女,35
107,1,20,石碇區,17歲,17,17,不相關,0.0,男,39
107,1,20,石碇區,17歲,17,17,不相關,0.0,女,45
107,1,20,石碇區,18歲,18,18,完全落入,1.0,男,64
107,1,20,石碇區,18歲,18,18,完全落入,1.0,女,53
