民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
108,1,2,三重區,0歲,0,0,不相關,0.0,男,1308
108,1,2,三重區,0歲,0,0,不相關,0.0,女,1267
108,1,2,三重區,1歲,1,1,不相關,0.0,男,1448
108,1,2,三重區,1歲,1,1,不相關,0.0,女,1412
108,1,2,三重區,2歲,2,2,不相關,0.0,男,1542
108,1,2,三重區,2歲,2,2,不相關,0.0,女,1464
108,1,2,三重區,3歲,3,3,不相關,0.0,男,1566
108,1,2,三重區,3歲,3,3,不相關,0.0,女,1367
108,1,2,三重區,4歲,4,4,不相關,0.0,男,1565
108,1,2,三重區,4歲,4,4,不相關,0.0,女,1540
108,1,2,三重區,5歲,5,5,不相關,0.0,男,1517
108,1,2,三重區,5歲,5,5,不相關,0.0,女,1369
108,1,2,三重區,6歲,6,6,不相關,0.0,男,1827
108,1,2,三重區,6歲,6,6,不相關,0.0,女,1773
108,1,2,三重區,7歲,7,7,不相關,0.0,男,1573
108,1,2,三重區,7歲,7,7,不相關,0.0,女,1505
108,1,2,三重區,8歲,8,8,不相關,0.0,男,1308
108,1,2,三重區,8歲,8,8,不相關,0.0,女,1261
108,1,2,三重區,9歲,9,9,不相關,0.0,男,1482
108,1,2,三重區,9歲,9,9,不相關,0.0,女,1413
108,1,2,三重區,10歲,10,10,不相關,0.0,男,1499
108,1,2,三重區,10歲,10,10,不相關,0.0,女,1358
108,1,2,三重區,11歲,11,11,不相關,0.0,男,1499
108,1,2,三重區,11歲,11,11,不相關,0.0,女,1386
108,1,2,三重區,12歲,12,12,不相關,0.0,男,1523
108,1,2,三重區,12歲,12,12,不相關,0.0,女,1385
108,1,2,三重區,13歲,13,13,不相關,0.0,男,1490
108,1,2,三重區,13歲,13,13,不相關,0.0,女,1455
108,1,2,三重區,14歲,14,14,不相關,0.0,男,1707
108,1,2,三重區,14歲,14,14,不相關,0.0,女,1540
108,1,2,三重區,15歲,15,15,不相關,0.0,男,1729
108,1,2,三重區,15歲,15,15,不相關,0.0,女,1565
108,1,2,三重區,16歲,16,16,不相關,0.0,男,1934
108,1,2,三重區,16歲,16,16,不相關,0.0,女,1719
108,1,2,三重區,17歲,17,17,不相關,0.0,男,2003
108,1,2,三重區,17歲,17,17,不相關,0.0,女,1836
108,1,2,三重區,18歲,18,18,完全落入,1.0,男,2428
108,1,2,三重區,18歲,18,18,完全落入,1.0,女,2315
108,1,2,三重區,19歲,19,19,完全落入,1.0,男,2345
108,1,2,三重區,19歲,19,19,完全落入,1.0,女,2073
108,1,2,三重區,20歲,20,20,完全落入,1.0,男,2135
108,1,2,三重區,20歲,20,20,完全落入,1.0,女,1985
108,1,2,三重區,21歲,21,21,完全落入,1.0,男,2508
108,1,2,三重區,21歲,21,21,完全落入,1.0,女,2352
108,1,2,三重區,22歲,22,22,完全落入,1.0,男,2578
108,1,2,三重區,22歲,22,22,完全落入,1.0,女,2268
108,1,2,三重區,23歲,23,23,完全落入,1.0,男,2652
