民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
109,1,14,瑞芳區,0歲,0,0,不相關,0.0,男,121
109,1,14,瑞芳區,0歲,0,0,不相關,0.0,女,111
109,1,14,瑞芳區,1歲,1,1,不相關,0.0,男,123
109,1,14,瑞芳區,1歲,1,1,不相關,0.0,女,131
109,1,14,瑞芳區,2歲,2,2,不相關,0.0,男,128
109,1,14,瑞芳區,2歲,2,2,不相關,0.0,女,125
109,1,14,瑞芳區,3歲,3,3,不相關,0.0,男,148
109,1,14,瑞芳區,3歲,3,3,不相關,0.0,女,114
109,1,14,瑞芳區,4歲,4,4,不相關,0.0,男,134
109,1,14,瑞芳區,4歲,4,4,不相關,0.0,女,129
109,1,14,瑞芳區,5歲,5,5,不相關,0.0,男,138
109,1,14,瑞芳區,5歲,5,5,不相關,0.0,女,130
109,1,14,瑞芳區,6歲,6,6,不相關,0.0,男,102
109,1,14,瑞芳區,6歲,6,6,不相關,0.0,女,110
109,1,14,瑞芳區,7歲,7,7,不相關,0.0,男,128
109,1,14,瑞芳區,7歲,7,7,不相關,0.0,女,142
109,1,14,瑞芳區,8歲,8,8,不相關,0.0,男,115
109,1,14,瑞芳區,8歲,8,8,不相關,0.0,女,117
109,1,14,瑞芳區,9歲,9,9,不相關,0.0,男,102
109,1,14,瑞芳區,9歲,9,9,不相關,0.0,女,105
109,1,14,瑞芳區,10歲,10,10,不相關,0.0,男,117
109,1,14,瑞芳區,10歲,10,10,不相關,0.0,女,83
109,1,14,瑞芳區,11歲,11,11,不相關,0.0,男,119
109,1,14,瑞芳區,11歲,11,11,不相關,0.0,女,97
109,1,14,瑞芳區,12歲,12,12,不相關,0.0,男,116
109,1,14,瑞芳區,12歲,12,12,不相關,0.0,女,124
109,1,14,瑞芳區,13歲,13,13,不相關,0.0,男,125
109,1,14,瑞芳區,13歲,13,13,不相關,0.0,女,122
109,1,14,瑞芳區,14歲,14,14,不相關,0.0,男,119
109,1,14,瑞芳區,14歲,14,14,不相關,0.0,女,121
109,1,14,瑞芳區,15歲,15,15,不相關,0.0,男,151
109,1,14,瑞芳區,15歲,15,15,不相關,0.0,女,155
109,1,14,瑞芳區,16歲,16,16,不相關,0.0,男,195
109,1,14,瑞芳區,16歲,16,16,不相關,0.0,女,165
109,1,14,瑞芳區,17歲,17,17,不相關,0.0,男,199
109,1,14,瑞芳區,17歲,17,17,不相關,0.0,女,196
109,1,14,瑞芳區,18歲,18,18,完全落入,1.0,男,216
109,1,14,瑞芳區,18歲,18,18,完全落入,1.0,女,195
109,1,14,瑞芳區,19歲,19,19,完全落入,1.0,男,265
109,1,14,瑞芳區,19歲,19,19,完全落入,1.0,女,216
109,1,14,瑞芳區,20歲,20,20,完全落入,1.0,男,230
109,1,14,瑞芳區,20歲,20,20,完全落入,1.0,女,208
109,1,14,瑞芳區,21歲,21,21,完全落入,1.0,男,206
109,1,14,瑞芳區,21歲,21,21,完全落入,1.0,女,206
109,1,14,瑞芳區,22歲,22,22,完全落入,1.0,男,224
109,1,14,瑞芳區,22歲,22,22,完全落入,1.0,女,245
