民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
109,1,15,五股區,0歲,0,0,不相關,0.0,男,325
109,1,15,五股區,0歲,0,0,不相關,0.0,女,322
109,1,15,五股區,1歲,1,1,不相關,0.0,男,361
109,1,15,五股區,1歲,1,1,不相關,0.0,女,323
109,1,15,五股區,2歲,2,2,不相關,0.0,男,386
109,1,15,五股區,2歲,2,2,不相關,0.0,女,339
109,1,15,五股區,3歲,3,3,不相關,0.0,男,385
109,1,15,五股區,3歲,3,3,不相關,0.0,女,339
109,1,15,五股區,4歲,4,4,不相關,0.0,男,433
109,1,15,五股區,4歲,4,4,不相關,0.0,女,350
109,1,15,五股區,5歲,5,5,不相關,0.0,男,389
109,1,15,五股區,5歲,5,5,不相關,0.0,女,330
109,1,15,五股區,6歲,6,6,不相關,0.0,男,352
109,1,15,五股區,6歲,6,6,不相關,0.0,女,341
109,1,15,五股區,7歲,7,7,不相關,0.0,男,501
109,1,15,五股區,7歲,7,7,不相關,0.0,女,408
109,1,15,五股區,8歲,8,8,不相關,0.0,男,362
109,1,15,五股區,8歲,8,8,不相關,0.0,女,320
109,1,15,五股區,9歲,9,9,不相關,0.0,男,320
109,1,15,五股區,9歲,9,9,不相關,0.0,女,274
109,1,15,五股區,10歲,10,10,不相關,0.0,男,364
109,1,15,五股區,10歲,10,10,不相關,0.0,女,334
109,1,15,五股區,11歲,11,11,不相關,0.0,男,366
109,1,15,五股區,11歲,11,11,不相關,0.0,女,287
109,1,15,五股區,12歲,12,12,不相關,0.0,男,347
109,1,15,五股區,12歲,12,12,不相關,0.0,女,327
109,1,15,五股區,13歲,13,13,不相關,0.0,男,410
109,1,15,五股區,13歲,13,13,不相關,0.0,女,369
109,1,15,五股區,14歲,14,14,不相關,0.0,男,408
109,1,15,五股區,14歲,14,14,不相關,0.0,女,355
109,1,15,五股區,15歲,15,15,不相關,0.0,男,433
109,1,15,五股區,15歲,15,15,不相關,0.0,女,386
109,1,15,五股區,16歲,16,16,不相關,0.0,男,475
109,1,15,五股區,16歲,16,16,不相關,0.0,女,407
109,1,15,五股區,17歲,17,17,不相關,0.0,男,500
109,1,15,五股區,17歲,17,17,不相關,0.0,女,420
109,1,15,五股區,18歲,18,18,完全落入,1.0,男,524
109,1,15,五股區,18歲,18,18,完全落入,1.0,女,490
109,1,15,五股區,19歲,19,19,完全落入,1.0,男,597
109,1,15,五股區,19歲,19,19,完全落入,1.0,女,611
