民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
110,1,17,林口區,0歲,0,0,不相關,0.0,男,525
110,1,17,林口區,0歲,0,0,不相關,0.0,女,500
110,1,17,林口區,1歲,1,1,不相關,0.0,男,650
110,1,17,林口區,1歲,1,1,不相關,0.0,女,608
110,1,17,林口區,2歲,2,2,不相關,0.0,男,624
110,1,17,林口區,2歲,2,2,不相關,0.0,女,641
110,1,17,林口區,3歲,3,3,不相關,0.0,男,693
110,1,17,林口區,3歲,3,3,不相關,0.0,女,686
110,1,17,林口區,4歲,4,4,不相關,0.0,男,771
110,1,17,林口區,4歲,4,4,不相關,0.0,女,787
110,1,17,林口區,5歲,5,5,不相關,0.0,男,879
110,1,17,林口區,5歲,5,5,不相關,0.0,女,784
110,1,17,林口區,6歲,6,6,不相關,0.0,男,902
110,1,17,林口區,6歲,6,6,不相關,0.0,女,827
110,1,17,林口區,7歲,7,7,不相關,0.0,男,728
110,1,17,林口區,7歲,7,7,不相關,0.0,女,752
110,1,17,林口區,8歲,8,8,不相關,0.0,男,963
110,1,17,林口區,8歲,8,8,不相關,0.0,女,861
110,1,17,林口區,9歲,9,9,不相關,0.0,男,819
110,1,17,林口區,9歲,9,9,不相關,0.0,女,766
110,1,17,林口區,10歲,10,10,不相關,0.0,男,684
110,1,17,林口區,10歲,10,10,不相關,0.0,女,578
110,1,17,林口區,11歲,11,11,不相關,0.0,男,755
110,1,17,林口區,11歲,11,11,不相關,0.0,女,705
110,1,17,林口區,12歲,12,12,不相關,0.0,男,726
110,1,17,林口區,12歲,12,12,不相關,0.0,女,688
110,1,17,林口區,13歲,13,13,不相關,0.0,男,701
110,1,17,林口區,13歲,13,13,不相關,0.0,女,651
110,1,17,林口區,14歲,14,14,不相關,0.0,男,680
110,1,17,林口區,14歲,14,14,不相關,0.0,女,629
110,1,17,林口區,15歲,15,15,不相關,0.0,男,633
110,1,17,林口區,15歲,15,15,不相關,0.0,女,549
110,1,17,林口區,16歲,16,16,不相關,0.0,男,693
110,1,17,林口區,16歲,16,16,不相關,0.0,女,595
110,1,17,林口區,17歲,17,17,不相關,0.0,男,607
110,1,17,林口區,17歲,17,17,不相關,0.0,女,551
