民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
111,1,5,新莊區,0歲,0,0,不相關,0.0,男,1450
111,1,5,新莊區,0歲,0,0,不相關,0.0,女,1354
111,1,5,新莊區,1歲,1,1,不相關,0.0,男,1637
111,1,5,新莊區,1歲,1,1,不相關,0.0,女,1502
111,1,5,新莊區,2歲,2,2,不相關,0.0,男,1724
111,1,5,新莊區,2歲,2,2,不相關,0.0,女,1650
111,1,5,新莊區,3歲,3,3,不相關,0.0,男,1821
111,1,5,新莊區,3歲,3,3,不相關,0.0,女,1668
111,1,5,新莊區,4歲,4,4,不相關,0.0,男,1892
111,1,5,新莊區,4歲,4,4,不相關,0.0,女,1806
111,1,5,新莊區,5歲,5,5,不相關,0.0,男,2031
111,1,5,新莊區,5歲,5,5,不相關,0.0,女,1891
111,1,5,新莊區,6歲,6,6,不相關,0.0,男,2289
111,1,5,新莊區,6歲,6,6,不相關,0.0,女,2162
111,1,5,新莊區,7歲,7,7,不相關,0.0,男,2264
111,1,5,新莊區,7歲,7,7,不相關,0.0,女,2157
111,1,5,新莊區,8歲,8,8,不相關,0.0,男,2047
111,1,5,新莊區,8歲,8,8,不相關,0.0,女,1888
111,1,5,新莊區,9歲,9,9,不相關,0.0,男,2375
111,1,5,新莊區,9歲,9,9,不相關,0.0,女,2342
111,1,5,新莊區,10歲,10,10,不相關,0.0,男,2055
111,1,5,新莊區,10歲,10,10,不相關,0.0,女,2044
111,1,5,新莊區,11歲,11,11,不相關,0.0,男,1746
111,1,5,新莊區,11歲,11,11,不相關,0.0,女,1593
111,1,5,新莊區,12歲,12,12,不相關,0.0,男,2004
111,1,5,新莊區,12歲,12,12,不相關,0.0,女,1929
111,1,5,新莊區,13歲,13,13,不相關,0.0,男,2046
111,1,5,新莊區,13歲,13,13,不相關,0.0,女,1774
111,1,5,新莊區,14歲,14,14,不相關,0.0,男,2086
111,1,5,新莊區,14歲,14,14,不相關,0.0,女,1934
111,1,5,新莊區,15歲,15,15,不相關,0.0,男,2019
111,1,5,新莊區,15歲,15,15,不相關,0.0,女,1850
111,1,5,新莊區,16歲,16,16,不相關,0.0,男,2021
111,1,5,新莊區,16歲,16,16,不相關,0.0,女,1850
111,1,5,新莊區,17歲,17,17,不相關,0.0,男,2122
111,1,5,新莊區,17歲,17,17,不相關,0.0,女,1878
111,1,5,新莊區,18歲,18,18,完全落入,1.0,男,2125
111,1,5,新莊區,18歲,18,18,完全落入,1.0,女,1912
111,1,5,新莊區,19歲,19,19,完全落入,1.0,男,2303
111,1,5,新莊區,19歲,19,19,完全落入,1.0,女,2120
111,1,5,新莊區,20歲,20,20,完全落入,1.0,男,2373
111,1,5,新莊區,20歲,20,20,完全落入,1.0,女,2177
111,1,5,新莊區,21歲,21,21,完全落入,1.0,男,2851
111,1,5,新莊區,21歲,21,21,完全落入,1.0,女,2580
111,1,5,新莊區,22歲,22,22,完全落入,1.0,男,2521
111,1,5,新莊區,22歲,22,22,完全落入,1.0,女,2423
111,1,5,新莊區,23歲,23,23,完全落入,1.0,男,2435
111,1,5,新莊區,23歲,23,23,完全落入,1.0,女,2233
111,1,5,新莊區,24歲,24,24,完全落入,1.0,男,2986
111,1,5,新莊區,24歲,24,24,完全落入,1.0,女,2716
111,1,5,新莊區,25歲,25,25,完全落入,1.0,男,2906
111,1,5,新莊區,25歲,25,25,完全落入,1.0,女,2861
111,1,5,新莊區,26歲,26,26,完全落入,1.0,男,2978
111,1,5,新莊區,26歲,26,26,完全落入,1.0,女,2846
111,1,5,新莊區,27歲,27,27,完全落入,1.0,男,3020
111,1,5,新莊區,27歲,27,27,完全落入,1.0,女,2834
111,1,5,新莊區,28歲,28,28,完全落入,1.0,男,3161
111,1,5,新莊區,28歲,28,28,完全落入,1.0,女,2950
111,1,5,新莊區,29歲,29,29,完全落入,1.0,男,3106
111,1,5,新莊區,29歲,29,29,完全落入,1.0,女,2898
111,1,5,新莊區,30歲,30,30,完全落入,1.0,男,3162
111,1,5,新莊區,30歲,30,30,完全落入,1.0,女,2911
111,1,5,新莊區,31歲,31,31,完全落入,1.0,男,3290
111,1,5,新莊區,31歲,31,31,完全落入,1.0,女,3137
111,1,5,新莊區,32歲,32,32,完全落入,1.0,男,2961
111,1,5,新莊區,32歲,32,32,完全落入,1.0,女,2850
111,1,5,新莊區,33歲,33,33,完全落入,1.0,男,3456
111,1,5,新莊區,33歲,33,33,完全落入,1.0,女,3376
111,1,5,新莊區,34歲,34,34,完全落入,1.0,男,3042
111,1,5,新莊區,34歲,34,34,完全落入,1.0,女,2980
111,1,5,新莊區,35歲,35,35,完全落入,1.0,男,2933
111,1,5,新莊區,35歲,35,35,完全落入,1.0,女,2863
111,1,5,新莊區,36歲,36,36,不相關,0.0,男,3333
111,1,5,新莊區,36歲,36,36,不相關,0.0,女,3353
111,1,5,新莊區,37歲,37,37,不相關,0.0,男,3579
111,1,5,新莊區,37歲,37,37,不相關,0.0,女,3628
111,1,5,新莊區,38歲,38,38,不相關,0.0,男,3591
111,1,5,新莊區,38歲,38,38,不相關,0.0,女,3775
111,1,5,新莊區,39歲,39,39,不相關,0.0,男,3774
111,1,5,新莊區,39歲,39,39,不相關,0.0,女,4045
111,1,5,新莊區,40歲,40,40,不相關,0.0,男,4084
111,1,5,新莊區,40歲,40,40,不相關,0.0,女,4144
111,1,5,新莊區,41歲,41,41,不相關,0.0,男,3938
111,1,5,新莊區,41歲,41,41,不相關,0.0,女,4241
111,1,5,新莊區,42歲,42,42,不相關,0.0,男,4081
111,1,5,新莊區,42歲,42,42,不相關,0.0,女,4328
111,1,5,新莊區,43歲,43,43,不相關,0.0,男,3967
111,1,5,新莊區,43歲,43,43,不相關,0.0,女,4119
111,1,5,新莊區,44歲,44,44,不相關,0.0,男,3586
111,1,5,新莊區,44歲,44,44,不相關,0.0,女,3959
111,1,5,新莊區,45歲,45,45,不相關,0.0,男,4009
111,1,5,新莊區,45歲,45,45,不相關,0.0,女,4200
111,1,5,新莊區,46歲,46,46,不相關,0.0,男,3220
111,1,5,新莊區,46歲,46,46,不相關,0.0,女,3545
111,1,5,新莊區,47歲,47,47,不相關,0.0,男,3191
111,1,5,新莊區,47歲,47,47,不相關,0.0,女,3513
111,1,5,新莊區,48歲,48,48,不相關,0.0,男,3028
111,1,5,新莊區,48歲,48,48,不相關,0.0,女,3160
111,1,5,新莊區,49歲,49,49,不相關,0.0,男,2879
111,1,5,新莊區,49歲,49,49,不相關,0.0,女,3100
111,1,5,新莊區,50歲,50,50,不相關,0.0,男,2949
111,1,5,新莊區,50歲,50,50,不相關,0.0,女,3207
111,1,5,新莊區,51歲,51,51,不相關,0.0,男,2914
111,1,5,新莊區,51歲,51,51,不相關,0.0,女,3242
111,1,5,新莊區,52歲,52,52,不相關,0.0,男,2848
111,1,5,新莊區,52歲,52,52,不相關,0.0,女,3271
111,1,5,新莊區,53歲,53,53,不相關,0.0,男,2753
111,1,5,新莊區,53歲,53,53,不相關,0.0,女,3218
111,1,5,新莊區,54歲,54,54,不相關,0.0,男,2546
111,1,5,新莊區,54歲,54,54,不相關,0.0,女,3105
