民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
112,1,9,樹林區,0歲,0,0,不相關,0.0,男,473
112,1,9,樹林區,0歲,0,0,不相關,0.0,女,463
112,1,9,樹林區,1歲,1,1,不相關,0.0,男,656
112,1,9,樹林區,1歲,1,1,不相關,0.0,女,620
112,1,9,樹林區,2歲,2,2,不相關,0.0,男,610
112,1,9,樹林區,2歲,2,2,不相關,0.0,女,645
112,1,9,樹林區,3歲,3,3,不相關,0.0,男,755
112,1,9,樹林區,3歲,3,3,不相關,0.0,女,659
112,1,9,樹林區,4歲,4,4,不相關,0.0,男,766
112,1,9,樹林區,4歲,4,4,不相關,0.0,女,712
112,1,9,樹林區,5歲,5,5,不相關,0.0,男,832
112,1,9,樹林區,5歲,5,5,不相關,0.0,女,725
112,1,9,樹林區,6歲,6,6,不相關,0.0,男,892
112,1,9,樹林區,6歲,6,6,不相關,0.0,女,780
112,1,9,樹林區,7歲,7,7,不相關,0.0,男,847
112,1,9,樹林區,7歲,7,7,不相關,0.0,女,848
112,1,9,樹林區,8歲,8,8,不相關,0.0,男,913
112,1,9,樹林區,8歲,8,8,不相關,0.0,女,813
112,1,9,樹林區,9歲,9,9,不相關,0.0,男,802
112,1,9,樹林區,9歲,9,9,不相關,0.0,女,749
112,1,9,樹林區,10歲,10,10,不相關,0.0,男,1017
112,1,9,樹林區,10歲,10,10,不相關,0.0,女,954
112,1,9,樹林區,11歲,11,11,不相關,0.0,男,838
112,1,9,樹林區,11歲,11,11,不相關,0.0,女,761
112,1,9,樹林區,12歲,12,12,不相關,0.0,男,674
112,1,9,樹林區,12歲,12,12,不相關,0.0,女,640
112,1,9,樹林區,13歲,13,13,不相關,0.0,男,801
112,1,9,樹林區,13歲,13,13,不相關,0.0,女,709
112,1,9,樹林區,14歲,14,14,不相關,0.0,男,897
112,1,9,樹林區,14歲,14,14,不相關,0.0,女,734
112,1,9,樹林區,15歲,15,15,不相關,0.0,男,945
112,1,9,樹林區,15歲,15,15,不相關,0.0,女,808
112,1,9,樹林區,16歲,16,16,不相關,0.0,男,911
112,1,9,樹林區,16歲,16,16,不相關,0.0,女,780
112,1,9,樹林區,17歲,17,17,不相關,0.0,男,877
112,1,9,樹林區,17歲,17,17,不相關,0.0,女,843
112,1,9,樹林區,18歲,18,18,完全落入,1.0,男,972
112,1,9,樹林區,18歲,18,18,完全落入,1.0,女,884
112,1,9,樹林區,19歲,19,19,完全落入,1.0,男,960
112,1,9,樹林區,19歲,19,19,完全落入,1.0,女,863
112,1,9,樹林區,20歲,20,20,完全落入,1.0,男,1000
112,1,9,樹林區,20歲,20,20,完全落入,1.0,女,976
112,1,9,樹林區,21歲,21,21,完全落入,1.0,男,1066
112,1,9,樹林區,21歲,21,21,完全落入,1.0,女,969
112,1,9,樹林區,22歲,22,22,完全落入,1.0,男,1267
112,1,9,樹林區,22歲,22,22,完全落入,1.0,女,1159
112,1,9,樹林區,23歲,23,23,完全落入,1.0,男,1215
112,1,9,樹林區,23歲,23,23,完全落入,1.0,女,1103
112,1,9,樹林區,24歲,24,24,完全落入,1.0,男,1133
112,1,9,樹林區,24歲,24,24,完全落入,1.0,女,1030
112,1,9,樹林區,25歲,25,25,完全落入,1.0,男,1365
112,1,9,樹林區,25歲,25,25,完全落入,1.0,女,1218
112,1,9,樹林區,26歲,26,26,完全落入,1.0,男,1366
112,1,9,樹林區,26歲,26,26,完全落入,1.0,女,1215
112,1,9,樹林區,27歲,27,27,完全落入,1.0,男,1306
112,1,9,樹林區,27歲,27,27,完全落入,1.0,女,1219
112,1,9,樹林區,28歲,28,28,完全落入,1.0,男,1313
112,1,9,樹林區,28歲,28,28,完全落入,1.0,女,1235
112,1,9,樹林區,29歲,29,29,完全落入,1.0,男,1374
112,1,9,樹林區,29歲,29,29,完全落入,1.0,女,1279
112,1,9,樹林區,30歲,30,30,完全落入,1.0,男,1407
112,1,9,樹林區,30歲,30,30,完全落入,1.0,女,1226
112,1,9,樹林區,31歲,31,31,完全落入,1.0,男,1373
112,1,9,樹林區,31歲,31,31,完全落入,1.0,女,1253
112,1,9,樹林區,32歲,32,32,完全落入,1.0,男,1412
112,1,9,樹林區,32歲,32,32,完全落入,1.0,女,1246
112,1,9,樹林區,33歲,33,33,完全落入,1.0,男,1288
112,1,9,樹林區,33歲,33,33,完全落入,1.0,女,1190
112,1,9,樹林區,34歲,34,34,完全落入,1.0,男,1415
112,1,9,樹林區,34歲,34,34,完全落入,1.0,女,1265
112,1,9,樹林區,35歲,35,35,完全落入,1.0,男,1313
112,1,9,樹林區,35歲,35,35,完全落入,1.0,女,1247
112,1,9,樹林區,36歲,36,36,不相關,0.0,男,1192
112,1,9,樹林區,36歲,36,36,不相關,0.0,女,1179
112,1,9,樹林區,37歲,37,37,不相關,0.0,男,1299
112,1,9,樹林區,37歲,37,37,不相關,0.0,女,1313
112,1,9,樹林區,38歲,38,38,不相關,0.0,男,1475
112,1,9,樹林區,38歲,38,38,不相關,0.0,女,1444
112,1,9,樹林區,39歲,39,39,不相關,0.0,男,1584
112,1,9,樹林區,39歲,39,39,不相關,0.0,女,1565
112,1,9,樹林區,40歲,40,40,不相關,0.0,男,1568
112,1,9,樹林區,40歲,40,40,不相關,0.0,女,1643
112,1,9,樹林區,41歲,41,41,不相關,0.0,男,1707
112,1,9,樹林區,41歲,41,41,不相關,0.0,女,1770
112,1,9,樹林區,42歲,42,42,不相關,0.0,男,1659
112,1,9,樹林區,42歲,42,42,不相關,0.0,女,1651
112,1,9,樹林區,43歲,43,43,不相關,0.0,男,1786
112,1,9,樹林區,43歲,43,43,不相關,0.0,女,1637
112,1,9,樹林區,44歲,44,44,不相關,0.0,男,1657
112,1,9,樹林區,44歲,44,44,不相關,0.0,女,1752
112,1,9,樹林區,45歲,45,45,不相關,0.0,男,1558
112,1,9,樹林區,45歲,45,45,不相關,0.0,女,1512
112,1,9,樹林區,46歲,46,46,不相關,0.0,男,1657
112,1,9,樹林區,46歲,46,46,不相關,0.0,女,1691
112,1,9,樹林區,47歲,47,47,不相關,0.0,男,1331
112,1,9,樹林區,47歲,47,47,不相關,0.0,女,1451
112,1,9,樹林區,48歲,48,48,不相關,0.0,男,1392
112,1,9,樹林區,48歲,48,48,不相關,0.0,女,1350
112,1,9,樹林區,49歲,49,49,不相關,0.0,男,1318
112,1,9,樹林區,49歲,49,49,不相關,0.0,女,1403
112,1,9,樹林區,50歲,50,50,不相關,0.0,男,1264
112,1,9,樹林區,50歲,50,50,不相關,0.0,女,1385
112,1,9,樹林區,51歲,51,51,不相關,0.0,男,1213
112,1,9,樹林區,51歲,51,51,不相關,0.0,女,1367
112,1,9,樹林區,52歲,52,52,不相關,0.0,男,1251
112,1,9,樹林區,52歲,52,52,不相關,0.0,女,1359
112,1,9,樹林區,53歲,53,53,不相關,0.0,男,1293
112,1,9,樹林區,53歲,53,53,不相關,0.0,女,1397
112,1,9,樹林區,54歲,54,54,不相關,0.0,男,1283
112,1,9,樹林區,54歲,54,54,不相關,0.0,女,1354
112,1,9,樹林區,55歲,55,55,不相關,0.0,男,1177
112,1,9,樹林區,55歲,55,55,不相關,0.0,女,1359
112,1,9,樹林區,56歲,56,56,不相關,0.0,男,1196
112,1,9,樹林區,56歲,56,56,不相關,0.0,女,1472
112,1,9,樹林區,57歲,57,57,不相關,0.0,男,1268
112,1,9,樹林區,57歲,57,57,不相關,0.0,女,1439
112,1,9,樹林區,58歲,58,58,不相關,0.0,男,1276
112,1,9,樹林區,58歲,58,58,不相關,0.0,女,1364
112,1,9,樹林區,59歲,59,59,不相關,0.0,男,1346
112,1,9,樹林區,59歲,59,59,不相關,0.0,女,1481
112,1,9,樹林區,60歲,60,60,不相關,0.0,男,1333
112,1,9,樹林區,60歲,60,60,不相關,0.0,女,1507
112,1,9,樹林區,61歲,61,61,不相關,0.0,男,1250
112,1,9,樹林區,61歲,61,61,不相關,0.0,女,1449
112,1,9,樹林區,62歲,62,62,不相關,0.0,男,1278
112,1,9,樹林區,62歲,62,62,不相關,0.0,女,1393
112,1,9,樹林區,63歲,63,63,不相關,0.0,男,1226
112,1,9,樹林區,63歲,63,63,不相關,0.0,女,1375
112,1,9,樹林區,64歲,64,64,不相關,0.0,男,1196
112,1,9,樹林區,64歲,64,64,不相關,0.0,女,1375
112,1,9,樹林區,65歲,65,65,不相關,0.0,男,1084
112,1,9,樹林區,65歲,65,65,不相關,0.0,女,1320
112,1,9,樹林區,66歲,66,66,不相關,0.0,男,1134
112,1,9,樹林區,66歲,66,66,不相關,0.0,女,1354
112,1,9,樹林區,67歲,67,67,不相關,0.0,男,1109
112,1,9,樹林區,67歲,67,67,不相關,0.0,女,1252
112,1,9,樹林區,68歲,68,68,不相關,0.0,男,979
112,1,9,樹林區,68歲,68,68,不相關,0.0,女,1118
112,1,9,樹林區,69歲,69,69,不相關,0.0,男,959
