民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
113,1,8,蘆洲區,0歲,0,0,不相關,0.0,男,507
113,1,8,蘆洲區,0歲,0,0,不相關,0.0,女,478
113,1,8,蘆洲區,1歲,1,1,不相關,0.0,男,633
113,1,8,蘆洲區,1歲,1,1,不相關,0.0,女,600
113,1,8,蘆洲區,2歲,2,2,不相關,0.0,男,706
113,1,8,蘆洲區,2歲,2,2,不相關,0.0,女,649
113,1,8,蘆洲區,3歲,3,3,不相關,0.0,男,736
113,1,8,蘆洲區,3歲,3,3,不相關,0.0,女,673
113,1,8,蘆洲區,4歲,4,4,不相關,0.0,男,769
113,1,8,蘆洲區,4歲,4,4,不相關,0.0,女,762
113,1,8,蘆洲區,5歲,5,5,不相關,0.0,男,764
113,1,8,蘆洲區,5歲,5,5,不相關,0.0,女,794
113,1,8,蘆洲區,6歲,6,6,不相關,0.0,男,843
113,1,8,蘆洲區,6歲,6,6,不相關,0.0,女,875
113,1,8,蘆洲區,7歲,7,7,不相關,0.0,男,1013
113,1,8,蘆洲區,7歲,7,7,不相關,0.0,女,840
113,1,8,蘆洲區,8歲,8,8,不相關,0.0,男,1003
113,1,8,蘆洲區,8歲,8,8,不相關,0.0,女,857
113,1,8,蘆洲區,9歲,9,9,不相關,0.0,男,976
113,1,8,蘆洲區,9歲,9,9,不相關,0.0,女,921
113,1,8,蘆洲區,10歲,10,10,不相關,0.0,男,835
113,1,8,蘆洲區,10歲,10,10,不相關,0.0,女,749
113,1,8,蘆洲區,11歲,11,11,不相關,0.0,男,1082
113,1,8,蘆洲區,11歲,11,11,不相關,0.0,女,899
113,1,8,蘆洲區,12歲,12,12,不相關,0.0,男,838
113,1,8,蘆洲區,12歲,12,12,不相關,0.0,女,781
113,1,8,蘆洲區,13歲,13,13,不相關,0.0,男,708
113,1,8,蘆洲區,13歲,13,13,不相關,0.0,女,653
113,1,8,蘆洲區,14歲,14,14,不相關,0.0,男,933
113,1,8,蘆洲區,14歲,14,14,不相關,0.0,女,799
113,1,8,蘆洲區,15歲,15,15,不相關,0.0,男,922
113,1,8,蘆洲區,15歲,15,15,不相關,0.0,女,802
113,1,8,蘆洲區,16歲,16,16,不相關,0.0,男,991
113,1,8,蘆洲區,16歲,16,16,不相關,0.0,女,911
