民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
113,1,19,深坑區,0歲,0,0,不相關,0.0,男,45
113,1,19,深坑區,0歲,0,0,不相關,0.0,女,37
113,1,19,深坑區,1歲,1,1,不相關,0.0,男,49
113,1,19,深坑區,1歲,1,1,不相關,0.0,女,58
113,1,19,深坑區,2歲,2,2,不相關,0.0,男,70
113,1,19,深坑區,2歲,2,2,不相關,0.0,女,56
113,1,19,深坑區,3歲,3,3,不相關,0.0,男,62
113,1,19,深坑區,3歲,3,3,不相關,0.0,女,60
113,1,19,深坑區,4歲,4,4,不相關,0.0,男,79
113,1,19,深坑區,4歲,4,4,不相關,0.0,女,55
113,1,19,深坑區,5歲,5,5,不相關,0.0,男,74
113,1,19,深坑區,5歲,5,5,不相關,0.0,女,56
113,1,19,深坑區,6歲,6,6,不相關,0.0,男,82
113,1,19,深坑區,6歲,6,6,不相關,0.0,女,79
113,1,19,深坑區,7歲,7,7,不相關,0.0,男,95
113,1,19,深坑區,7歲,7,7,不相關,0.0,女,73
113,1,19,深坑區,8歲,8,8,不相關,0.0,男,71
113,1,19,深坑區,8歲,8,8,不相關,0.0,女,79
113,1,19,深坑區,9歲,9,9,不相關,0.0,男,74
113,1,19,深坑區,9歲,9,9,不相關,0.0,女,68
113,1,19,深坑區,10歲,10,10,不相關,0.0,男,68
113,1,19,深坑區,10歲,10,10,不相關,0.0,女,62
113,1,19,深坑區,11歲,11,11,不相關,0.0,男,80
113,1,19,深坑區,11歲,11,11,不相關,0.0,女,73
113,1,19,深坑區,12歲,12,12,不相關,0.0,男,66
113,1,19,深坑區,12歲,12,12,不相關,0.0,女,62
113,1,19,深坑區,13歲,13,13,不相關,0.0,男,62
113,1,19,深坑區,13歲,13,13,不相關,0.0,女,57
113,1,19,深坑區,14歲,14,14,不相關,0.0,男,79
113,1,19,深坑區,14歲,14,14,不相關,0.0,女,69
113,1,19,深坑區,15歲,15,15,不相關,0.0,男,74
