民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
113,1,24,金山區,0歲,0,0,不相關,0.0,男,39
113,1,24,金山區,0歲,0,0,不相關,0.0,女,39
113,1,24,金山區,1歲,1,1,不相關,0.0,男,49
113,1,24,金山區,1歲,1,1,不相關,0.0,女,56
113,1,24,金山區,2歲,2,2,不相關,0.0,男,58
113,1,24,金山區,2歲,2,2,不相關,0.0,女,36
113,1,24,金山區,3歲,3,3,不相關,0.0,男,55
113,1,24,金山區,3歲,3,3,不相關,0.0,女,42
113,1,24,金山區,4歲,4,4,不相關,0.0,男,47
113,1,24,金山區,4歲,4,4,不相關,0.0,女,33
113,1,24,金山區,5歲,5,5,不相關,0.0,男,58
113,1,24,金山區,5歲,5,5,不相關,0.0,女,59
113,1,24,金山區,6歲,6,6,不相關,0.0,男,47
113,1,24,金山區,6歲,6,6,不相關,0.0,女,62
113,1,24,金山區,7歲,7,7,不相關,0.0,男,46
113,1,24,金山區,7歲,7,7,不相關,0.0,女,63
113,1,24,金山區,8歲,8,8,不相關,0.0,男,67
113,1,24,金山區,8歲,8,8,不相關,0.0,女,35
113,1,24,金山區,9歲,9,9,不相關,0.0,男,59
113,1,24,金山區,9歲,9,9,不相關,0.0,女,59
113,1,24,金山區,10歲,10,10,不相關,0.0,男,64
113,1,24,金山區,10歲,10,10,不相關,0.0,女,46
113,1,24,金山區,11歲,11,11,不相關,0.0,男,69
113,1,24,金山區,11歲,11,11,不相關,0.0,女,57
113,1,24,金山區,12歲,12,12,不相關,0.0,男,43
113,1,24,金山區,12歲,12,12,不相關,0.0,女,43
113,1,24,金山區,13歲,13,13,不相關,0.0,男,55
113,1,24,金山區,13歲,13,13,不相關,0.0,女,58
113,1,24,金山區,14歲,14,14,不相關,0.0,男,60
113,1,24,金山區,14歲,14,14,不相關,0.0,女,50
113,1,24,金山區,15歲,15,15,不相關,0.0,男,73
113,1,24,金山區,15歲,15,15,不相關,0.0,女,69
113,1,24,金山區,16歲,16,16,不相關,0.0,男,74
