民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
114,1,13,汐止區,0歲,0,0,不相關,0.0,男,461
114,1,13,汐止區,0歲,0,0,不相關,0.0,女,415
114,1,13,汐止區,1歲,1,1,不相關,0.0,男,498
114,1,13,汐止區,1歲,1,1,不相關,0.0,女,492
114,1,13,汐止區,2歲,2,2,不相關,0.0,男,567
114,1,13,汐止區,2歲,2,2,不相關,0.0,女,550
114,1,13,汐止區,3歲,3,3,不相關,0.0,男,570
114,1,13,汐止區,3歲,3,3,不相關,0.0,女,553
114,1,13,汐止區,4歲,4,4,不相關,0.0,男,636
114,1,13,汐止區,4歲,4,4,不相關,0.0,女,535
114,1,13,汐止區,5歲,5,5,不相關,0.0,男,665
114,1,13,汐止區,5歲,5,5,不相關,0.0,女,602
114,1,13,汐止區,6歲,6,6,不相關,0.0,男,696
114,1,13,汐止區,6歲,6,6,不相關,0.0,女,648
114,1,13,汐止區,7歲,7,7,不相關,0.0,男,707
114,1,13,汐止區,7歲,7,7,不相關,0.0,女,642
114,1,13,汐止區,8歲,8,8,不相關,0.0,男,801
114,1,13,汐止區,8歲,8,8,不相關,0.0,女,720
114,1,13,汐止區,9歲,9,9,不相關,0.0,男,738
114,1,13,汐止區,9歲,9,9,不相關,0.0,女,675
114,1,13,汐止區,10歲,10,10,不相關,0.0,男,735
114,1,13,汐止區,10歲,10,10,不相關,0.0,女,680
114,1,13,汐止區,11歲,11,11,不相關,0.0,男,673
114,1,13,汐止區,11歲,11,11,不相關,0.0,女,638
114,1,13,汐止區,12歲,12,12,不相關,0.0,男,853
114,1,13,汐止區,12歲,12,12,不相關,0.0,女,779
114,1,13,汐止區,13歲,13,13,不相關,0.0,男,701
114,1,13,汐止區,13歲,13,13,不相關,0.0,女,705
114,1,13,汐止區,14歲,14,14,不相關,0.0,男,655
114,1,13,汐止區,14歲,14,14,不相關,0.0,女,582
114,1,13,汐止區,15歲,15,15,不相關,0.0,男,780
114,1,13,汐止區,15歲,15,15,不相關,0.0,女,690
114,1,13,汐止區,16歲,16,16,不相關,0.0,男,829
114,1,13,汐止區,16歲,16,16,不相關,0.0,女,768
114,1,13,汐止區,17歲,17,17,不相關,0.0,男,888
114,1,13,汐止區,17歲,17,17,不相關,0.0,女,797
114,1,13,汐止區,18歲,18,18,完全落入,1.0,男,839
114,1,13,汐止區,18歲,18,18,完全落入,1.0,女,812
114,1,13,汐止區,19歲,19,19,完全落入,1.0,男,917
114,1,13,汐止區,19歲,19,19,完全落入,1.0,女,761
114,1,13,汐止區,20歲,20,20,完全落入,1.0,男,970
114,1,13,汐止區,20歲,20,20,完全落入,1.0,女,803
114,1,13,汐止區,21歲,21,21,完全落入,1.0,男,1000
114,1,13,汐止區,21歲,21,21,完全落入,1.0,女,941
114,1,13,汐止區,22歲,22,22,完全落入,1.0,男,1092
114,1,13,汐止區,22歲,22,22,完全落入,1.0,女,1062
114,1,13,汐止區,23歲,23,23,完全落入,1.0,男,1167
114,1,13,汐止區,23歲,23,23,完全落入,1.0,女,1085
114,1,13,汐止區,24歲,24,24,完全落入,1.0,男,1473
114,1,13,汐止區,24歲,24,24,完全落入,1.0,女,1266
114,1,13,汐止區,25歲,25,25,完全落入,1.0,男,1416
114,1,13,汐止區,25歲,25,25,完全落入,1.0,女,1246
114,1,13,汐止區,26歲,26,26,完全落入,1.0,男,1287
114,1,13,汐止區,26歲,26,26,完全落入,1.0,女,1220
114,1,13,汐止區,27歲,27,27,完全落入,1.0,男,1545
