民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
106,,12,淡水區,,,,無年齡維度,0.0,女,不識字,未分,1029
106,,12,淡水區,,,,無年齡維度,0.0,女,二專,畢業,835
106,,12,淡水區,,,,無年齡維度,0.0,女,二專,肄業,183
106,,12,淡水區,,,,無年齡維度,0.0,女,五專前三年,肄業,171
106,,12,淡水區,,,,無年齡維度,0.0,女,五專後二年,畢業,412
106,,12,淡水區,,,,無年齡維度,0.0,女,五專後二年,肄業,39
106,,12,淡水區,,,,無年齡維度,0.0,女,博士,畢業,9
106,,12,淡水區,,,,無年齡維度,0.0,女,博士,肄業,9
106,,12,淡水區,,,,無年齡維度,0.0,女,國中,畢業,2576
106,,12,淡水區,,,,無年齡維度,0.0,女,國中,肄業,468
106,,12,淡水區,,,,無年齡維度,0.0,女,國中(職業),畢業,13
106,,12,淡水區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
106,,12,淡水區,,,,無年齡維度,0.0,女,國小,畢業,3206
106,,12,淡水區,,,,無年齡維度,0.0,女,國小,肄業,587
106,,12,淡水區,,,,無年齡維度,0.0,女,大學,畢業,2255
106,,12,淡水區,,,,無年齡維度,0.0,女,大學,肄業,878
106,,12,淡水區,,,,無年齡維度,0.0,女,碩士,畢業,262
106,,12,淡水區,,,,無年齡維度,0.0,女,碩士,肄業,107
106,,12,淡水區,,,,無年齡維度,0.0,女,自學,未分,98
106,,12,淡水區,,,,無年齡維度,0.0,女,高中,畢業,738
106,,12,淡水區,,,,無年齡維度,0.0,女,高中,肄業,313
106,,12,淡水區,,,,無年齡維度,0.0,女,高職,畢業,3020
106,,12,淡水區,,,,無年齡維度,0.0,女,高職,肄業,864
106,,12,淡水區,,,,無年齡維度,0.0,男,不識字,未分,124
106,,12,淡水區,,,,無年齡維度,0.0,男,二專,畢業,918
106,,12,淡水區,,,,無年齡維度,0.0,男,二專,肄業,267
106,,12,淡水區,,,,無年齡維度,0.0,男,五專前三年,肄業,68
106,,12,淡水區,,,,無年齡維度,0.0,男,五專後二年,畢業,512
106,,12,淡水區,,,,無年齡維度,0.0,男,五專後二年,肄業,41
106,,12,淡水區,,,,無年齡維度,0.0,男,博士,畢業,22
106,,12,淡水區,,,,無年齡維度,0.0,男,博士,肄業,15
106,,12,淡水區,,,,無年齡維度,0.0,男,國中,畢業,3434
106,,12,淡水區,,,,無年齡維度,0.0,男,國中,肄業,611
106,,12,淡水區,,,,無年齡維度,0.0,男,國中(職業),畢業,20
106,,12,淡水區,,,,無年齡維度,0.0,男,國中(職業),肄業,9
106,,12,淡水區,,,,無年齡維度,0.0,男,國小,畢業,2057
106,,12,淡水區,,,,無年齡維度,0.0,男,國小,肄業,276
106,,12,淡水區,,,,無年齡維度,0.0,男,大學,畢業,2101
106,,12,淡水區,,,,無年齡維度,0.0,男,大學,肄業,991
106,,12,淡水區,,,,無年齡維度,0.0,男,碩士,畢業,404
106,,12,淡水區,,,,無年齡維度,0.0,男,碩士,肄業,150
106,,12,淡水區,,,,無年齡維度,0.0,男,自學,未分,122
106,,12,淡水區,,,,無年齡維度,0.0,男,高中,畢業,797
106,,12,淡水區,,,,無年齡維度,0.0,男,高中,肄業,375
106,,12,淡水區,,,,無年齡維度,0.0,男,高職,畢業,3642
106,,12,淡水區,,,,無年齡維度,0.0,男,高職,肄業,1457
