民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
106,,15,五股區,,,,無年齡維度,0.0,女,不識字,未分,487
106,,15,五股區,,,,無年齡維度,0.0,女,二專,畢業,2351
106,,15,五股區,,,,無年齡維度,0.0,女,二專,肄業,417
106,,15,五股區,,,,無年齡維度,0.0,女,五專前三年,肄業,249
106,,15,五股區,,,,無年齡維度,0.0,女,五專後二年,畢業,1079
106,,15,五股區,,,,無年齡維度,0.0,女,五專後二年,肄業,65
106,,15,五股區,,,,無年齡維度,0.0,女,博士,畢業,31
106,,15,五股區,,,,無年齡維度,0.0,女,博士,肄業,23
106,,15,五股區,,,,無年齡維度,0.0,女,國中,畢業,4829
106,,15,五股區,,,,無年齡維度,0.0,女,國中,肄業,513
106,,15,五股區,,,,無年齡維度,0.0,女,國中(職業),畢業,36
106,,15,五股區,,,,無年齡維度,0.0,女,國中(職業),肄業,6
106,,15,五股區,,,,無年齡維度,0.0,女,國小,畢業,4568
106,,15,五股區,,,,無年齡維度,0.0,女,國小,肄業,593
106,,15,五股區,,,,無年齡維度,0.0,女,大學,畢業,6359
106,,15,五股區,,,,無年齡維度,0.0,女,大學,肄業,2562
106,,15,五股區,,,,無年齡維度,0.0,女,碩士,畢業,734
106,,15,五股區,,,,無年齡維度,0.0,女,碩士,肄業,263
106,,15,五股區,,,,無年齡維度,0.0,女,自學,未分,98
106,,15,五股區,,,,無年齡維度,0.0,女,高中,畢業,2146
106,,15,五股區,,,,無年齡維度,0.0,女,高中,肄業,914
106,,15,五股區,,,,無年齡維度,0.0,女,高職,畢業,7046
106,,15,五股區,,,,無年齡維度,0.0,女,高職,肄業,1627
106,,15,五股區,,,,無年齡維度,0.0,男,不識字,未分,58
106,,15,五股區,,,,無年齡維度,0.0,男,二專,畢業,2133
106,,15,五股區,,,,無年齡維度,0.0,男,二專,肄業,479
106,,15,五股區,,,,無年齡維度,0.0,男,五專前三年,肄業,135
106,,15,五股區,,,,無年齡維度,0.0,男,五專後二年,畢業,1467
106,,15,五股區,,,,無年齡維度,0.0,男,五專後二年,肄業,115
106,,15,五股區,,,,無年齡維度,0.0,男,博士,畢業,68
106,,15,五股區,,,,無年齡維度,0.0,男,博士,肄業,52
106,,15,五股區,,,,無年齡維度,0.0,男,國中,畢業,5329
106,,15,五股區,,,,無年齡維度,0.0,男,國中,肄業,682
106,,15,五股區,,,,無年齡維度,0.0,男,國中(職業),畢業,48
106,,15,五股區,,,,無年齡維度,0.0,男,國中(職業),肄業,10
106,,15,五股區,,,,無年齡維度,0.0,男,國小,畢業,2871
106,,15,五股區,,,,無年齡維度,0.0,男,國小,肄業,249
106,,15,五股區,,,,無年齡維度,0.0,男,大學,畢業,5904
106,,15,五股區,,,,無年齡維度,0.0,男,大學,肄業,2845
106,,15,五股區,,,,無年齡維度,0.0,男,碩士,畢業,1226
106,,15,五股區,,,,無年齡維度,0.0,男,碩士,肄業,388
106,,15,五股區,,,,無年齡維度,0.0,男,自學,未分,26
106,,15,五股區,,,,無年齡維度,0.0,男,高中,畢業,2493
106,,15,五股區,,,,無年齡維度,0.0,男,高中,肄業,1131
106,,15,五股區,,,,無年齡維度,0.0,男,高職,畢業,6964
106,,15,五股區,,,,無年齡維度,0.0,男,高職,肄業,2406
