民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
107,,24,金山區,,,,無年齡維度,0.0,女,不識字,未分,228
107,,24,金山區,,,,無年齡維度,0.0,女,二專,畢業,62
107,,24,金山區,,,,無年齡維度,0.0,女,二專,肄業,11
107,,24,金山區,,,,無年齡維度,0.0,女,五專前三年,肄業,24
107,,24,金山區,,,,無年齡維度,0.0,女,五專後二年,畢業,43
107,,24,金山區,,,,無年齡維度,0.0,女,五專後二年,肄業,5
107,,24,金山區,,,,無年齡維度,0.0,女,博士,畢業,0
107,,24,金山區,,,,無年齡維度,0.0,女,博士,肄業,0
107,,24,金山區,,,,無年齡維度,0.0,女,國中,畢業,310
107,,24,金山區,,,,無年齡維度,0.0,女,國中,肄業,34
107,,24,金山區,,,,無年齡維度,0.0,女,國中(職業),畢業,1
107,,24,金山區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
107,,24,金山區,,,,無年齡維度,0.0,女,國小,畢業,426
107,,24,金山區,,,,無年齡維度,0.0,女,國小,肄業,109
107,,24,金山區,,,,無年齡維度,0.0,女,大學,畢業,166
107,,24,金山區,,,,無年齡維度,0.0,女,大學,肄業,53
107,,24,金山區,,,,無年齡維度,0.0,女,碩士,畢業,19
107,,24,金山區,,,,無年齡維度,0.0,女,碩士,肄業,11
107,,24,金山區,,,,無年齡維度,0.0,女,自學,未分,8
107,,24,金山區,,,,無年齡維度,0.0,女,高中,畢業,82
107,,24,金山區,,,,無年齡維度,0.0,女,高中,肄業,30
107,,24,金山區,,,,無年齡維度,0.0,女,高職,畢業,254
107,,24,金山區,,,,無年齡維度,0.0,女,高職,肄業,68
107,,24,金山區,,,,無年齡維度,0.0,男,不識字,未分,24
107,,24,金山區,,,,無年齡維度,0.0,男,二專,畢業,95
107,,24,金山區,,,,無年齡維度,0.0,男,二專,肄業,26
107,,24,金山區,,,,無年齡維度,0.0,男,五專前三年,肄業,6
107,,24,金山區,,,,無年齡維度,0.0,男,五專後二年,畢業,78
107,,24,金山區,,,,無年齡維度,0.0,男,五專後二年,肄業,7
107,,24,金山區,,,,無年齡維度,0.0,男,博士,畢業,0
107,,24,金山區,,,,無年齡維度,0.0,男,博士,肄業,2
107,,24,金山區,,,,無年齡維度,0.0,男,國中,畢業,661
107,,24,金山區,,,,無年齡維度,0.0,男,國中,肄業,47
107,,24,金山區,,,,無年齡維度,0.0,男,國中(職業),畢業,0
107,,24,金山區,,,,無年齡維度,0.0,男,國中(職業),肄業,0
107,,24,金山區,,,,無年齡維度,0.0,男,國小,畢業,297
107,,24,金山區,,,,無年齡維度,0.0,男,國小,肄業,60
107,,24,金山區,,,,無年齡維度,0.0,男,大學,畢業,177
107,,24,金山區,,,,無年齡維度,0.0,男,大學,肄業,67
107,,24,金山區,,,,無年齡維度,0.0,男,碩士,畢業,32
107,,24,金山區,,,,無年齡維度,0.0,男,碩士,肄業,8
107,,24,金山區,,,,無年齡維度,0.0,男,自學,未分,4
107,,24,金山區,,,,無年齡維度,0.0,男,高中,畢業,158
107,,24,金山區,,,,無年齡維度,0.0,男,高中,肄業,48
107,,24,金山區,,,,無年齡維度,0.0,男,高職,畢業,485
107,,24,金山區,,,,無年齡維度,0.0,男,高職,肄業,161
