民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
108,,23,石門區,,,,無年齡維度,0.0,女,不識字,未分,327
108,,23,石門區,,,,無年齡維度,0.0,女,二專,畢業,1082
108,,23,石門區,,,,無年齡維度,0.0,女,二專,肄業,219
108,,23,石門區,,,,無年齡維度,0.0,女,五專前三年,肄業,191
108,,23,石門區,,,,無年齡維度,0.0,女,五專後二年,畢業,806
108,,23,石門區,,,,無年齡維度,0.0,女,五專後二年,肄業,55
108,,23,石門區,,,,無年齡維度,0.0,女,博士,畢業,20
108,,23,石門區,,,,無年齡維度,0.0,女,博士,肄業,13
108,,23,石門區,,,,無年齡維度,0.0,女,國中,畢業,2209
108,,23,石門區,,,,無年齡維度,0.0,女,國中,肄業,220
108,,23,石門區,,,,無年齡維度,0.0,女,國中(職業),畢業,6
108,,23,石門區,,,,無年齡維度,0.0,女,國中(職業),肄業,4
108,,23,石門區,,,,無年齡維度,0.0,女,國小,畢業,1575
108,,23,石門區,,,,無年齡維度,0.0,女,國小,肄業,262
108,,23,石門區,,,,無年齡維度,0.0,女,大學,畢業,3321
108,,23,石門區,,,,無年齡維度,0.0,女,大學,肄業,1121
108,,23,石門區,,,,無年齡維度,0.0,女,碩士,畢業,463
108,,23,石門區,,,,無年齡維度,0.0,女,碩士,肄業,163
108,,23,石門區,,,,無年齡維度,0.0,女,自學,未分,35
108,,23,石門區,,,,無年齡維度,0.0,女,高中,畢業,1249
108,,23,石門區,,,,無年齡維度,0.0,女,高中,肄業,515
108,,23,石門區,,,,無年齡維度,0.0,女,高職,畢業,3078
108,,23,石門區,,,,無年齡維度,0.0,女,高職,肄業,749
108,,23,石門區,,,,無年齡維度,0.0,男,不識字,未分,48
108,,23,石門區,,,,無年齡維度,0.0,男,二專,畢業,980
108,,23,石門區,,,,無年齡維度,0.0,男,二專,肄業,309
108,,23,石門區,,,,無年齡維度,0.0,男,五專前三年,肄業,149
108,,23,石門區,,,,無年齡維度,0.0,男,五專後二年,畢業,940
108,,23,石門區,,,,無年齡維度,0.0,男,五專後二年,肄業,103
108,,23,石門區,,,,無年齡維度,0.0,男,博士,畢業,57
108,,23,石門區,,,,無年齡維度,0.0,男,博士,肄業,27
108,,23,石門區,,,,無年齡維度,0.0,男,國中,畢業,2595
108,,23,石門區,,,,無年齡維度,0.0,男,國中,肄業,260
108,,23,石門區,,,,無年齡維度,0.0,男,國中(職業),畢業,15
108,,23,石門區,,,,無年齡維度,0.0,男,國中(職業),肄業,2
108,,23,石門區,,,,無年齡維度,0.0,男,國小,畢業,1168
108,,23,石門區,,,,無年齡維度,0.0,男,國小,肄業,166
108,,23,石門區,,,,無年齡維度,0.0,男,大學,畢業,2819
108,,23,石門區,,,,無年齡維度,0.0,男,大學,肄業,1216
108,,23,石門區,,,,無年齡維度,0.0,男,碩士,畢業,626
108,,23,石門區,,,,無年齡維度,0.0,男,碩士,肄業,200
108,,23,石門區,,,,無年齡維度,0.0,男,自學,未分,24
108,,23,石門區,,,,無年齡維度,0.0,男,高中,畢業,1197
108,,23,石門區,,,,無年齡維度,0.0,男,高中,肄業,537
108,,23,石門區,,,,無年齡維度,0.0,男,高職,畢業,2793
108,,23,石門區,,,,無年齡維度,0.0,男,高職,肄業,1060
