民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
109,,7,土城區,,,,無年齡維度,0.0,女,不識字,未分,621
109,,7,土城區,,,,無年齡維度,0.0,女,二專,畢業,4983
109,,7,土城區,,,,無年齡維度,0.0,女,二專,肄業,637
109,,7,土城區,,,,無年齡維度,0.0,女,五專前三年,肄業,487
109,,7,土城區,,,,無年齡維度,0.0,女,五專後二年,畢業,2664
109,,7,土城區,,,,無年齡維度,0.0,女,五專後二年,肄業,152
109,,7,土城區,,,,無年齡維度,0.0,女,博士,畢業,116
109,,7,土城區,,,,無年齡維度,0.0,女,博士,肄業,87
109,,7,土城區,,,,無年齡維度,0.0,女,國中,畢業,9698
109,,7,土城區,,,,無年齡維度,0.0,女,國中,肄業,1085
109,,7,土城區,,,,無年齡維度,0.0,女,國中(職業),畢業,137
109,,7,土城區,,,,無年齡維度,0.0,女,國中(職業),肄業,19
109,,7,土城區,,,,無年齡維度,0.0,女,國小,畢業,8309
109,,7,土城區,,,,無年齡維度,0.0,女,國小,肄業,831
109,,7,土城區,,,,無年齡維度,0.0,女,大學,畢業,17496
109,,7,土城區,,,,無年齡維度,0.0,女,大學,肄業,5254
109,,7,土城區,,,,無年齡維度,0.0,女,碩士,畢業,2589
109,,7,土城區,,,,無年齡維度,0.0,女,碩士,肄業,797
109,,7,土城區,,,,無年齡維度,0.0,女,自學,未分,195
109,,7,土城區,,,,無年齡維度,0.0,女,高中,畢業,4645
109,,7,土城區,,,,無年齡維度,0.0,女,高中,肄業,1924
109,,7,土城區,,,,無年齡維度,0.0,女,高職,畢業,14819
109,,7,土城區,,,,無年齡維度,0.0,女,高職,肄業,2941
109,,7,土城區,,,,無年齡維度,0.0,男,不識字,未分,77
109,,7,土城區,,,,無年齡維度,0.0,男,二專,畢業,4606
109,,7,土城區,,,,無年齡維度,0.0,男,二專,肄業,922
109,,7,土城區,,,,無年齡維度,0.0,男,五專前三年,肄業,321
109,,7,土城區,,,,無年齡維度,0.0,男,五專後二年,畢業,3164
109,,7,土城區,,,,無年齡維度,0.0,男,五專後二年,肄業,232
109,,7,土城區,,,,無年齡維度,0.0,男,博士,畢業,319
109,,7,土城區,,,,無年齡維度,0.0,男,博士,肄業,192
109,,7,土城區,,,,無年齡維度,0.0,男,國中,畢業,9327
109,,7,土城區,,,,無年齡維度,0.0,男,國中,肄業,1138
109,,7,土城區,,,,無年齡維度,0.0,男,國中(職業),畢業,138
109,,7,土城區,,,,無年齡維度,0.0,男,國中(職業),肄業,28
109,,7,土城區,,,,無年齡維度,0.0,男,國小,畢業,4901
109,,7,土城區,,,,無年齡維度,0.0,男,國小,肄業,403
109,,7,土城區,,,,無年齡維度,0.0,男,大學,畢業,15024
109,,7,土城區,,,,無年齡維度,0.0,男,大學,肄業,6082
109,,7,土城區,,,,無年齡維度,0.0,男,碩士,畢業,4247
109,,7,土城區,,,,無年齡維度,0.0,男,碩士,肄業,1141
109,,7,土城區,,,,無年齡維度,0.0,男,自學,未分,53
109,,7,土城區,,,,無年齡維度,0.0,男,高中,畢業,5674
109,,7,土城區,,,,無年齡維度,0.0,男,高中,肄業,2324
109,,7,土城區,,,,無年齡維度,0.0,男,高職,畢業,14171
109,,7,土城區,,,,無年齡維度,0.0,男,高職,肄業,4110
