民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
110,,17,林口區,,,,無年齡維度,0.0,女,不識字,未分,518
110,,17,林口區,,,,無年齡維度,0.0,女,二專,畢業,3622
110,,17,林口區,,,,無年齡維度,0.0,女,二專,肄業,474
110,,17,林口區,,,,無年齡維度,0.0,女,五專前三年,肄業,293
110,,17,林口區,,,,無年齡維度,0.0,女,五專後二年,畢業,2814
110,,17,林口區,,,,無年齡維度,0.0,女,五專後二年,肄業,133
110,,17,林口區,,,,無年齡維度,0.0,女,博士,畢業,295
110,,17,林口區,,,,無年齡維度,0.0,女,博士,肄業,139
110,,17,林口區,,,,無年齡維度,0.0,女,國中,畢業,3463
110,,17,林口區,,,,無年齡維度,0.0,女,國中,肄業,634
110,,17,林口區,,,,無年齡維度,0.0,女,國中(職業),畢業,35
110,,17,林口區,,,,無年齡維度,0.0,女,國中(職業),肄業,9
110,,17,林口區,,,,無年齡維度,0.0,女,國小,畢業,3545
110,,17,林口區,,,,無年齡維度,0.0,女,國小,肄業,437
110,,17,林口區,,,,無年齡維度,0.0,女,大學,畢業,15696
110,,17,林口區,,,,無年齡維度,0.0,女,大學,肄業,3194
110,,17,林口區,,,,無年齡維度,0.0,女,碩士,畢業,3606
110,,17,林口區,,,,無年齡維度,0.0,女,碩士,肄業,808
110,,17,林口區,,,,無年齡維度,0.0,女,自學,未分,71
110,,17,林口區,,,,無年齡維度,0.0,女,高中,畢業,3301
110,,17,林口區,,,,無年齡維度,0.0,女,高中,肄業,1653
110,,17,林口區,,,,無年齡維度,0.0,女,高職,畢業,7293
110,,17,林口區,,,,無年齡維度,0.0,女,高職,肄業,1201
110,,17,林口區,,,,無年齡維度,0.0,男,不識字,未分,54
110,,17,林口區,,,,無年齡維度,0.0,男,二專,畢業,2453
110,,17,林口區,,,,無年齡維度,0.0,男,二專,肄業,583
110,,17,林口區,,,,無年齡維度,0.0,男,五專前三年,肄業,235
110,,17,林口區,,,,無年齡維度,0.0,男,五專後二年,畢業,2768
110,,17,林口區,,,,無年齡維度,0.0,男,五專後二年,肄業,220
110,,17,林口區,,,,無年齡維度,0.0,男,博士,畢業,603
110,,17,林口區,,,,無年齡維度,0.0,男,博士,肄業,237
110,,17,林口區,,,,無年齡維度,0.0,男,國中,畢業,3277
110,,17,林口區,,,,無年齡維度,0.0,男,國中,肄業,635
110,,17,林口區,,,,無年齡維度,0.0,男,國中(職業),畢業,33
110,,17,林口區,,,,無年齡維度,0.0,男,國中(職業),肄業,9
110,,17,林口區,,,,無年齡維度,0.0,男,國小,畢業,1865
110,,17,林口區,,,,無年齡維度,0.0,男,國小,肄業,227
110,,17,林口區,,,,無年齡維度,0.0,男,大學,畢業,13180
110,,17,林口區,,,,無年齡維度,0.0,男,大學,肄業,3664
110,,17,林口區,,,,無年齡維度,0.0,男,碩士,畢業,5288
110,,17,林口區,,,,無年齡維度,0.0,男,碩士,肄業,1038
110,,17,林口區,,,,無年齡維度,0.0,男,自學,未分,53
110,,17,林口區,,,,無年齡維度,0.0,男,高中,畢業,2942
110,,17,林口區,,,,無年齡維度,0.0,男,高中,肄業,1830
110,,17,林口區,,,,無年齡維度,0.0,男,高職,畢業,6040
110,,17,林口區,,,,無年齡維度,0.0,男,高職,肄業,1765
