民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
110,,21,坪林區,,,,無年齡維度,0.0,女,不識字,未分,372
110,,21,坪林區,,,,無年齡維度,0.0,女,二專,畢業,486
110,,21,坪林區,,,,無年齡維度,0.0,女,二專,肄業,103
110,,21,坪林區,,,,無年齡維度,0.0,女,五專前三年,肄業,117
110,,21,坪林區,,,,無年齡維度,0.0,女,五專後二年,畢業,363
110,,21,坪林區,,,,無年齡維度,0.0,女,五專後二年,肄業,26
110,,21,坪林區,,,,無年齡維度,0.0,女,博士,畢業,15
110,,21,坪林區,,,,無年齡維度,0.0,女,博士,肄業,8
110,,21,坪林區,,,,無年齡維度,0.0,女,國中,畢業,1579
110,,21,坪林區,,,,無年齡維度,0.0,女,國中,肄業,126
110,,21,坪林區,,,,無年齡維度,0.0,女,國中(職業),畢業,5
110,,21,坪林區,,,,無年齡維度,0.0,女,國中(職業),肄業,0
110,,21,坪林區,,,,無年齡維度,0.0,女,國小,畢業,1062
110,,21,坪林區,,,,無年齡維度,0.0,女,國小,肄業,157
110,,21,坪林區,,,,無年齡維度,0.0,女,大學,畢業,1723
110,,21,坪林區,,,,無年齡維度,0.0,女,大學,肄業,561
110,,21,坪林區,,,,無年齡維度,0.0,女,碩士,畢業,216
110,,21,坪林區,,,,無年齡維度,0.0,女,碩士,肄業,96
110,,21,坪林區,,,,無年齡維度,0.0,女,自學,未分,38
110,,21,坪林區,,,,無年齡維度,0.0,女,高中,畢業,594
110,,21,坪林區,,,,無年齡維度,0.0,女,高中,肄業,219
110,,21,坪林區,,,,無年齡維度,0.0,女,高職,畢業,1747
110,,21,坪林區,,,,無年齡維度,0.0,女,高職,肄業,343
110,,21,坪林區,,,,無年齡維度,0.0,男,不識字,未分,69
110,,21,坪林區,,,,無年齡維度,0.0,男,二專,畢業,433
110,,21,坪林區,,,,無年齡維度,0.0,男,二專,肄業,115
110,,21,坪林區,,,,無年齡維度,0.0,男,五專前三年,肄業,123
110,,21,坪林區,,,,無年齡維度,0.0,男,五專後二年,畢業,375
110,,21,坪林區,,,,無年齡維度,0.0,男,五專後二年,肄業,26
110,,21,坪林區,,,,無年齡維度,0.0,男,博士,畢業,30
110,,21,坪林區,,,,無年齡維度,0.0,男,博士,肄業,20
110,,21,坪林區,,,,無年齡維度,0.0,男,國中,畢業,1938
110,,21,坪林區,,,,無年齡維度,0.0,男,國中,肄業,155
110,,21,坪林區,,,,無年齡維度,0.0,男,國中(職業),畢業,3
110,,21,坪林區,,,,無年齡維度,0.0,男,國中(職業),肄業,5
110,,21,坪林區,,,,無年齡維度,0.0,男,國小,畢業,882
110,,21,坪林區,,,,無年齡維度,0.0,男,國小,肄業,98
110,,21,坪林區,,,,無年齡維度,0.0,男,大學,畢業,1673
110,,21,坪林區,,,,無年齡維度,0.0,男,大學,肄業,606
110,,21,坪林區,,,,無年齡維度,0.0,男,碩士,畢業,322
110,,21,坪林區,,,,無年齡維度,0.0,男,碩士,肄業,114
110,,21,坪林區,,,,無年齡維度,0.0,男,自學,未分,48
110,,21,坪林區,,,,無年齡維度,0.0,男,高中,畢業,693
110,,21,坪林區,,,,無年齡維度,0.0,男,高中,肄業,292
110,,21,坪林區,,,,無年齡維度,0.0,男,高職,畢業,1921
110,,21,坪林區,,,,無年齡維度,0.0,男,高職,肄業,573
