民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
111,,8,蘆洲區,,,,無年齡維度,0.0,女,不識字,未分,428
111,,8,蘆洲區,,,,無年齡維度,0.0,女,二專,畢業,1990
111,,8,蘆洲區,,,,無年齡維度,0.0,女,二專,肄業,337
111,,8,蘆洲區,,,,無年齡維度,0.0,女,五專前三年,肄業,247
111,,8,蘆洲區,,,,無年齡維度,0.0,女,五專後二年,畢業,1200
111,,8,蘆洲區,,,,無年齡維度,0.0,女,五專後二年,肄業,72
111,,8,蘆洲區,,,,無年齡維度,0.0,女,博士,畢業,43
111,,8,蘆洲區,,,,無年齡維度,0.0,女,博士,肄業,28
111,,8,蘆洲區,,,,無年齡維度,0.0,女,國中,畢業,5392
111,,8,蘆洲區,,,,無年齡維度,0.0,女,國中,肄業,520
111,,8,蘆洲區,,,,無年齡維度,0.0,女,國中(職業),畢業,22
111,,8,蘆洲區,,,,無年齡維度,0.0,女,國中(職業),肄業,8
111,,8,蘆洲區,,,,無年齡維度,0.0,女,國小,畢業,3979
111,,8,蘆洲區,,,,無年齡維度,0.0,女,國小,肄業,470
111,,8,蘆洲區,,,,無年齡維度,0.0,女,大學,畢業,8392
111,,8,蘆洲區,,,,無年齡維度,0.0,女,大學,肄業,2420
111,,8,蘆洲區,,,,無年齡維度,0.0,女,碩士,畢業,1141
111,,8,蘆洲區,,,,無年齡維度,0.0,女,碩士,肄業,381
111,,8,蘆洲區,,,,無年齡維度,0.0,女,自學,未分,70
111,,8,蘆洲區,,,,無年齡維度,0.0,女,高中,畢業,2184
111,,8,蘆洲區,,,,無年齡維度,0.0,女,高中,肄業,809
111,,8,蘆洲區,,,,無年齡維度,0.0,女,高職,畢業,7039
111,,8,蘆洲區,,,,無年齡維度,0.0,女,高職,肄業,1639
111,,8,蘆洲區,,,,無年齡維度,0.0,男,不識字,未分,45
111,,8,蘆洲區,,,,無年齡維度,0.0,男,二專,畢業,1810
111,,8,蘆洲區,,,,無年齡維度,0.0,男,二專,肄業,392
111,,8,蘆洲區,,,,無年齡維度,0.0,男,五專前三年,肄業,121
111,,8,蘆洲區,,,,無年齡維度,0.0,男,五專後二年,畢業,1404
111,,8,蘆洲區,,,,無年齡維度,0.0,男,五專後二年,肄業,142
111,,8,蘆洲區,,,,無年齡維度,0.0,男,博士,畢業,116
111,,8,蘆洲區,,,,無年齡維度,0.0,男,博士,肄業,73
111,,8,蘆洲區,,,,無年齡維度,0.0,男,國中,畢業,5195
111,,8,蘆洲區,,,,無年齡維度,0.0,男,國中,肄業,622
111,,8,蘆洲區,,,,無年齡維度,0.0,男,國中(職業),畢業,29
111,,8,蘆洲區,,,,無年齡維度,0.0,男,國中(職業),肄業,12
111,,8,蘆洲區,,,,無年齡維度,0.0,男,國小,畢業,2444
111,,8,蘆洲區,,,,無年齡維度,0.0,男,國小,肄業,173
111,,8,蘆洲區,,,,無年齡維度,0.0,男,大學,畢業,7631
111,,8,蘆洲區,,,,無年齡維度,0.0,男,大學,肄業,2877
111,,8,蘆洲區,,,,無年齡維度,0.0,男,碩士,畢業,1893
111,,8,蘆洲區,,,,無年齡維度,0.0,男,碩士,肄業,562
111,,8,蘆洲區,,,,無年齡維度,0.0,男,自學,未分,37
111,,8,蘆洲區,,,,無年齡維度,0.0,男,高中,畢業,2195
111,,8,蘆洲區,,,,無年齡維度,0.0,男,高中,肄業,1052
111,,8,蘆洲區,,,,無年齡維度,0.0,男,高職,畢業,7253
111,,8,蘆洲區,,,,無年齡維度,0.0,男,高職,肄業,2477
