民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
112,,3,中和區,,,,無年齡維度,0.0,女,不識字,未分,1328
112,,3,中和區,,,,無年齡維度,0.0,女,二專,畢業,12766
112,,3,中和區,,,,無年齡維度,0.0,女,二專,肄業,1678
112,,3,中和區,,,,無年齡維度,0.0,女,五專前三年,肄業,948
112,,3,中和區,,,,無年齡維度,0.0,女,五專後二年,畢業,8725
112,,3,中和區,,,,無年齡維度,0.0,女,五專後二年,肄業,447
112,,3,中和區,,,,無年齡維度,0.0,女,博士,畢業,463
112,,3,中和區,,,,無年齡維度,0.0,女,博士,肄業,271
112,,3,中和區,,,,無年齡維度,0.0,女,國中,畢業,18987
112,,3,中和區,,,,無年齡維度,0.0,女,國中,肄業,2043
112,,3,中和區,,,,無年齡維度,0.0,女,國中(職業),畢業,503
112,,3,中和區,,,,無年齡維度,0.0,女,國中(職業),肄業,67
112,,3,中和區,,,,無年齡維度,0.0,女,國小,畢業,16824
112,,3,中和區,,,,無年齡維度,0.0,女,國小,肄業,1528
112,,3,中和區,,,,無年齡維度,0.0,女,大學,畢業,50445
112,,3,中和區,,,,無年齡維度,0.0,女,大學,肄業,10283
112,,3,中和區,,,,無年齡維度,0.0,女,碩士,畢業,9772
112,,3,中和區,,,,無年齡維度,0.0,女,碩士,肄業,2617
112,,3,中和區,,,,無年齡維度,0.0,女,自學,未分,329
112,,3,中和區,,,,無年齡維度,0.0,女,高中,畢業,13432
112,,3,中和區,,,,無年齡維度,0.0,女,高中,肄業,4443
112,,3,中和區,,,,無年齡維度,0.0,女,高職,畢業,30247
112,,3,中和區,,,,無年齡維度,0.0,女,高職,肄業,4471
112,,3,中和區,,,,無年齡維度,0.0,男,不識字,未分,119
112,,3,中和區,,,,無年齡維度,0.0,男,二專,畢業,10916
112,,3,中和區,,,,無年齡維度,0.0,男,二專,肄業,2282
112,,3,中和區,,,,無年齡維度,0.0,男,五專前三年,肄業,702
112,,3,中和區,,,,無年齡維度,0.0,男,五專後二年,畢業,9388
112,,3,中和區,,,,無年齡維度,0.0,男,五專後二年,肄業,690
112,,3,中和區,,,,無年齡維度,0.0,男,博士,畢業,1119
112,,3,中和區,,,,無年齡維度,0.0,男,博士,肄業,590
112,,3,中和區,,,,無年齡維度,0.0,男,國中,畢業,14300
112,,3,中和區,,,,無年齡維度,0.0,男,國中,肄業,1798
112,,3,中和區,,,,無年齡維度,0.0,男,國中(職業),畢業,309
112,,3,中和區,,,,無年齡維度,0.0,男,國中(職業),肄業,65
112,,3,中和區,,,,無年齡維度,0.0,男,國小,畢業,7602
112,,3,中和區,,,,無年齡維度,0.0,男,國小,肄業,550
112,,3,中和區,,,,無年齡維度,0.0,男,大學,畢業,44552
112,,3,中和區,,,,無年齡維度,0.0,男,大學,肄業,12489
112,,3,中和區,,,,無年齡維度,0.0,男,碩士,畢業,14383
112,,3,中和區,,,,無年齡維度,0.0,男,碩士,肄業,3462
112,,3,中和區,,,,無年齡維度,0.0,男,自學,未分,68
112,,3,中和區,,,,無年齡維度,0.0,男,高中,畢業,12091
112,,3,中和區,,,,無年齡維度,0.0,男,高中,肄業,5043
112,,3,中和區,,,,無年齡維度,0.0,男,高職,畢業,26120
112,,3,中和區,,,,無年齡維度,0.0,男,高職,肄業,6690
