民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
112,,10,鶯歌區,,,,無年齡維度,0.0,女,不識字,未分,693
112,,10,鶯歌區,,,,無年齡維度,0.0,女,二專,畢業,5801
112,,10,鶯歌區,,,,無年齡維度,0.0,女,二專,肄業,738
112,,10,鶯歌區,,,,無年齡維度,0.0,女,五專前三年,肄業,600
112,,10,鶯歌區,,,,無年齡維度,0.0,女,五專後二年,畢業,4605
112,,10,鶯歌區,,,,無年齡維度,0.0,女,五專後二年,肄業,240
112,,10,鶯歌區,,,,無年齡維度,0.0,女,博士,畢業,483
112,,10,鶯歌區,,,,無年齡維度,0.0,女,博士,肄業,230
112,,10,鶯歌區,,,,無年齡維度,0.0,女,國中,畢業,8328
112,,10,鶯歌區,,,,無年齡維度,0.0,女,國中,肄業,858
112,,10,鶯歌區,,,,無年齡維度,0.0,女,國中(職業),畢業,67
112,,10,鶯歌區,,,,無年齡維度,0.0,女,國中(職業),肄業,13
112,,10,鶯歌區,,,,無年齡維度,0.0,女,國小,畢業,6072
112,,10,鶯歌區,,,,無年齡維度,0.0,女,國小,肄業,738
112,,10,鶯歌區,,,,無年齡維度,0.0,女,大學,畢業,26037
112,,10,鶯歌區,,,,無年齡維度,0.0,女,大學,肄業,5159
112,,10,鶯歌區,,,,無年齡維度,0.0,女,碩士,畢業,5368
112,,10,鶯歌區,,,,無年齡維度,0.0,女,碩士,肄業,1430
112,,10,鶯歌區,,,,無年齡維度,0.0,女,自學,未分,120
112,,10,鶯歌區,,,,無年齡維度,0.0,女,高中,畢業,5937
112,,10,鶯歌區,,,,無年齡維度,0.0,女,高中,肄業,2219
112,,10,鶯歌區,,,,無年齡維度,0.0,女,高職,畢業,13846
112,,10,鶯歌區,,,,無年齡維度,0.0,女,高職,肄業,2234
112,,10,鶯歌區,,,,無年齡維度,0.0,男,不識字,未分,124
112,,10,鶯歌區,,,,無年齡維度,0.0,男,二專,畢業,4456
112,,10,鶯歌區,,,,無年齡維度,0.0,男,二專,肄業,903
112,,10,鶯歌區,,,,無年齡維度,0.0,男,五專前三年,肄業,590
112,,10,鶯歌區,,,,無年齡維度,0.0,男,五專後二年,畢業,4532
112,,10,鶯歌區,,,,無年齡維度,0.0,男,五專後二年,肄業,340
112,,10,鶯歌區,,,,無年齡維度,0.0,男,博士,畢業,1031
112,,10,鶯歌區,,,,無年齡維度,0.0,男,博士,肄業,354
112,,10,鶯歌區,,,,無年齡維度,0.0,男,國中,畢業,7596
112,,10,鶯歌區,,,,無年齡維度,0.0,男,國中,肄業,906
112,,10,鶯歌區,,,,無年齡維度,0.0,男,國中(職業),畢業,30
112,,10,鶯歌區,,,,無年齡維度,0.0,男,國中(職業),肄業,9
112,,10,鶯歌區,,,,無年齡維度,0.0,男,國小,畢業,3035
112,,10,鶯歌區,,,,無年齡維度,0.0,男,國小,肄業,373
112,,10,鶯歌區,,,,無年齡維度,0.0,男,大學,畢業,21707
112,,10,鶯歌區,,,,無年齡維度,0.0,男,大學,肄業,6048
112,,10,鶯歌區,,,,無年齡維度,0.0,男,碩士,畢業,7212
112,,10,鶯歌區,,,,無年齡維度,0.0,男,碩士,肄業,1635
112,,10,鶯歌區,,,,無年齡維度,0.0,男,自學,未分,48
112,,10,鶯歌區,,,,無年齡維度,0.0,男,高中,畢業,4927
112,,10,鶯歌區,,,,無年齡維度,0.0,男,高中,肄業,2468
112,,10,鶯歌區,,,,無年齡維度,0.0,男,高職,畢業,10378
112,,10,鶯歌區,,,,無年齡維度,0.0,男,高職,肄業,3169
