民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
113,,2,三重區,,,,無年齡維度,0.0,女,不識字,未分,1439
113,,2,三重區,,,,無年齡維度,0.0,女,二專,畢業,10803
113,,2,三重區,,,,無年齡維度,0.0,女,二專,肄業,1644
113,,2,三重區,,,,無年齡維度,0.0,女,五專前三年,肄業,671
113,,2,三重區,,,,無年齡維度,0.0,女,五專後二年,畢業,6000
113,,2,三重區,,,,無年齡維度,0.0,女,五專後二年,肄業,402
113,,2,三重區,,,,無年齡維度,0.0,女,博士,畢業,273
113,,2,三重區,,,,無年齡維度,0.0,女,博士,肄業,219
113,,2,三重區,,,,無年齡維度,0.0,女,國中,畢業,24647
113,,2,三重區,,,,無年齡維度,0.0,女,國中,肄業,1769
113,,2,三重區,,,,無年齡維度,0.0,女,國中(職業),畢業,257
113,,2,三重區,,,,無年齡維度,0.0,女,國中(職業),肄業,52
113,,2,三重區,,,,無年齡維度,0.0,女,國小,畢業,17486
113,,2,三重區,,,,無年齡維度,0.0,女,國小,肄業,1781
113,,2,三重區,,,,無年齡維度,0.0,女,大學,畢業,42911
113,,2,三重區,,,,無年齡維度,0.0,女,大學,肄業,9442
113,,2,三重區,,,,無年齡維度,0.0,女,碩士,畢業,7356
113,,2,三重區,,,,無年齡維度,0.0,女,碩士,肄業,2173
113,,2,三重區,,,,無年齡維度,0.0,女,自學,未分,353
113,,2,三重區,,,,無年齡維度,0.0,女,高中,畢業,9980
113,,2,三重區,,,,無年齡維度,0.0,女,高中,肄業,3981
113,,2,三重區,,,,無年齡維度,0.0,女,高職,畢業,28267
113,,2,三重區,,,,無年齡維度,0.0,女,高職,肄業,5326
113,,2,三重區,,,,無年齡維度,0.0,男,不識字,未分,171
113,,2,三重區,,,,無年齡維度,0.0,男,二專,畢業,8930
113,,2,三重區,,,,無年齡維度,0.0,男,二專,肄業,2164
113,,2,三重區,,,,無年齡維度,0.0,男,五專前三年,肄業,434
113,,2,三重區,,,,無年齡維度,0.0,男,五專後二年,畢業,6998
113,,2,三重區,,,,無年齡維度,0.0,男,五專後二年,肄業,541
113,,2,三重區,,,,無年齡維度,0.0,男,博士,畢業,679
113,,2,三重區,,,,無年齡維度,0.0,男,博士,肄業,404
113,,2,三重區,,,,無年齡維度,0.0,男,國中,畢業,21130
113,,2,三重區,,,,無年齡維度,0.0,男,國中,肄業,1866
113,,2,三重區,,,,無年齡維度,0.0,男,國中(職業),畢業,251
113,,2,三重區,,,,無年齡維度,0.0,男,國中(職業),肄業,75
113,,2,三重區,,,,無年齡維度,0.0,男,國小,畢業,9664
113,,2,三重區,,,,無年齡維度,0.0,男,國小,肄業,603
113,,2,三重區,,,,無年齡維度,0.0,男,大學,畢業,37960
113,,2,三重區,,,,無年齡維度,0.0,男,大學,肄業,11670
113,,2,三重區,,,,無年齡維度,0.0,男,碩士,畢業,11161
113,,2,三重區,,,,無年齡維度,0.0,男,碩士,肄業,2724
113,,2,三重區,,,,無年齡維度,0.0,男,自學,未分,78
113,,2,三重區,,,,無年齡維度,0.0,男,高中,畢業,10190
113,,2,三重區,,,,無年齡維度,0.0,男,高中,肄業,4979
113,,2,三重區,,,,無年齡維度,0.0,男,高職,畢業,26241
113,,2,三重區,,,,無年齡維度,0.0,男,高職,肄業,8039
