民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
113,,5,新莊區,,,,無年齡維度,0.0,女,不識字,未分,1094
113,,5,新莊區,,,,無年齡維度,0.0,女,二專,畢業,12567
113,,5,新莊區,,,,無年齡維度,0.0,女,二專,肄業,1558
113,,5,新莊區,,,,無年齡維度,0.0,女,五專前三年,肄業,944
113,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,畢業,6843
113,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,肄業,427
113,,5,新莊區,,,,無年齡維度,0.0,女,博士,畢業,365
113,,5,新莊區,,,,無年齡維度,0.0,女,博士,肄業,214
113,,5,新莊區,,,,無年齡維度,0.0,女,國中,畢業,22657
113,,5,新莊區,,,,無年齡維度,0.0,女,國中,肄業,2643
113,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),畢業,181
113,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),肄業,23
113,,5,新莊區,,,,無年齡維度,0.0,女,國小,畢業,14687
113,,5,新莊區,,,,無年齡維度,0.0,女,國小,肄業,1511
113,,5,新莊區,,,,無年齡維度,0.0,女,大學,畢業,50078
113,,5,新莊區,,,,無年齡維度,0.0,女,大學,肄業,11239
113,,5,新莊區,,,,無年齡維度,0.0,女,碩士,畢業,8732
113,,5,新莊區,,,,無年齡維度,0.0,女,碩士,肄業,2527
113,,5,新莊區,,,,無年齡維度,0.0,女,自學,未分,214
113,,5,新莊區,,,,無年齡維度,0.0,女,高中,畢業,10403
113,,5,新莊區,,,,無年齡維度,0.0,女,高中,肄業,5017
113,,5,新莊區,,,,無年齡維度,0.0,女,高職,畢業,32407
113,,5,新莊區,,,,無年齡維度,0.0,女,高職,肄業,5405
113,,5,新莊區,,,,無年齡維度,0.0,男,不識字,未分,84
113,,5,新莊區,,,,無年齡維度,0.0,男,二專,畢業,9965
113,,5,新莊區,,,,無年齡維度,0.0,男,二專,肄業,2139
113,,5,新莊區,,,,無年齡維度,0.0,男,五專前三年,肄業,779
113,,5,新莊區,,,,無年齡維度,0.0,男,五專後二年,畢業,7665
113,,5,新莊區,,,,無年齡維度,0.0,男,五專後二年,肄業,701
113,,5,新莊區,,,,無年齡維度,0.0,男,博士,畢業,807
113,,5,新莊區,,,,無年齡維度,0.0,男,博士,肄業,445
113,,5,新莊區,,,,無年齡維度,0.0,男,國中,畢業,17753
113,,5,新莊區,,,,無年齡維度,0.0,男,國中,肄業,2515
113,,5,新莊區,,,,無年齡維度,0.0,男,國中(職業),畢業,182
113,,5,新莊區,,,,無年齡維度,0.0,男,國中(職業),肄業,50
113,,5,新莊區,,,,無年齡維度,0.0,男,國小,畢業,8154
113,,5,新莊區,,,,無年齡維度,0.0,男,國小,肄業,527
113,,5,新莊區,,,,無年齡維度,0.0,男,大學,畢業,42503
113,,5,新莊區,,,,無年齡維度,0.0,男,大學,肄業,13673
113,,5,新莊區,,,,無年齡維度,0.0,男,碩士,畢業,13099
113,,5,新莊區,,,,無年齡維度,0.0,男,碩士,肄業,3270
113,,5,新莊區,,,,無年齡維度,0.0,男,自學,未分,54
113,,5,新莊區,,,,無年齡維度,0.0,男,高中,畢業,10487
113,,5,新莊區,,,,無年齡維度,0.0,男,高中,肄業,5585
113,,5,新莊區,,,,無年齡維度,0.0,男,高職,畢業,29209
113,,5,新莊區,,,,無年齡維度,0.0,男,高職,肄業,7733
