民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
114,,13,汐止區,,,,無年齡維度,0.0,女,不識字,未分,648
114,,13,汐止區,,,,無年齡維度,0.0,女,二專,畢業,6805
114,,13,汐止區,,,,無年齡維度,0.0,女,二專,肄業,908
114,,13,汐止區,,,,無年齡維度,0.0,女,五專前三年,肄業,577
114,,13,汐止區,,,,無年齡維度,0.0,女,五專後二年,畢業,3963
114,,13,汐止區,,,,無年齡維度,0.0,女,五專後二年,肄業,343
114,,13,汐止區,,,,無年齡維度,0.0,女,博士,畢業,176
114,,13,汐止區,,,,無年齡維度,0.0,女,博士,肄業,128
114,,13,汐止區,,,,無年齡維度,0.0,女,國中,畢業,13727
114,,13,汐止區,,,,無年齡維度,0.0,女,國中,肄業,1188
114,,13,汐止區,,,,無年齡維度,0.0,女,國中(職業),畢業,86
114,,13,汐止區,,,,無年齡維度,0.0,女,國中(職業),肄業,31
114,,13,汐止區,,,,無年齡維度,0.0,女,國小,畢業,8986
114,,13,汐止區,,,,無年齡維度,0.0,女,國小,肄業,841
114,,13,汐止區,,,,無年齡維度,0.0,女,大學,畢業,29180
114,,13,汐止區,,,,無年齡維度,0.0,女,大學,肄業,5775
114,,13,汐止區,,,,無年齡維度,0.0,女,碩士,畢業,4991
114,,13,汐止區,,,,無年齡維度,0.0,女,碩士,肄業,1405
114,,13,汐止區,,,,無年齡維度,0.0,女,自學,未分,156
114,,13,汐止區,,,,無年齡維度,0.0,女,高中,畢業,6690
114,,13,汐止區,,,,無年齡維度,0.0,女,高中,肄業,2626
114,,13,汐止區,,,,無年齡維度,0.0,女,高職,畢業,18683
114,,13,汐止區,,,,無年齡維度,0.0,女,高職,肄業,3327
114,,13,汐止區,,,,無年齡維度,0.0,男,不識字,未分,72
114,,13,汐止區,,,,無年齡維度,0.0,男,二專,畢業,5888
114,,13,汐止區,,,,無年齡維度,0.0,男,二專,肄業,1253
114,,13,汐止區,,,,無年齡維度,0.0,男,五專前三年,肄業,534
114,,13,汐止區,,,,無年齡維度,0.0,男,五專後二年,畢業,4244
114,,13,汐止區,,,,無年齡維度,0.0,男,五專後二年,肄業,474
114,,13,汐止區,,,,無年齡維度,0.0,男,博士,畢業,400
114,,13,汐止區,,,,無年齡維度,0.0,男,博士,肄業,244
114,,13,汐止區,,,,無年齡維度,0.0,男,國中,畢業,11597
114,,13,汐止區,,,,無年齡維度,0.0,男,國中,肄業,1255
114,,13,汐止區,,,,無年齡維度,0.0,男,國中(職業),畢業,100
114,,13,汐止區,,,,無年齡維度,0.0,男,國中(職業),肄業,30
114,,13,汐止區,,,,無年齡維度,0.0,男,國小,畢業,4914
114,,13,汐止區,,,,無年齡維度,0.0,男,國小,肄業,281
114,,13,汐止區,,,,無年齡維度,0.0,男,大學,畢業,24870
114,,13,汐止區,,,,無年齡維度,0.0,男,大學,肄業,7181
114,,13,汐止區,,,,無年齡維度,0.0,男,碩士,畢業,7523
114,,13,汐止區,,,,無年齡維度,0.0,男,碩士,肄業,1850
114,,13,汐止區,,,,無年齡維度,0.0,男,自學,未分,45
114,,13,汐止區,,,,無年齡維度,0.0,男,高中,畢業,6143
114,,13,汐止區,,,,無年齡維度,0.0,男,高中,肄業,2817
114,,13,汐止區,,,,無年齡維度,0.0,男,高職,畢業,17388
114,,13,汐止區,,,,無年齡維度,0.0,男,高職,肄業,5085
