民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,女,未婚,0,977
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,男,未婚,0,1031
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
108,,21,坪林區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,4
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,586
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,2
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,617
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
108,,21,坪林區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,女,有偶,0,32
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,女,有偶,1,1
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,女,未婚,0,692
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,女,離婚,0,9
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,男,有偶,0,18
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,男,未婚,0,796
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,男,離婚,0,3
108,,21,坪林區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,女,有偶,0,124
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,女,有偶,1,0
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,女,未婚,0,595
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,女,離婚,0,24
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,女,離婚,1,0
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,男,有偶,0,105
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,男,有偶,1,0
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,男,未婚,0,802
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,男,離婚,0,22
108,,21,坪林區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,4
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,女,有偶,0,253
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,女,有偶,1,1
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,女,未婚,0,317
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,女,離婚,0,43
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,男,有偶,0,196
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,男,有偶,1,0
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,男,未婚,0,456
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,男,離婚,0,29
108,,21,坪林區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,10
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,406
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,0
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,254
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,111
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,1
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,340
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,0
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,385
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,74
108,,21,坪林區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
108,,21,坪林區,40~44歲,40,44,不相關,0.0,女,喪偶,0,15
108,,21,坪林區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
108,,21,坪林區,40~44歲,40,44,不相關,0.0,女,有偶,0,448
108,,21,坪林區,40~44歲,40,44,不相關,0.0,女,有偶,1,0
108,,21,坪林區,40~44歲,40,44,不相關,0.0,女,未婚,0,158
108,,21,坪林區,40~44歲,40,44,不相關,0.0,女,離婚,0,116
108,,21,坪林區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
108,,21,坪林區,40~44歲,40,44,不相關,0.0,男,喪偶,0,1
108,,21,坪林區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
108,,21,坪林區,40~44歲,40,44,不相關,0.0,男,有偶,0,418
