民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
109,,2,三重區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,女,未婚,0,20943
109,,2,三重區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,男,未婚,0,22093
109,,2,三重區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
109,,2,三重區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,19
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,8196
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,3
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,5
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,9105
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
109,,2,三重區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
109,,2,三重區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
109,,2,三重區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
109,,2,三重區,20~24歲,20,24,完全落入,1.0,女,有偶,0,317
109,,2,三重區,20~24歲,20,24,完全落入,1.0,女,有偶,1,5
109,,2,三重區,20~24歲,20,24,完全落入,1.0,女,未婚,0,10725
109,,2,三重區,20~24歲,20,24,完全落入,1.0,女,離婚,0,86
109,,2,三重區,20~24歲,20,24,完全落入,1.0,女,離婚,1,2
109,,2,三重區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,1
109,,2,三重區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
109,,2,三重區,20~24歲,20,24,完全落入,1.0,男,有偶,0,178
109,,2,三重區,20~24歲,20,24,完全落入,1.0,男,有偶,1,6
109,,2,三重區,20~24歲,20,24,完全落入,1.0,男,未婚,0,11789
109,,2,三重區,20~24歲,20,24,完全落入,1.0,男,離婚,0,36
109,,2,三重區,20~24歲,20,24,完全落入,1.0,男,離婚,1,1
109,,2,三重區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,3
109,,2,三重區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
109,,2,三重區,25~29歲,25,29,完全落入,1.0,女,有偶,0,1836
109,,2,三重區,25~29歲,25,29,完全落入,1.0,女,有偶,1,19
109,,2,三重區,25~29歲,25,29,完全落入,1.0,女,未婚,0,10409
109,,2,三重區,25~29歲,25,29,完全落入,1.0,女,離婚,0,297
109,,2,三重區,25~29歲,25,29,完全落入,1.0,女,離婚,1,3
109,,2,三重區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,1
109,,2,三重區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
109,,2,三重區,25~29歲,25,29,完全落入,1.0,男,有偶,0,1126
109,,2,三重區,25~29歲,25,29,完全落入,1.0,男,有偶,1,11
109,,2,三重區,25~29歲,25,29,完全落入,1.0,男,未婚,0,12278
109,,2,三重區,25~29歲,25,29,完全落入,1.0,男,離婚,0,188
109,,2,三重區,25~29歲,25,29,完全落入,1.0,男,離婚,1,3
109,,2,三重區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,10
109,,2,三重區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
109,,2,三重區,30~34歲,30,34,完全落入,1.0,女,有偶,0,4945
109,,2,三重區,30~34歲,30,34,完全落入,1.0,女,有偶,1,24
109,,2,三重區,30~34歲,30,34,完全落入,1.0,女,未婚,0,7621
109,,2,三重區,30~34歲,30,34,完全落入,1.0,女,離婚,0,671
109,,2,三重區,30~34歲,30,34,完全落入,1.0,女,離婚,1,1
109,,2,三重區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,4
109,,2,三重區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
109,,2,三重區,30~34歲,30,34,完全落入,1.0,男,有偶,0,3559
109,,2,三重區,30~34歲,30,34,完全落入,1.0,男,有偶,1,13
109,,2,三重區,30~34歲,30,34,完全落入,1.0,男,未婚,0,10036
109,,2,三重區,30~34歲,30,34,完全落入,1.0,男,離婚,0,472
109,,2,三重區,30~34歲,30,34,完全落入,1.0,男,離婚,1,2
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,79
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,8765
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,30
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,5955
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,1591
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,12
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,7120
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,18
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,8218
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,1037
109,,2,三重區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,1
109,,2,三重區,40~44歲,40,44,不相關,0.0,女,喪偶,0,200
109,,2,三重區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
109,,2,三重區,40~44歲,40,44,不相關,0.0,女,有偶,0,9981
109,,2,三重區,40~44歲,40,44,不相關,0.0,女,有偶,1,32
109,,2,三重區,40~44歲,40,44,不相關,0.0,女,未婚,0,4865
109,,2,三重區,40~44歲,40,44,不相關,0.0,女,離婚,0,2296
109,,2,三重區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
109,,2,三重區,40~44歲,40,44,不相關,0.0,男,喪偶,0,33
109,,2,三重區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
109,,2,三重區,40~44歲,40,44,不相關,0.0,男,有偶,0,9280
109,,2,三重區,40~44歲,40,44,不相關,0.0,男,有偶,1,11
109,,2,三重區,40~44歲,40,44,不相關,0.0,男,未婚,0,6313
109,,2,三重區,40~44歲,40,44,不相關,0.0,男,離婚,0,1836
109,,2,三重區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
109,,2,三重區,45~49歲,45,49,不相關,0.0,女,喪偶,0,348
109,,2,三重區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
109,,2,三重區,45~49歲,45,49,不相關,0.0,女,有偶,0,8678
109,,2,三重區,45~49歲,45,49,不相關,0.0,女,有偶,1,13
109,,2,三重區,45~49歲,45,49,不相關,0.0,女,未婚,0,3498
