民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,未婚,0,239
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,未婚,0,263
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
110,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,1
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,135
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,153
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
110,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,有偶,0,10
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,有偶,1,0
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,未婚,0,168
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,離婚,0,2
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,有偶,0,4
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,未婚,0,187
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,離婚,0,1
110,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,有偶,0,30
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,有偶,1,0
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,未婚,0,194
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,離婚,0,4
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,離婚,1,0
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,有偶,0,26
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,有偶,1,0
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,未婚,0,193
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,離婚,0,6
110,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,0
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,有偶,0,56
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,有偶,1,0
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,未婚,0,117
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,離婚,0,14
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,有偶,0,45
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,有偶,1,0
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,未婚,0,148
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,離婚,0,7
110,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
110,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,2
110,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
110,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,90
110,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,0
110,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,73
110,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,28
110,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
