民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,未婚,0,27105
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,未婚,0,28473
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
112,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,21
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,1
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,9222
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,3
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,3
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,10223
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,1
112,,5,新莊區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,2
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,女,有偶,0,285
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,女,有偶,1,12
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,女,未婚,0,10894
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,女,離婚,0,71
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,女,離婚,1,6
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,男,有偶,0,163
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,男,有偶,1,3
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,男,未婚,0,11967
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,男,離婚,0,37
112,,5,新莊區,20~24歲,20,24,完全落入,1.0,男,離婚,1,1
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,7
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,女,有偶,0,1922
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,女,有偶,1,20
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,女,未婚,0,11269
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,女,離婚,0,336
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,女,離婚,1,8
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,男,有偶,0,1260
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,男,有偶,1,11
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,男,未婚,0,12766
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,男,離婚,0,212
112,,5,新莊區,25~29歲,25,29,完全落入,1.0,男,離婚,1,4
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,17
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,女,有偶,0,5835
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,女,有偶,1,60
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,女,未婚,0,8468
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,女,離婚,0,688
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,女,離婚,1,10
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,4
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,男,有偶,0,4265
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,男,有偶,1,22
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,男,未婚,0,10954
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,男,離婚,0,485
112,,5,新莊區,30~34歲,30,34,完全落入,1.0,男,離婚,1,5
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,56
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,2
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,9288
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,51
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,5798
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,1340
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,6
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,12
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,7566
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,31
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,7974
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,903
112,,5,新莊區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,2
112,,5,新莊區,40~44歲,40,44,不相關,0.0,女,喪偶,0,179
112,,5,新莊區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
112,,5,新莊區,40~44歲,40,44,不相關,0.0,女,有偶,0,13005
112,,5,新莊區,40~44歲,40,44,不相關,0.0,女,有偶,1,45
112,,5,新莊區,40~44歲,40,44,不相關,0.0,女,未婚,0,5141
112,,5,新莊區,40~44歲,40,44,不相關,0.0,女,離婚,0,2461
112,,5,新莊區,40~44歲,40,44,不相關,0.0,女,離婚,1,5
112,,5,新莊區,40~44歲,40,44,不相關,0.0,男,喪偶,0,46
112,,5,新莊區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
112,,5,新莊區,40~44歲,40,44,不相關,0.0,男,有偶,0,11079
