民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
112,,7,土城區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,女,未婚,0,10589
112,,7,土城區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,男,未婚,0,11500
112,,7,土城區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
112,,7,土城區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,10
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,4056
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,1
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,2
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,4627
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,1
112,,7,土城區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
112,,7,土城區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
112,,7,土城區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,1
112,,7,土城區,20~24歲,20,24,完全落入,1.0,女,有偶,0,193
112,,7,土城區,20~24歲,20,24,完全落入,1.0,女,有偶,1,7
112,,7,土城區,20~24歲,20,24,完全落入,1.0,女,未婚,0,4887
112,,7,土城區,20~24歲,20,24,完全落入,1.0,女,離婚,0,52
112,,7,土城區,20~24歲,20,24,完全落入,1.0,女,離婚,1,2
112,,7,土城區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
112,,7,土城區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
112,,7,土城區,20~24歲,20,24,完全落入,1.0,男,有偶,0,103
112,,7,土城區,20~24歲,20,24,完全落入,1.0,男,有偶,1,1
112,,7,土城區,20~24歲,20,24,完全落入,1.0,男,未婚,0,5406
112,,7,土城區,20~24歲,20,24,完全落入,1.0,男,離婚,0,18
112,,7,土城區,20~24歲,20,24,完全落入,1.0,男,離婚,1,2
112,,7,土城區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,2
112,,7,土城區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
112,,7,土城區,25~29歲,25,29,完全落入,1.0,女,有偶,0,956
112,,7,土城區,25~29歲,25,29,完全落入,1.0,女,有偶,1,7
112,,7,土城區,25~29歲,25,29,完全落入,1.0,女,未婚,0,4742
112,,7,土城區,25~29歲,25,29,完全落入,1.0,女,離婚,0,166
112,,7,土城區,25~29歲,25,29,完全落入,1.0,女,離婚,1,6
112,,7,土城區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
112,,7,土城區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
112,,7,土城區,25~29歲,25,29,完全落入,1.0,男,有偶,0,656
112,,7,土城區,25~29歲,25,29,完全落入,1.0,男,有偶,1,1
112,,7,土城區,25~29歲,25,29,完全落入,1.0,男,未婚,0,5679
112,,7,土城區,25~29歲,25,29,完全落入,1.0,男,離婚,0,102
112,,7,土城區,25~29歲,25,29,完全落入,1.0,男,離婚,1,2
112,,7,土城區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,7
112,,7,土城區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
112,,7,土城區,30~34歲,30,34,完全落入,1.0,女,有偶,0,2342
112,,7,土城區,30~34歲,30,34,完全落入,1.0,女,有偶,1,23
112,,7,土城區,30~34歲,30,34,完全落入,1.0,女,未婚,0,3493
112,,7,土城區,30~34歲,30,34,完全落入,1.0,女,離婚,0,331
112,,7,土城區,30~34歲,30,34,完全落入,1.0,女,離婚,1,7
112,,7,土城區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,5
112,,7,土城區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
112,,7,土城區,30~34歲,30,34,完全落入,1.0,男,有偶,0,1828
112,,7,土城區,30~34歲,30,34,完全落入,1.0,男,有偶,1,6
112,,7,土城區,30~34歲,30,34,完全落入,1.0,男,未婚,0,4752
112,,7,土城區,30~34歲,30,34,完全落入,1.0,男,離婚,0,252
112,,7,土城區,30~34歲,30,34,完全落入,1.0,男,離婚,1,4
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,28
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,3572
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,19
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,2248
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,582
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,3
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,6
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,2985
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,8
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,3248
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,435
112,,7,土城區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,1
112,,7,土城區,40~44歲,40,44,不相關,0.0,女,喪偶,0,113
112,,7,土城區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
112,,7,土城區,40~44歲,40,44,不相關,0.0,女,有偶,0,5140
112,,7,土城區,40~44歲,40,44,不相關,0.0,女,有偶,1,27
112,,7,土城區,40~44歲,40,44,不相關,0.0,女,未婚,0,1927
112,,7,土城區,40~44歲,40,44,不相關,0.0,女,離婚,0,1105
112,,7,土城區,40~44歲,40,44,不相關,0.0,女,離婚,1,2
112,,7,土城區,40~44歲,40,44,不相關,0.0,男,喪偶,0,14
112,,7,土城區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
112,,7,土城區,40~44歲,40,44,不相關,0.0,男,有偶,0,4605
112,,7,土城區,40~44歲,40,44,不相關,0.0,男,有偶,1,5
112,,7,土城區,40~44歲,40,44,不相關,0.0,男,未婚,0,2878
112,,7,土城區,40~44歲,40,44,不相關,0.0,男,離婚,0,866
112,,7,土城區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
112,,7,土城區,45~49歲,45,49,不相關,0.0,女,喪偶,0,163
112,,7,土城區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
112,,7,土城區,45~49歲,45,49,不相關,0.0,女,有偶,0,4953
112,,7,土城區,45~49歲,45,49,不相關,0.0,女,有偶,1,14
112,,7,土城區,45~49歲,45,49,不相關,0.0,女,未婚,0,1362
112,,7,土城區,45~49歲,45,49,不相關,0.0,女,離婚,0,1215
112,,7,土城區,45~49歲,45,49,不相關,0.0,女,離婚,1,1
112,,7,土城區,45~49歲,45,49,不相關,0.0,男,喪偶,0,28
112,,7,土城區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
112,,7,土城區,45~49歲,45,49,不相關,0.0,男,有偶,0,4721
112,,7,土城區,45~49歲,45,49,不相關,0.0,男,有偶,1,2
112,,7,土城區,45~49歲,45,49,不相關,0.0,男,未婚,0,1781
112,,7,土城區,45~49歲,45,49,不相關,0.0,男,離婚,0,1041
112,,7,土城區,45~49歲,45,49,不相關,0.0,男,離婚,1,0
112,,7,土城區,50~54歲,50,54,不相關,0.0,女,喪偶,0,280
112,,7,土城區,50~54歲,50,54,不相關,0.0,女,喪偶,1,0
112,,7,土城區,50~54歲,50,54,不相關,0.0,女,有偶,0,4596
112,,7,土城區,50~54歲,50,54,不相關,0.0,女,有偶,1,2
112,,7,土城區,50~54歲,50,54,不相關,0.0,女,未婚,0,906
112,,7,土城區,50~54歲,50,54,不相關,0.0,女,離婚,0,1159
112,,7,土城區,50~54歲,50,54,不相關,0.0,女,離婚,1,0
112,,7,土城區,50~54歲,50,54,不相關,0.0,男,喪偶,0,57
112,,7,土城區,50~54歲,50,54,不相關,0.0,男,喪偶,1,0
112,,7,土城區,50~54歲,50,54,不相關,0.0,男,有偶,0,4195
112,,7,土城區,50~54歲,50,54,不相關,0.0,男,有偶,1,0
112,,7,土城區,50~54歲,50,54,不相關,0.0,男,未婚,0,973
112,,7,土城區,50~54歲,50,54,不相關,0.0,男,離婚,0,1084
112,,7,土城區,50~54歲,50,54,不相關,0.0,男,離婚,1,0
112,,7,土城區,55~59歲,55,59,不相關,0.0,女,喪偶,0,514
112,,7,土城區,55~59歲,55,59,不相關,0.0,女,喪偶,1,0
112,,7,土城區,55~59歲,55,59,不相關,0.0,女,有偶,0,4766
112,,7,土城區,55~59歲,55,59,不相關,0.0,女,有偶,1,0
112,,7,土城區,55~59歲,55,59,不相關,0.0,女,未婚,0,598
112,,7,土城區,55~59歲,55,59,不相關,0.0,女,離婚,0,1142
112,,7,土城區,55~59歲,55,59,不相關,0.0,女,離婚,1,0
112,,7,土城區,55~59歲,55,59,不相關,0.0,男,喪偶,0,108
112,,7,土城區,55~59歲,55,59,不相關,0.0,男,喪偶,1,0
112,,7,土城區,55~59歲,55,59,不相關,0.0,男,有偶,0,4358
112,,7,土城區,55~59歲,55,59,不相關,0.0,男,有偶,1,1
112,,7,土城區,55~59歲,55,59,不相關,0.0,男,未婚,0,629
112,,7,土城區,55~59歲,55,59,不相關,0.0,男,離婚,0,1056
112,,7,土城區,55~59歲,55,59,不相關,0.0,男,離婚,1,0
112,,7,土城區,60~64歲,60,64,不相關,0.0,女,喪偶,0,923
112,,7,土城區,60~64歲,60,64,不相關,0.0,女,喪偶,1,0
112,,7,土城區,60~64歲,60,64,不相關,0.0,女,有偶,0,4807
112,,7,土城區,60~64歲,60,64,不相關,0.0,女,有偶,1,0
112,,7,土城區,60~64歲,60,64,不相關,0.0,女,未婚,0,381
112,,7,土城區,60~64歲,60,64,不相關,0.0,女,離婚,0,1104
112,,7,土城區,60~64歲,60,64,不相關,0.0,女,離婚,1,0
112,,7,土城區,60~64歲,60,64,不相關,0.0,男,喪偶,0,176
112,,7,土城區,60~64歲,60,64,不相關,0.0,男,喪偶,1,0
112,,7,土城區,60~64歲,60,64,不相關,0.0,男,有偶,0,4844
112,,7,土城區,60~64歲,60,64,不相關,0.0,男,有偶,1,0
112,,7,土城區,60~64歲,60,64,不相關,0.0,男,未婚,0,424
112,,7,土城區,60~64歲,60,64,不相關,0.0,男,離婚,0,929
112,,7,土城區,60~64歲,60,64,不相關,0.0,男,離婚,1,0
112,,7,土城區,65~69歲,65,69,不相關,0.0,女,喪偶,0,1188
112,,7,土城區,65~69歲,65,69,不相關,0.0,女,喪偶,1,0
112,,7,土城區,65~69歲,65,69,不相關,0.0,女,有偶,0,4080
112,,7,土城區,65~69歲,65,69,不相關,0.0,女,有偶,1,0
112,,7,土城區,65~69歲,65,69,不相關,0.0,女,未婚,0,280
112,,7,土城區,65~69歲,65,69,不相關,0.0,女,離婚,0,847
112,,7,土城區,65~69歲,65,69,不相關,0.0,女,離婚,1,0
112,,7,土城區,65~69歲,65,69,不相關,0.0,男,喪偶,0,258
112,,7,土城區,65~69歲,65,69,不相關,0.0,男,喪偶,1,0
112,,7,土城區,65~69歲,65,69,不相關,0.0,男,有偶,0,4273
112,,7,土城區,65~69歲,65,69,不相關,0.0,男,有偶,1,0
112,,7,土城區,65~69歲,65,69,不相關,0.0,男,未婚,0,252
112,,7,土城區,65~69歲,65,69,不相關,0.0,男,離婚,0,702
112,,7,土城區,65~69歲,65,69,不相關,0.0,男,離婚,1,0
