民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,未婚,0,1486
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,未婚,0,1522
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
112,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,2
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,1
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,655
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,1
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,1
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,692
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,1
112,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,有偶,0,53
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,有偶,1,1
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,未婚,0,921
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,離婚,0,18
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,有偶,0,29
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,未婚,0,1051
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,離婚,0,5
112,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,離婚,1,2
