民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,未婚,0,11376
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,未婚,0,12398
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
112,,14,瑞芳區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,13
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,4488
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,2
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,6
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,4850
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,1
112,,14,瑞芳區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,1
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,有偶,0,173
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,有偶,1,5
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,未婚,0,5630
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,離婚,0,47
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,有偶,0,100
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,有偶,1,3
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,未婚,0,6358
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,離婚,0,30
112,,14,瑞芳區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
112,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,4
112,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
112,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,有偶,0,934
112,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,有偶,1,9
112,,14,瑞芳區,25~29歲,25,29,完全落入,1.0,女,未婚,0,5820
