民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,女,未婚,0,428
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,男,未婚,0,420
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
114,,29,烏來區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,1
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,140
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,142
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
114,,29,烏來區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,女,有偶,0,25
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,女,有偶,1,0
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,女,未婚,0,139
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,女,離婚,0,3
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,女,離婚,1,1
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,男,有偶,0,14
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,男,未婚,0,165
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,男,離婚,0,1
114,,29,烏來區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,女,有偶,0,65
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,女,有偶,1,1
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,女,未婚,0,117
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,女,離婚,0,16
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,女,離婚,1,1
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,男,有偶,0,47
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,男,有偶,1,0
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,男,未婚,0,152
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,男,離婚,0,17
114,,29,烏來區,25~29歲,25,29,完全落入,1.0,男,離婚,1,2
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,0
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,女,有偶,0,98
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,女,有偶,1,4
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,女,未婚,0,119
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,女,離婚,0,24
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,女,離婚,1,1
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,男,有偶,0,87
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,男,有偶,1,3
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,男,未婚,0,134
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,男,離婚,0,22
114,,29,烏來區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,2
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,133
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,5
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,51
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,28
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,3
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,1
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,101
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,2
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,80
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,22
114,,29,烏來區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
114,,29,烏來區,40~44歲,40,44,不相關,0.0,女,喪偶,0,2
114,,29,烏來區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
