民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,migrants,254
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,migrants,249
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,other,0
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,other,0
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,142
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,115
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,合計,499
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,合計,434
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,國外,39
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,國外,36
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,新北市內,0
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,新北市內,0
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,桃園市,26
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,桃園市,23
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,福建省,2
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,福建省,3
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺中市,6
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺中市,4
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺北市,201
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺北市,194
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺南市,10
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺南市,3
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺灣省,54
109,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺灣省,43
109,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,高雄市,8
