民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,migrants,53
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,migrants,63
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,other,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,other,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,30
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,34
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,合計,79
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,合計,61
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,國外,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,國外,1
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,新北市內,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,新北市內,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,桃園市,6
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,桃園市,1
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,福建省,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,福建省,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,臺中市,2
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,臺中市,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,臺北市,27
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,臺北市,23
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,臺南市,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,臺南市,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,臺灣省,8
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,臺灣省,1
110,1,23,石門區,,,,無年齡維度,0.0,女,遷入,高雄市,2
110,1,23,石門區,,,,無年齡維度,0.0,男,遷入,高雄市,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,migrants,53
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,migrants,63
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,other,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,other,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,40
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,17
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,合計,83
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,合計,43
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,國外,10
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,國外,7
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,新北市內,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,新北市內,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,桃園市,5
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,桃園市,4
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,福建省,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,福建省,1
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,臺中市,6
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,臺中市,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,臺北市,19
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,臺北市,10
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,臺南市,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,臺南市,0
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,臺灣省,3
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,臺灣省,4
110,1,23,石門區,,,,無年齡維度,0.0,女,遷出,高雄市,0
110,1,23,石門區,,,,無年齡維度,0.0,男,遷出,高雄市,0
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,migrants,24
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,migrants,29
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,other,0
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,other,0
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,26
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,23
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,合計,61
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,合計,45
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,國外,0
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,國外,0
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,新北市內,0
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,新北市內,0
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,桃園市,7
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,桃園市,1
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,福建省,0
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,福建省,0
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,臺中市,2
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,臺中市,5
110,2,23,石門區,,,,無年齡維度,0.0,女,遷入,臺北市,16
110,2,23,石門區,,,,無年齡維度,0.0,男,遷入,臺北市,10
