民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,migrants,650
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,migrants,609
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,other,0
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,other,0
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,330
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,229
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,合計,784
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,合計,588
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,國外,12
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,國外,11
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,新北市內,0
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,新北市內,0
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,桃園市,60
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,桃園市,52
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,福建省,4
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,福建省,2
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,臺中市,22
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,臺中市,16
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,臺北市,199
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,臺北市,170
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,臺南市,12
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,臺南市,12
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,臺灣省,102
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,臺灣省,74
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,高雄市,23
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,高雄市,15
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,migrants,650
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,migrants,609
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,other,0
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,other,0
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,359
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,301
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,合計,804
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,合計,668
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,國外,90
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,國外,57
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,新北市內,0
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,新北市內,0
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,桃園市,74
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,桃園市,72
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,福建省,2
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,福建省,2
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,臺中市,26
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,臺中市,27
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,臺北市,128
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,臺北市,112
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,臺南市,10
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,臺南市,8
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,臺灣省,95
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,臺灣省,80
110,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,高雄市,19
110,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,高雄市,7
110,1,2,三重區,,,,無年齡維度,0.0,女,遷入,migrants,434
110,1,2,三重區,,,,無年齡維度,0.0,男,遷入,migrants,424
110,1,2,三重區,,,,無年齡維度,0.0,女,遷入,other,0
110,1,2,三重區,,,,無年齡維度,0.0,男,遷入,other,0
