民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,migrants,448
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,migrants,402
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,other,0
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,other,0
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,218
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,166
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,合計,704
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,合計,545
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,國外,32
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,國外,19
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,新北市內,0
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,新北市內,0
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,桃園市,47
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,桃園市,35
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,福建省,0
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,福建省,3
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,臺中市,29
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,臺中市,19
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,臺北市,252
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,臺北市,245
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,臺南市,10
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,臺南市,6
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,臺灣省,76
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,臺灣省,38
111,1,2,三重區,,,,無年齡維度,0.0,女,遷入,高雄市,29
111,1,2,三重區,,,,無年齡維度,0.0,男,遷入,高雄市,10
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,migrants,448
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,migrants,402
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,other,0
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,other,0
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,285
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,219
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,合計,920
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,合計,698
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,國外,239
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,國外,177
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,新北市內,0
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,新北市內,0
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,桃園市,60
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,桃園市,60
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,福建省,4
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,福建省,3
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,臺中市,27
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,臺中市,22
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,臺北市,218
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,臺北市,134
111,1,2,三重區,,,,無年齡維度,0.0,女,遷出,臺南市,6
111,1,2,三重區,,,,無年齡維度,0.0,男,遷出,臺南市,10
