民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,migrants,156
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,migrants,156
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,other,0
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,other,0
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,119
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,74
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,合計,221
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,合計,170
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,國外,12
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,國外,5
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,新北市內,0
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,新北市內,0
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,桃園市,23
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,桃園市,24
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,福建省,1
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,福建省,0
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,臺中市,8
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,臺中市,3
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,臺北市,19
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,臺北市,34
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,臺南市,3
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,臺南市,3
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,臺灣省,26
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,臺灣省,22
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷入,高雄市,5
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷入,高雄市,2
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,migrants,156
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,migrants,156
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,other,0
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,other,0
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,90
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,80
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,合計,265
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,合計,232
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,國外,66
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,國外,69
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,新北市內,0
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,新北市內,0
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,桃園市,31
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,桃園市,23
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,福建省,5
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,福建省,1
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,臺中市,8
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,臺中市,6
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,臺北市,21
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,臺北市,14
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,臺南市,8
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,臺南市,1
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,臺灣省,30
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,臺灣省,32
111,1,9,樹林區,,,,無年齡維度,0.0,女,遷出,高雄市,6
111,1,9,樹林區,,,,無年齡維度,0.0,男,遷出,高雄市,6
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,migrants,149
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,migrants,123
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,other,0
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,other,0
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,81
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,83
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,合計,176
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,合計,162
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,國外,7
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,國外,6
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,新北市內,0
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,新北市內,0
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,桃園市,26
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,桃園市,18
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,福建省,1
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,福建省,0
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,臺中市,2
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,臺中市,4
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,臺北市,32
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,臺北市,23
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,臺南市,10
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,臺南市,5
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,臺灣省,15
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,臺灣省,18
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷入,高雄市,1
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷入,高雄市,4
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,migrants,149
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,migrants,123
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,other,0
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,other,0
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,58
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,46
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,合計,197
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,合計,172
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,國外,65
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,國外,63
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,新北市內,0
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,新北市內,0
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,桃園市,37
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,桃園市,23
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,福建省,1
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,福建省,4
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,臺中市,6
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,臺中市,7
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,臺北市,11
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,臺北市,12
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,臺南市,4
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,臺南市,3
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,臺灣省,11
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,臺灣省,11
111,2,9,樹林區,,,,無年齡維度,0.0,女,遷出,高雄市,4
111,2,9,樹林區,,,,無年齡維度,0.0,男,遷出,高雄市,3
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,migrants,196
111,3,9,樹林區,,,,無年齡維度,0.0,男,遷入,migrants,167
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,other,0
111,3,9,樹林區,,,,無年齡維度,0.0,男,遷入,other,0
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
111,3,9,樹林區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,136
111,3,9,樹林區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,99
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,合計,273
111,3,9,樹林區,,,,無年齡維度,0.0,男,遷入,合計,221
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,國外,16
111,3,9,樹林區,,,,無年齡維度,0.0,男,遷入,國外,16
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,新北市內,0
111,3,9,樹林區,,,,無年齡維度,0.0,男,遷入,新北市內,0
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,桃園市,42
111,3,9,樹林區,,,,無年齡維度,0.0,男,遷入,桃園市,22
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,福建省,0
111,3,9,樹林區,,,,無年齡維度,0.0,男,遷入,福建省,1
111,3,9,樹林區,,,,無年齡維度,0.0,女,遷入,臺中市,1
