民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,migrants,23
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,migrants,25
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,other,0
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,other,0
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,17
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,14
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,合計,48
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,合計,36
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,國外,3
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,國外,2
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,新北市內,0
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,新北市內,0
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,桃園市,1
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,桃園市,4
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,福建省,0
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,福建省,2
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺中市,1
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺中市,2
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺北市,4
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺北市,0
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺南市,0
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺南市,0
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺灣省,21
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺灣省,11
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,高雄市,0
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,高雄市,0
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,migrants,23
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,migrants,25
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,other,0
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,other,0
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
111,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
111,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,16
