民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,migrants,84
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,migrants,114
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,other,0
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,other,0
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,175
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,132
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,合計,287
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,合計,229
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,國外,11
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,國外,20
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,桃園市,18
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,桃園市,9
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,福建省,2
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,福建省,3
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,臺中市,3
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,臺中市,3
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,臺北市,41
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,臺北市,36
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,臺南市,3
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,臺南市,4
113,1,15,五股區,,,,無年齡維度,0.0,女,遷入,臺灣省,30
113,1,15,五股區,,,,無年齡維度,0.0,男,遷入,臺灣省,17
