民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,migrants,74
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,migrants,58
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,other,0
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,other,0
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,122
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,98
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,合計,196
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,合計,167
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,國外,7
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,國外,8
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,桃園市,10
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,桃園市,6
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,福建省,2
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,福建省,1
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,臺中市,5
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,臺中市,5
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,臺北市,18
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,臺北市,23
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,臺南市,3
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,臺南市,3
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,臺灣省,22
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,臺灣省,16
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷入,高雄市,5
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷入,高雄市,3
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,migrants,74
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,migrants,58
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,other,0
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,other,0
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,90
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,73
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,合計,152
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,合計,134
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,國外,1
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,國外,2
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,新北市內,0
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,新北市內,0
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,桃園市,25
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,桃園市,28
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,福建省,0
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,福建省,1
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,臺中市,1
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,臺中市,2
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,臺北市,17
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,臺北市,10
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,臺南市,2
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,臺南市,1
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,臺灣省,12
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,臺灣省,15
113,1,16,泰山區,,,,無年齡維度,0.0,女,遷出,高雄市,4
113,1,16,泰山區,,,,無年齡維度,0.0,男,遷出,高雄市,2
113,2,16,泰山區,,,,無年齡維度,0.0,女,遷入,migrants,64
113,2,16,泰山區,,,,無年齡維度,0.0,男,遷入,migrants,52
113,2,16,泰山區,,,,無年齡維度,0.0,女,遷入,other,0
113,2,16,泰山區,,,,無年齡維度,0.0,男,遷入,other,0
