民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,migrants,243
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,migrants,234
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,other,0
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,other,0
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,102
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,97
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,合計,456
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,合計,393
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,國外,49
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,國外,36
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,桃園市,107
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,桃園市,97
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,福建省,2
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,福建省,0
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,臺中市,10
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,臺中市,8
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,臺北市,104
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,臺北市,98
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,臺南市,5
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,臺南市,6
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,臺灣省,50
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,臺灣省,35
113,1,17,林口區,,,,無年齡維度,0.0,女,遷入,高雄市,8
113,1,17,林口區,,,,無年齡維度,0.0,男,遷入,高雄市,8
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,migrants,243
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,migrants,234
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,other,0
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,other,0
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,62
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,48
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,合計,270
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,合計,216
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,國外,14
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,國外,9
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,新北市內,0
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,新北市內,0
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,桃園市,99
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,桃園市,93
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,福建省,0
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,福建省,0
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,臺中市,12
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,臺中市,6
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,臺北市,44
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,臺北市,33
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,臺南市,10
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,臺南市,3
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,臺灣省,26
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,臺灣省,19
113,1,17,林口區,,,,無年齡維度,0.0,女,遷出,高雄市,3
113,1,17,林口區,,,,無年齡維度,0.0,男,遷出,高雄市,5
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,migrants,204
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,migrants,186
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,other,0
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,other,0
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,103
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,85
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,合計,390
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,合計,330
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,國外,29
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,國外,39
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,桃園市,93
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,桃園市,77
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,福建省,2
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,福建省,2
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,臺中市,5
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,臺中市,5
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,臺北市,86
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,臺北市,62
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,臺南市,5
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,臺南市,2
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,臺灣省,40
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,臺灣省,41
113,2,17,林口區,,,,無年齡維度,0.0,女,遷入,高雄市,10
113,2,17,林口區,,,,無年齡維度,0.0,男,遷入,高雄市,11
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,migrants,204
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,migrants,186
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,other,0
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,other,0
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,53
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,44
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,合計,222
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,合計,157
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,國外,5
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,國外,2
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,新北市內,0
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,新北市內,0
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,桃園市,71
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,桃園市,48
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,福建省,0
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,福建省,0
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,臺中市,9
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,臺中市,4
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,臺北市,44
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,臺北市,22
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,臺南市,8
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,臺南市,7
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,臺灣省,29
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,臺灣省,26
113,2,17,林口區,,,,無年齡維度,0.0,女,遷出,高雄市,3
113,2,17,林口區,,,,無年齡維度,0.0,男,遷出,高雄市,4
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,migrants,254
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,migrants,251
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,other,0
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,other,0
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,103
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,86
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,合計,423
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,合計,331
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,國外,32
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,國外,18
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,桃園市,81
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,桃園市,89
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,福建省,3
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,福建省,2
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,臺中市,20
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,臺中市,11
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,臺北市,86
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,臺北市,70
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,臺南市,4
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,臺南市,5
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,臺灣省,58
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,臺灣省,26
113,3,17,林口區,,,,無年齡維度,0.0,女,遷入,高雄市,9
113,3,17,林口區,,,,無年齡維度,0.0,男,遷入,高雄市,7
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,migrants,254
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,migrants,251
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,other,0
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,other,0
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,66
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,53
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,合計,268
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,合計,206
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,國外,13
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,國外,2
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,新北市內,0
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,新北市內,0
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,桃園市,101
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,桃園市,76
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,福建省,0
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,福建省,2
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,臺中市,10
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,臺中市,8
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,臺北市,44
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,臺北市,33
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,臺南市,3
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,臺南市,6
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,臺灣省,26
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,臺灣省,19
113,3,17,林口區,,,,無年齡維度,0.0,女,遷出,高雄市,5
113,3,17,林口區,,,,無年齡維度,0.0,男,遷出,高雄市,6
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,migrants,234
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,migrants,215
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,other,0
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,other,0
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,97
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,80
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,合計,418
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,合計,336
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,國外,39
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,國外,19
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,新北市內,0
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,新北市內,0
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,桃園市,108
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,桃園市,73
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,福建省,0
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,福建省,1
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,臺中市,10
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,臺中市,12
113,4,17,林口區,,,,無年齡維度,0.0,女,遷入,臺北市,100
113,4,17,林口區,,,,無年齡維度,0.0,男,遷入,臺北市,93
