民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,migrants,231
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,migrants,233
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,other,0
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,other,0
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,56
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,55
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,合計,370
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,合計,340
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,國外,16
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,國外,15
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,新北市內,0
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,新北市內,0
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,桃園市,21
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,桃園市,11
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,福建省,1
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,福建省,2
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,臺中市,9
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,臺中市,12
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,臺北市,201
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,臺北市,192
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,臺南市,4
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,臺南市,5
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,臺灣省,40
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,臺灣省,37
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,高雄市,10
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,高雄市,4
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,migrants,231
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,migrants,233
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,other,0
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,other,0
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,60
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,57
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,合計,316
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,合計,274
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,國外,27
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,國外,14
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,新北市內,0
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,新北市內,0
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,桃園市,35
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,桃園市,35
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,福建省,3
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,福建省,2
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,臺中市,13
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,臺中市,13
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,臺北市,109
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,臺北市,91
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,臺南市,3
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,臺南市,4
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,臺灣省,56
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,臺灣省,48
114,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,高雄市,10
114,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,高雄市,10
114,2,11,三峽區,,,,無年齡維度,0.0,女,遷入,migrants,426
114,2,11,三峽區,,,,無年齡維度,0.0,男,遷入,migrants,436
114,2,11,三峽區,,,,無年齡維度,0.0,女,遷入,other,0
114,2,11,三峽區,,,,無年齡維度,0.0,男,遷入,other,0
114,2,11,三峽區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
114,2,11,三峽區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
114,2,11,三峽區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,102
114,2,11,三峽區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,76
114,2,11,三峽區,,,,無年齡維度,0.0,女,遷入,合計,822
114,2,11,三峽區,,,,無年齡維度,0.0,男,遷入,合計,681
114,2,11,三峽區,,,,無年齡維度,0.0,女,遷入,國外,17
114,2,11,三峽區,,,,無年齡維度,0.0,男,遷入,國外,11
114,2,11,三峽區,,,,無年齡維度,0.0,女,遷入,新北市內,0
114,2,11,三峽區,,,,無年齡維度,0.0,男,遷入,新北市內,0
114,2,11,三峽區,,,,無年齡維度,0.0,女,遷入,桃園市,47
114,2,11,三峽區,,,,無年齡維度,0.0,男,遷入,桃園市,26
114,2,11,三峽區,,,,無年齡維度,0.0,女,遷入,福建省,9
114,2,11,三峽區,,,,無年齡維度,0.0,男,遷入,福建省,11
