民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,貢寮里,232.0,144734.0,2113.0,234.0,124240.0,5516.0,1425.0,193.0,196.0,9986.0,33.0,786.0,14.0,0.0,95924.0,116418.0,200.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,雙玉里,194.0,134928.0,2516.0,312.0,115552.0,4167.0,2484.0,139.0,32.0,8484.0,0.0,1156.0,0.0,87.0,91251.0,110628.0,5.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,龍崗里,101.0,62107.0,1237.0,776.0,51448.0,2861.0,1076.0,0.0,17.0,4287.0,0.0,393.0,0.0,13.0,40215.0,50875.0,146.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,吉林里,107.0,68738.0,952.0,1203.0,50690.0,2257.0,1675.0,120.0,64.0,10904.0,0.0,703.0,0.0,169.0,37599.0,55646.0,14.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,龍門里,176.0,107087.0,1270.0,281.0,91628.0,2476.0,2237.0,138.0,31.0,8544.0,0.0,385.0,0.0,98.0,69617.0,85076.0,0.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,福隆里,392.0,228216.0,2389.0,2400.0,194957.0,8051.0,4178.0,194.0,585.0,13075.0,0.0,2189.0,0.0,197.0,147900.0,181159.0,87.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,福連里,183.0,112996.0,3581.0,1266.0,87853.0,4888.0,1161.0,187.0,68.0,12254.0,0.0,1344.0,16.0,378.0,65525.0,90668.0,323.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,仁里里,483.0,307528.0,7801.0,2554.0,255363.0,11087.0,3325.0,463.0,145.0,24114.0,0.0,2143.0,0.0,534.0,195890.0,248055.0,18.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,真理里,498.0,286467.0,5166.0,7855.0,232070.0,10105.0,6427.0,341.0,369.0,22700.0,0.0,1358.0,0.0,77.0,175953.0,230506.0,47.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,美豐里,171.0,104261.0,1060.0,1298.0,82481.0,2942.0,1260.0,424.0,29.0,14313.0,0.0,453.0,0.0,0.0,61730.0,83510.0,217.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,和美里,227.0,131547.0,2736.0,183.0,104343.0,5332.0,4984.0,88.0,140.0,12774.0,0.0,619.0,0.0,348.0,77260.0,104474.0,32.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
101,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,合計,2764.0,1688610.0,30821.0,18362.0,1390625.0,59682.0,30232.0,2285.0,1677.0,141433.0,33.0,11530.0,30.0,1900.0,1058863.0,1357014.0,1088.0,,,,,,,,,,,
