民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,東林里,1319.0,939445.0,16894.0,14850.0,681594.0,36143.0,33214.0,4297.0,1170.0,127519.0,988.0,18966.0,516.0,3293.0,517159.0,775010.0,1102.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,林口里,1519.0,1150689.0,18254.0,17286.0,890931.0,47328.0,26397.0,13952.0,856.0,99956.0,290.0,30919.0,202.0,4317.0,701651.0,961408.0,1045.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,西林里,2631.0,2896460.0,53797.0,37679.0,2152299.0,108144.0,65831.0,30189.0,3201.0,365102.0,1422.0,65035.0,1236.0,12526.0,1808288.0,2552446.0,5570.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,湖北里,436.0,341089.0,7585.0,2541.0,254042.0,14772.0,16952.0,1779.0,293.0,28289.0,51.0,13561.0,125.0,1098.0,201780.0,288827.0,672.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,菁湖里,1428.0,1532467.0,16029.0,22626.0,1092326.0,71039.0,54237.0,13464.0,1931.0,231110.0,2254.0,21747.0,97.0,5606.0,912694.0,1352818.0,2227.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,湖南里,5391.0,6046090.0,49307.0,101919.0,4829272.0,179663.0,92684.0,119635.0,11592.0,529395.0,5596.0,90223.0,693.0,36111.0,4115704.0,5332585.0,9032.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,南勢里,4919.0,6346469.0,112667.0,91646.0,4957502.0,199214.0,101543.0,120559.0,11238.0,567484.0,10370.0,122959.0,3097.0,48190.0,4306315.0,5696680.0,13858.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,頂福里,314.0,219242.0,5797.0,1230.0,149832.0,8675.0,17026.0,886.0,99.0,30098.0,0.0,5086.0,0.0,514.0,108492.0,177902.0,66.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,下福里,382.0,272791.0,7379.0,1780.0,199580.0,8704.0,15559.0,638.0,152.0,33243.0,0.0,3610.0,0.0,2146.0,149854.0,223065.0,3.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,嘉寶里,227.0,161724.0,4923.0,1036.0,125468.0,5886.0,3629.0,368.0,131.0,16335.0,0.0,3470.0,70.0,408.0,96153.0,132409.0,288.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,瑞平里,192.0,126129.0,968.0,1176.0,92580.0,5805.0,2927.0,485.0,174.0,16321.0,3.0,5392.0,0.0,297.0,70169.0,103718.0,3.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,太平里,394.0,257399.0,5166.0,1696.0,183098.0,12192.0,15642.0,1734.0,1782.0,16651.0,0.0,19110.0,0.0,329.0,138147.0,212449.0,39.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,中湖里,982.0,916457.0,101873.0,7998.0,622634.0,32728.0,21770.0,7092.0,1331.0,102011.0,190.0,15671.0,0.0,3158.0,499997.0,793820.0,209.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,東勢里,1879.0,1774122.0,15908.0,17225.0,1391978.0,60000.0,34053.0,8780.0,4728.0,200421.0,97.0,33379.0,174.0,7380.0,1144758.0,1526797.0,2195.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,仁愛里,1987.0,2361091.0,23753.0,39119.0,1848692.0,84907.0,35132.0,28782.0,2207.0,228748.0,13857.0,37967.0,2002.0,15925.0,1581492.0,2094065.0,6634.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,麗林里,2457.0,2796329.0,26335.0,33564.0,2313379.0,82435.0,44038.0,21328.0,4075.0,214759.0,4690.0,35543.0,817.0,15367.0,1963848.0,2446662.0,4574.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,麗園里,1204.0,1188025.0,10657.0,8577.0,827216.0,46784.0,29316.0,8927.0,1934.0,224890.0,6956.0,15886.0,213.0,6670.0,671917.0,1032600.0,1414.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,其他,3.0,3367.0,0.0,0.0,2721.0,19.0,0.0,309.0,0.0,310.0,0.0,8.0,0.0,0.0,2277.0,2923.0,0.0,,,,,,,,,,,
102,,17.0,林口區,,,,無年齡維度,0.0,,林口區,合計,27664.0,29329384.0,477291.0,401948.0,22615144.0,1004437.0,609949.0,383205.0,46895.0,3032643.0,46764.0,538531.0,9242.0,163334.0,18990695.0,25706183.0,48932.0,,,,,,,,,,,
