民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,樓厝里,1813.0,1504713.0,21695.0,23037.0,1166136.0,56909.0,37307.0,6685.0,1331.0,173681.0,328.0,10830.0,754.0,6021.0,943218.0,1281674.0,2469.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,保和里,739.0,540668.0,13409.0,11313.0,393420.0,24665.0,16917.0,4271.0,643.0,69796.0,33.0,2470.0,21.0,3710.0,306916.0,454164.0,699.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,得勝里,916.0,794997.0,24223.0,9681.0,487617.0,35160.0,38050.0,2538.0,636.0,181149.0,33.0,4071.0,0.0,11839.0,385161.0,692541.0,416.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,仁復里,574.0,490548.0,9435.0,13459.0,351745.0,26017.0,18812.0,1962.0,412.0,64310.0,0.0,3958.0,0.0,438.0,286504.0,425307.0,405.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,溪墘里,914.0,673331.0,8590.0,3750.0,532824.0,32734.0,16444.0,2059.0,575.0,70088.0,0.0,4045.0,79.0,2143.0,422125.0,562632.0,815.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,中路里,1152.0,814047.0,13890.0,7893.0,650270.0,34872.0,17845.0,2519.0,745.0,76617.0,0.0,8060.0,0.0,1335.0,505991.0,669768.0,460.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,正義里,3593.0,4195245.0,76353.0,76394.0,3032413.0,146264.0,113198.0,22287.0,5576.0,644971.0,696.0,51090.0,668.0,25336.0,2537220.0,3700030.0,4102.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,水湳里,2960.0,2593623.0,48909.0,22813.0,2009061.0,100252.0,46364.0,7745.0,3245.0,317322.0,111.0,25864.0,588.0,11349.0,1624366.0,2208928.0,1797.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,保佑里,1037.0,746013.0,14070.0,9656.0,598224.0,23603.0,15660.0,1725.0,947.0,75564.0,0.0,4506.0,73.0,1986.0,469804.0,617593.0,953.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,樹德里,958.0,963589.0,22636.0,5273.0,595568.0,23899.0,19724.0,1453.0,1409.0,284352.0,0.0,7766.0,265.0,1243.0,475207.0,843148.0,1172.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,中原里,1530.0,1207249.0,33260.0,14157.0,953871.0,43570.0,30615.0,4171.0,1233.0,112668.0,227.0,8399.0,0.0,5077.0,762038.0,1015416.0,1142.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,恆德里,1810.0,1553326.0,23204.0,18734.0,1233766.0,60622.0,43505.0,3980.0,1708.0,130049.0,30.0,20020.0,0.0,17708.0,1008547.0,1328107.0,556.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,光華里,1425.0,1129535.0,18925.0,9297.0,903959.0,49257.0,16349.0,3799.0,1073.0,117183.0,51.0,8101.0,131.0,1411.0,725543.0,950997.0,739.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,鷺江里,1545.0,1468783.0,39291.0,12134.0,1035426.0,60844.0,46258.0,11179.0,1063.0,217934.0,36.0,15366.0,504.0,28748.0,839421.0,1272274.0,1947.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,南港里,1536.0,1130791.0,21665.0,10136.0,932893.0,45331.0,12565.0,4277.0,1320.0,92367.0,81.0,6821.0,297.0,3038.0,733441.0,931788.0,1459.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,永樂里,1665.0,1334911.0,21890.0,19977.0,1050235.0,44010.0,17915.0,2682.0,1013.0,161052.0,1253.0,11960.0,558.0,2366.0,834479.0,1119068.0,1999.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,永康里,1895.0,1449710.0,40575.0,17562.0,1180149.0,39914.0,15165.0,3523.0,1580.0,133569.0,256.0,14887.0,0.0,2530.0,927936.0,1197213.0,493.0,,,,,,,,,,,
103,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,信義里,1155.0,773451.0,26329.0,12026.0,619509.0,24632.0,17039.0,1505.0,1704.0,61730.0,25.0,6560.0,394.0,1999.0,478528.0,632491.0,994.0,,,,,,,,,,,
