民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,海山里,1655.0,1350420.0,15892.0,21672.0,1039300.0,55670.0,34560.0,1086.0,1837.0,163980.0,29.0,8845.0,2064.0,5484.0,807925.0,1119045.0,4120.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,全安里,1394.0,1233654.0,13902.0,18796.0,981730.0,48701.0,21820.0,1136.0,1963.0,110269.0,15628.0,14989.0,239.0,4481.0,779309.0,1031113.0,1710.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,文衡里,671.0,633163.0,6287.0,21018.0,434502.0,35774.0,45445.0,2217.0,787.0,70378.0,4808.0,10944.0,0.0,1002.0,343431.0,542092.0,356.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,興漢里,1102.0,998095.0,6548.0,24088.0,684301.0,55578.0,30175.0,1483.0,841.0,170456.0,933.0,19493.0,1286.0,2912.0,535718.0,849512.0,3490.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,榮和里,897.0,741340.0,7852.0,11272.0,507992.0,49771.0,32998.0,549.0,709.0,89716.0,0.0,38978.0,34.0,1468.0,397843.0,631191.0,766.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,文德里,537.0,483013.0,4725.0,8076.0,383071.0,21847.0,14232.0,984.0,379.0,41768.0,0.0,5347.0,0.0,2584.0,307397.0,407339.0,248.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,文明里,584.0,534018.0,10224.0,10241.0,388361.0,22194.0,16458.0,941.0,765.0,78536.0,0.0,5410.0,80.0,808.0,306690.0,452348.0,384.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,中港里,2054.0,1692976.0,19252.0,30139.0,1277799.0,71426.0,72335.0,2340.0,2077.0,201551.0,115.0,11930.0,547.0,3465.0,986961.0,1402138.0,2696.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,頭前里,2718.0,3103983.0,35245.0,143582.0,2072513.0,125103.0,132157.0,19130.0,2852.0,502759.0,16531.0,34097.0,859.0,19156.0,1679798.0,2711269.0,4185.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,丹鳳里,2404.0,1844027.0,31598.0,20537.0,1554467.0,44079.0,22202.0,5787.0,2485.0,140101.0,1972.0,13133.0,1068.0,6598.0,1183224.0,1472968.0,3667.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,西盛里,3422.0,2841190.0,59179.0,27794.0,2132024.0,93283.0,93451.0,5537.0,3131.0,392528.0,705.0,31121.0,165.0,2272.0,1606599.0,2315737.0,1950.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,瓊林里,1639.0,1226479.0,24902.0,12044.0,984942.0,45314.0,35577.0,1690.0,1377.0,107569.0,546.0,9317.0,1.0,3201.0,742969.0,984507.0,415.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,營盤里,794.0,595414.0,10662.0,4595.0,397965.0,33118.0,59370.0,1338.0,870.0,80704.0,0.0,3031.0,0.0,3761.0,299171.0,496620.0,473.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,後港里,2296.0,1718886.0,18401.0,22654.0,1435966.0,59867.0,40353.0,2691.0,3600.0,115238.0,108.0,16563.0,429.0,3017.0,1092046.0,1375372.0,2575.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,國泰里,484.0,363014.0,4367.0,2132.0,238756.0,16668.0,15336.0,426.0,289.0,82406.0,68.0,2047.0,20.0,499.0,174124.0,298382.0,364.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,立人里,768.0,796296.0,6418.0,18777.0,599844.0,54246.0,14506.0,1503.0,680.0,84636.0,142.0,11305.0,294.0,3946.0,491512.0,687960.0,1261.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,恆安里,1356.0,1189480.0,8495.0,14068.0,971365.0,56338.0,25197.0,1622.0,1179.0,95843.0,23.0,13175.0,626.0,1548.0,770874.0,989229.0,2220.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,思源里,1691.0,1353831.0,18200.0,12874.0,1059325.0,53687.0,56890.0,1498.0,1162.0,129710.0,871.0,13913.0,104.0,5599.0,814569.0,1109076.0,1728.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,化成里,1215.0,1062752.0,33122.0,24218.0,691598.0,50639.0,61787.0,4342.0,894.0,169020.0,738.0,14014.0,134.0,12246.0,527638.0,898925.0,1466.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,福基里,1532.0,1559034.0,21388.0,38596.0,1094456.0,65609.0,80901.0,13833.0,2382.0,218215.0,1080.0,17931.0,103.0,4539.0,874347.0,1338710.0,2013.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,思賢里,1312.0,1097512.0,5473.0,19713.0,907362.0,43051.0,11644.0,1098.0,1363.0,78407.0,1154.0,26592.0,13.0,1644.0,709724.0,899863.0,850.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,中美里,1687.0,1302958.0,14632.0,14696.0,1036282.0,68780.0,41896.0,1693.0,1477.0,108468.0,631.0,10008.0,617.0,3780.0,802339.0,1068889.0,2043.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,中和里,1409.0,1108619.0,11499.0,16456.0,859174.0,45557.0,27911.0,2513.0,1333.0,126527.0,658.0,11684.0,247.0,5061.0,661577.0,911022.0,1145.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,中泰里,1248.0,860369.0,9147.0,17513.0,728632.0,26693.0,15957.0,1328.0,1099.0,51590.0,2.0,7243.0,508.0,656.0,552606.0,684239.0,1625.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,立言里,1702.0,1503335.0,11032.0,22842.0,1169153.0,59745.0,19924.0,3111.0,1532.0,202148.0,409.0,11813.0,173.0,1453.0,916932.0,1251083.0,1613.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,立功里,1016.0,707734.0,8767.0,8721.0,593221.0,25344.0,12886.0,1272.0,1121.0,49085.0,273.0,6007.0,51.0,988.0,443072.0,557585.0,625.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,立德里,840.0,786127.0,10338.0,19684.0,547366.0,37938.0,41553.0,1555.0,834.0,118124.0,38.0,6781.0,184.0,1732.0,433439.0,672200.0,918.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,豐年里,1114.0,798168.0,10695.0,7674.0,667778.0,24845.0,12656.0,854.0,1073.0,61971.0,0.0,8869.0,413.0,1340.0,506908.0,637954.0,1269.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,忠孝里,1533.0,1250592.0,12490.0,17445.0,1006601.0,48194.0,23169.0,1818.0,1292.0,117063.0,34.0,20634.0,149.0,1703.0,787620.0,1031560.0,1321.0,,,,,,,,,,,
105,,5.0,新莊區,,,,無年齡維度,0.0,,新莊區,立志里,1156.0,944024.0,11363.0,12494.0,754669.0,39013.0,17451.0,883.0,1099.0,100109.0,710.0,4736.0,61.0,1435.0,582532.0,771887.0,839.0,,,,,,,,,,,
