民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,仁德里,526.0,411660.0,1656.0,4132.0,346725.0,15241.0,4216.0,417.0,696.0,32695.0,0.0,4904.0,23.0,955.0,267100.0,332035.0,582.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,義民里,429.0,319864.0,3335.0,8520.0,239084.0,15271.0,13310.0,936.0,442.0,33441.0,0.0,5109.0,36.0,380.0,183724.0,264505.0,362.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,禮門里,317.0,288263.0,898.0,4321.0,201665.0,10214.0,7255.0,167.0,454.0,28094.0,0.0,33849.0,0.0,1346.0,156938.0,243536.0,290.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,智慧里,1597.0,1642544.0,12784.0,23258.0,1360719.0,49809.0,19597.0,5715.0,1870.0,138894.0,7986.0,15951.0,301.0,5660.0,1117339.0,1399094.0,3097.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,信望里,101.0,111306.0,1222.0,5844.0,53730.0,5407.0,10121.0,438.0,138.0,32200.0,0.0,626.0,0.0,1580.0,41144.0,98719.0,124.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,橋東里,935.0,796923.0,4656.0,12315.0,652043.0,27579.0,11985.0,2016.0,1112.0,73138.0,94.0,8955.0,131.0,2899.0,511927.0,656807.0,833.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,茄苳里,1341.0,1024167.0,9293.0,8845.0,907666.0,25261.0,10360.0,1294.0,1356.0,48304.0,292.0,8755.0,95.0,2646.0,691928.0,808429.0,1068.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,保安里,496.0,356203.0,7365.0,9459.0,278318.0,10263.0,15807.0,444.0,665.0,32280.0,0.0,1578.0,0.0,25.0,204597.0,282483.0,27.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,保長里,1424.0,1124503.0,13740.0,12509.0,998948.0,26682.0,9622.0,3156.0,2019.0,44384.0,1178.0,8469.0,0.0,3798.0,769926.0,895481.0,835.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,鄉長里,695.0,519703.0,4896.0,4486.0,444403.0,16103.0,6319.0,368.0,524.0,34569.0,842.0,3914.0,0.0,3279.0,337030.0,412330.0,350.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,江北里,1874.0,1414663.0,19063.0,18749.0,1217414.0,39099.0,20378.0,2070.0,1829.0,81939.0,676.0,10103.0,421.0,2922.0,931305.0,1128361.0,1430.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,烘內里,465.0,389666.0,10033.0,9615.0,292146.0,17548.0,10795.0,1316.0,463.0,41812.0,574.0,1808.0,0.0,3554.0,228776.0,326296.0,649.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,拱北里,1410.0,957530.0,8549.0,14628.0,854291.0,23631.0,10033.0,1043.0,1680.0,35047.0,89.0,7598.0,73.0,866.0,647605.0,750843.0,1582.0,,,,,,,,,,,
105,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,樟樹里,669.0,450225.0,6046.0,4555.0,376982.0,14036.0,16652.0,150.0,581.0,26782.0,122.0,2998.0,0.0,1321.0,283015.0,356258.0,473.0,,,,,,,,,,,
