民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,下溪里,1202.0,1219335.0,20441.0,18300.0,950017.0,44587.0,27139.0,1833.0,1617.0,114119.0,2286.0,16955.0,1684.0,20357.0,776061.0,1045136.0,5067.0,,,,,,,,,,,
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,中溪里,1679.0,1647078.0,7331.0,29382.0,1305751.0,87282.0,30788.0,1945.0,3056.0,143498.0,2984.0,16138.0,175.0,18748.0,1073093.0,1414293.0,2697.0,,,,,,,,,,,
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,上溪里,655.0,639090.0,4702.0,8837.0,492531.0,30774.0,25910.0,650.0,631.0,59034.0,2028.0,10883.0,29.0,3079.0,407122.0,553681.0,998.0,,,,,,,,,,,
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,後溪里,659.0,694278.0,6067.0,10675.0,522245.0,36192.0,36149.0,3531.0,1059.0,65442.0,1701.0,5747.0,272.0,5197.0,433174.0,605207.0,1507.0,,,,,,,,,,,
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,頂溪里,867.0,865298.0,7008.0,13961.0,678630.0,48777.0,12405.0,1395.0,686.0,92525.0,28.0,8405.0,308.0,1171.0,558676.0,745268.0,2325.0,,,,,,,,,,,
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,網溪里,351.0,327679.0,1648.0,6799.0,265741.0,16565.0,4889.0,522.0,626.0,28029.0,0.0,2269.0,484.0,106.0,217542.0,279382.0,1575.0,,,,,,,,,,,
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,復興里,800.0,770592.0,6369.0,11460.0,602097.0,42258.0,18427.0,1160.0,780.0,72258.0,1338.0,8795.0,254.0,5393.0,497213.0,665551.0,2905.0,,,,,,,,,,,
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,竹林里,1228.0,1124439.0,6466.0,17461.0,900755.0,64563.0,23259.0,1855.0,1288.0,93831.0,305.0,11464.0,277.0,2915.0,731720.0,955399.0,2015.0,,,,,,,,,,,
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,中興里,944.0,961505.0,8298.0,26045.0,694590.0,56313.0,40791.0,8598.0,984.0,112571.0,1410.0,9781.0,0.0,2124.0,575163.0,842078.0,1191.0,,,,,,,,,,,
106,,4.0,永和區,,,,無年齡維度,0.0,,永和區,店街里,1448.0,1679354.0,10369.0,26399.0,1224506.0,91431.0,50701.0,13345.0,1669.0,219559.0,2287.0,23775.0,683.0,14631.0,1028021.0,1482708.0,5498.0,,,,,,,,,,,
