民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,深坑里,956.0,828405.0,9218.0,19737.0,685414.0,31343.0,12978.0,2608.0,1247.0,56835.0,0.0,6380.0,170.0,2475.0,473127.0,615495.0,1590.0,,,,,,,,,新北市,,
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,萬順里,776.0,653358.0,6467.0,11388.0,537949.0,20911.0,13807.0,1661.0,902.0,52769.0,185.0,6322.0,235.0,761.0,360414.0,475793.0,1588.0,,,,,,,,,新北市,,
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,阿柔里,157.0,113706.0,2045.0,739.0,95438.0,4708.0,4616.0,99.0,246.0,5270.0,0.0,341.0,0.0,205.0,61313.0,79581.0,102.0,,,,,,,,,新北市,,
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,昇高里,590.0,500055.0,5964.0,9571.0,411223.0,14599.0,9794.0,967.0,858.0,27056.0,0.0,18959.0,322.0,741.0,282490.0,371015.0,1511.0,,,,,,,,,新北市,,
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,土庫里,841.0,703861.0,7902.0,9171.0,600276.0,17553.0,8407.0,333.0,868.0,46828.0,2168.0,9483.0,73.0,798.0,400423.0,503728.0,768.0,,,,,,,,,新北市,,
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,埔新里,1880.0,1707351.0,13256.0,31214.0,1432946.0,53066.0,24665.0,2248.0,1829.0,124536.0,1082.0,18320.0,714.0,3476.0,1005092.0,1279017.0,3049.0,,,,,,,,,新北市,,
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,萬福里,793.0,790203.0,6577.0,13714.0,578113.0,19798.0,17806.0,2445.0,1243.0,130885.0,561.0,7321.0,701.0,11038.0,410348.0,537817.0,2484.0,,,,,,,,,新北市,,
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,賴仲里,700.0,628898.0,7953.0,15804.0,510777.0,22642.0,12802.0,2716.0,567.0,48061.0,109.0,6076.0,37.0,1354.0,360323.0,478444.0,1679.0,,,,,,,,,新北市,,
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,新北市,,
107,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,合計,6693.0,5925838.0,59383.0,111338.0,4852136.0,184619.0,104875.0,13077.0,7760.0,492240.0,4105.0,73202.0,2253.0,20849.0,3353529.0,4340891.0,12771.0,,,,,,,,,新北市,,
