民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,中原里,2566.0,2674890.0,61761.0,81902.0,1821573.0,77834.0,108364.0,33378.0,4501.0,383149.0,5705.0,78624.0,2097.0,16003.0,,,6848.0,,,,,,,,,新北市,2395544.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,平河里,2995.0,2225679.0,41452.0,45324.0,1737849.0,69212.0,49421.0,4829.0,4654.0,218100.0,5937.0,40568.0,788.0,7545.0,,,4240.0,,,,,,,,,新北市,2426377.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,力行里,2033.0,1651538.0,11813.0,39078.0,1304474.0,69006.0,28231.0,5216.0,2509.0,154415.0,2687.0,25663.0,253.0,8193.0,,,2672.0,,,,,,,,,新北市,1765438.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,枋寮里,1201.0,938387.0,10134.0,15389.0,709792.0,39930.0,27561.0,995.0,1996.0,113829.0,1504.0,12027.0,7.0,5226.0,,,962.0,,,,,,,,,新北市,961432.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,廟美里,1410.0,908485.0,13749.0,27796.0,660042.0,40826.0,40387.0,11139.0,1646.0,97891.0,0.0,11632.0,821.0,2556.0,,,2719.0,,,,,,,,,新北市,956146.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,瓦磘里,1763.0,1345506.0,12689.0,39544.0,1082667.0,48439.0,27023.0,2399.0,2737.0,95496.0,920.0,19706.0,751.0,13138.0,,,4792.0,,,,,,,,,新北市,1468335.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,積穗里,2742.0,2200335.0,26052.0,48487.0,1684448.0,74675.0,86174.0,7033.0,4284.0,209211.0,2177.0,47934.0,862.0,8998.0,,,5011.0,,,,,,,,,新北市,2319105.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,瑞穗里,755.0,526842.0,4664.0,8246.0,411486.0,18461.0,15142.0,3783.0,1027.0,48529.0,2135.0,8851.0,75.0,4444.0,,,1270.0,,,,,,,,,新北市,576536.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,灰磘里,201.0,136730.0,14725.0,3437.0,93094.0,4404.0,6167.0,316.0,357.0,12789.0,0.0,1407.0,28.0,7.0,,,272.0,,,,,,,,,新北市,136042.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,錦和里,1714.0,1231992.0,27572.0,24329.0,899382.0,43417.0,35517.0,3364.0,3354.0,169043.0,217.0,18187.0,1327.0,6283.0,,,4588.0,,,,,,,,,新北市,1294058.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,內南里,1434.0,804051.0,19942.0,20815.0,614058.0,30565.0,14436.0,633.0,1238.0,91798.0,193.0,8275.0,137.0,1960.0,,,1111.0,,,,,,,,,新北市,924288.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,外南里,1403.0,915837.0,13558.0,20018.0,751294.0,32397.0,13068.0,2242.0,1499.0,56270.0,1108.0,20808.0,469.0,3106.0,,,2153.0,,,,,,,,,新北市,1055870.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,頂南里,902.0,603419.0,9476.0,15165.0,441317.0,23328.0,6416.0,1222.0,1057.0,91092.0,0.0,9750.0,581.0,4015.0,,,1566.0,,,,,,,,,新北市,637729.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,橫路里,86.0,42790.0,437.0,1470.0,27198.0,2540.0,5326.0,0.0,46.0,5082.0,277.0,265.0,0.0,150.0,,,97.0,,,,,,,,,新北市,43813.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,連和里,911.0,740880.0,7618.0,13765.0,558402.0,30646.0,27346.0,3190.0,1274.0,73081.0,281.0,18537.0,589.0,6151.0,,,3537.0,,,,,,,,,新北市,747918.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,漳和里,1334.0,1112037.0,17552.0,27826.0,808189.0,55987.0,33511.0,4274.0,1543.0,143570.0,185.0,14106.0,523.0,4772.0,,,3778.0,,,,,,,,,新北市,1094202.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,秀山里,1387.0,952166.0,16070.0,15546.0,746959.0,40093.0,9167.0,2096.0,1666.0,105712.0,1684.0,11180.0,102.0,1891.0,,,1472.0,,,,,,,,,新北市,1047812.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,員山里,2045.0,1610325.0,40986.0,25836.0,1261228.0,54800.0,44373.0,4290.0,3591.0,136263.0,922.0,31725.0,785.0,5524.0,,,2921.0,,,,,,,,,新北市,1731271.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,安樂里,1263.0,1205151.0,8500.0,26909.0,873796.0,66646.0,36489.0,5265.0,1702.0,139407.0,1512.0,27601.0,790.0,16534.0,,,3501.0,,,,,,,,,新北市,1137006.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,壽德里,1364.0,1013498.0,10692.0,19491.0,816791.0,43335.0,16665.0,2560.0,2201.0,83759.0,279.0,14609.0,888.0,2229.0,,,2944.0,,,,,,,,,新北市,1132610.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,新南里,2861.0,2574616.0,21960.0,54346.0,2052887.0,108476.0,39306.0,3735.0,3897.0,228168.0,3425.0,45766.0,2527.0,10122.0,,,9458.0,,,,,,,,,新北市,2702795.0,
109,,3.0,中和區,,,,無年齡維度,0.0,,中和區,崇南里,1488.0,1103123.0,7447.0,25244.0,885544.0,46671.0,16780.0,4515.0,2022.0,80774.0,4374.0,15399.0,822.0,13532.0,,,3298.0,,,,,,,,,新北市,1211836.0,
