民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
112,,,,,,,無年齡維度,0.0,,,海山里,,1439715.0,19211.0,20377.0,1006282.0,92899.0,32386.0,2149.0,2453.0,239027.0,54.0,21403.0,0.0,3474.0,,,900.0,1824.0,,,,,,,,,1409877.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,全安里,,1196615.0,19816.0,37874.0,864550.0,70726.0,26523.0,6047.0,2034.0,146025.0,937.0,16919.0,187.0,4976.0,,,1844.0,1421.0,,,,,,,,,1185088.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,文衡里,,726427.0,14430.0,15440.0,411104.0,65502.0,42105.0,511.0,1023.0,165797.0,42.0,7743.0,330.0,2400.0,,,820.0,727.0,,,,,,,,,562768.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,興漢里,,918923.0,7477.0,22940.0,554378.0,74039.0,27078.0,1391.0,1395.0,206285.0,0.0,21387.0,160.0,2394.0,,,991.0,1063.0,,,,,,,,,776488.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,榮和里,,1252334.0,18849.0,27394.0,805473.0,105024.0,71360.0,9157.0,1517.0,183489.0,2.0,25868.0,248.0,3952.0,,,1539.0,1175.0,,,,,,,,,1054581.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,文德里,,524766.0,7272.0,9072.0,367995.0,43862.0,22151.0,111.0,1426.0,60019.0,2.0,9375.0,223.0,3257.0,,,756.0,585.0,,,,,,,,,499443.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,文明里,,495828.0,14183.0,7316.0,306324.0,27440.0,20292.0,2105.0,869.0,108795.0,0.0,8375.0,0.0,128.0,,,549.0,541.0,,,,,,,,,421426.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,中港里,,1689760.0,36227.0,52556.0,1134607.0,113668.0,70660.0,8464.0,2984.0,239520.0,834.0,20775.0,532.0,8932.0,,,2176.0,2030.0,,,,,,,,,1588317.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,頭前里,,6713545.0,86753.0,187549.0,4167947.0,472438.0,253999.0,31505.0,8948.0,1226728.0,14847.0,217454.0,6440.0,38936.0,,,16982.0,4524.0,,,,,,,,,5199996.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,丹鳳里,,2170103.0,47862.0,33178.0,1665758.0,94937.0,29419.0,6040.0,6821.0,245571.0,45.0,34471.0,311.0,5691.0,,,3149.0,2877.0,,,,,,,,,2371138.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,西盛里,,3985944.0,113657.0,66011.0,2679093.0,222012.0,140844.0,9663.0,7189.0,671784.0,1102.0,63474.0,495.0,10620.0,,,4061.0,4782.0,,,,,,,,,3846079.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,瓊林里,,994536.0,25336.0,18069.0,713040.0,62666.0,20372.0,1803.0,1824.0,133983.0,0.0,13635.0,148.0,3658.0,,,841.0,1483.0,,,,,,,,,1046848.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,營盤里,,431683.0,6726.0,5510.0,243889.0,51780.0,33841.0,1447.0,969.0,73225.0,343.0,6707.0,0.0,7247.0,,,480.0,616.0,,,,,,,,,358145.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,後港里,,1683010.0,22133.0,29342.0,1259042.0,94460.0,33265.0,3238.0,3416.0,196112.0,606.0,38530.0,518.0,2347.0,,,2449.0,2470.0,,,,,,,,,1815680.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,國泰里,,326273.0,4938.0,3414.0,187559.0,28238.0,14502.0,5626.0,775.0,69536.0,13.0,3818.0,228.0,7625.0,,,751.0,460.0,,,,,,,,,281775.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,立人里,,755960.0,2407.0,23930.0,473148.0,70665.0,20283.0,1779.0,982.0,124376.0,13688.0,14217.0,462.0,10023.0,,,1665.0,701.0,,,,,,,,,624350.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,恆安里,,1129320.0,16012.0,27357.0,811172.0,71078.0,35608.0,1500.0,1863.0,145539.0,1.0,15792.0,337.0,3063.0,,,2234.0,1417.0,,,,,,,,,1124385.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,思源里,,1287954.0,31147.0,25704.0,869366.0,101786.0,61245.0,4564.0,2252.0,163096.0,1160.0,22943.0,403.0,4288.0,,,1686.0,1729.0,,,,,,,,,1259612.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,化成里,,1583045.0,52006.0,26801.0,931817.0,121200.0,87483.0,7026.0,2773.0,277099.0,16575.0,51199.0,69.0,8998.0,,,1616.0,1485.0,,,,,,,,,1253778.0,新北市新莊區
112,,,,,,,無年齡維度,0.0,,,福基里,,3304017.0,47428.0,75579.0,2060150.0,239182.0,115368.0,14048.0,4402.0,636215.0,7181.0,89942.0,500.0,14022.0,,,3869.0,2486.0,,,,,,,,,2635832.0,新北市新莊區
