民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2011,item value2,是（欄位說明僅存於新北市統計年報）,1384.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2011,item value3,是（欄位說明僅存於新北市統計年報）,48.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2011,item value4,是（欄位說明僅存於新北市統計年報）,28913.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2011,item value5,是（欄位說明僅存於新北市統計年報）,572.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2011,item value6,是（欄位說明僅存於新北市統計年報）,96.6480446927
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2011,item value7,是（欄位說明僅存於新北市統計年報）,3.3519553073
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2011,item value8,是（欄位說明僅存於新北市統計年報）,98.060030524
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2011,item value9,是（欄位說明僅存於新北市統計年報）,1.939969476
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value2,是（欄位說明僅存於新北市統計年報）,2475.671
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value3,是（欄位說明僅存於新北市統計年報）,1484.533
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value4,是（欄位說明僅存於新北市統計年報）,62.5137240405
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value5,是（欄位說明僅存於新北市統計年報）,37.4862759595
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value6,是（欄位說明僅存於新北市統計年報）,48.4410489116
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value7,是（欄位說明僅存於新北市統計年報）,46.4251720912
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value8,是（欄位說明僅存於新北市統計年報）,3.9146154719
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value9,是（欄位說明僅存於新北市統計年報）,0.1475211396
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value10,是（欄位說明僅存於新北市統計年報）,3.2069285458
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value11,是（欄位說明僅存於新北市統計年報）,0.068977921
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value12,是（欄位說明僅存於新北市統計年報）,41.3195048938
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value13,是（欄位說明僅存於新北市統計年報）,46.2086730305
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value14,是（欄位說明僅存於新北市統計年報）,51.5589510884
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value15,是（欄位說明僅存於新北市統計年報）,53.5748279088
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value16,是（欄位說明僅存於新北市統計年報）,1.0731232058
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value17,是（欄位說明僅存於新北市統計年報）,0.0473549594
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value18,是（欄位說明僅存於新北市統計年報）,49.7808876866
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value19,是（欄位說明僅存於新北市統計年報）,41.7320463742
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value20,是（欄位說明僅存於新北市統計年報）,0.704940196
100,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2011,item value21,是（欄位說明僅存於新北市統計年報）,11.7954265752
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 土城分局,field1,是（欄位說明僅存於新北市統計年報）,7.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 中和第二分局,field1,是（欄位說明僅存於新北市統計年報）,5.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 三峽分局,field1,是（欄位說明僅存於新北市統計年報）,16.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 三重分局,field1,是（欄位說明僅存於新北市統計年報）,7.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 中和第一分局,field1,是（欄位說明僅存於新北市統計年報）,4.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 板橋分局,field1,是（欄位說明僅存於新北市統計年報）,14.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 樹林分局,field1,是（欄位說明僅存於新北市統計年報）,7.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 永和分局,field1,是（欄位說明僅存於新北市統計年報）,2.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 汐止分局,field1,是（欄位說明僅存於新北市統計年報）,4.0
100,,,,,,,欄位未定義,0.0,,交通,新北市政府警察局,每年新北市A1交通事故原因及死傷人數,100 | 淡水分局,field1,是（欄位說明僅存於新北市統計年報）,8.0
