民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
100,1,3,中和區,0歲,0,0,不相關,0.0,男,1322
100,1,3,中和區,0歲,0,0,不相關,0.0,女,1186
100,1,3,中和區,1歲,1,1,不相關,0.0,男,1704
100,1,3,中和區,1歲,1,1,不相關,0.0,女,1524
100,1,3,中和區,2歲,2,2,不相關,0.0,男,1702
100,1,3,中和區,2歲,2,2,不相關,0.0,女,1604
100,1,3,中和區,3歲,3,3,不相關,0.0,男,1717
100,1,3,中和區,3歲,3,3,不相關,0.0,女,1580
100,1,3,中和區,4歲,4,4,不相關,0.0,男,1783
100,1,3,中和區,4歲,4,4,不相關,0.0,女,1598
100,1,3,中和區,5歲,5,5,不相關,0.0,男,1647
100,1,3,中和區,5歲,5,5,不相關,0.0,女,1539
100,1,3,中和區,6歲,6,6,不相關,0.0,男,1791
100,1,3,中和區,6歲,6,6,不相關,0.0,女,1603
100,1,3,中和區,7歲,7,7,不相關,0.0,男,1854
100,1,3,中和區,7歲,7,7,不相關,0.0,女,1589
100,1,3,中和區,8歲,8,8,不相關,0.0,男,1963
100,1,3,中和區,8歲,8,8,不相關,0.0,女,1725
100,1,3,中和區,9歲,9,9,不相關,0.0,男,1772
100,1,3,中和區,9歲,9,9,不相關,0.0,女,1683
100,1,3,中和區,10歲,10,10,不相關,0.0,男,2091
100,1,3,中和區,10歲,10,10,不相關,0.0,女,1996
100,1,3,中和區,11歲,11,11,不相關,0.0,男,1693
100,1,3,中和區,11歲,11,11,不相關,0.0,女,1624
100,1,3,中和區,12歲,12,12,不相關,0.0,男,1630
100,1,3,中和區,12歲,12,12,不相關,0.0,女,1593
100,1,3,中和區,13歲,13,13,不相關,0.0,男,2078
100,1,3,中和區,13歲,13,13,不相關,0.0,女,1993
100,1,3,中和區,14歲,14,14,不相關,0.0,男,2252
100,1,3,中和區,14歲,14,14,不相關,0.0,女,2292
100,1,3,中和區,15歲,15,15,不相關,0.0,男,2503
100,1,3,中和區,15歲,15,15,不相關,0.0,女,2346
100,1,3,中和區,16歲,16,16,不相關,0.0,男,2554
100,1,3,中和區,16歲,16,16,不相關,0.0,女,2306
100,1,3,中和區,17歲,17,17,不相關,0.0,男,2723
100,1,3,中和區,17歲,17,17,不相關,0.0,女,2512
100,1,3,中和區,18歲,18,18,完全落入,1.0,男,2812
100,1,3,中和區,18歲,18,18,完全落入,1.0,女,2441
100,1,3,中和區,19歲,19,19,完全落入,1.0,男,2668
100,1,3,中和區,19歲,19,19,完全落入,1.0,女,2465
100,1,3,中和區,20歲,20,20,完全落入,1.0,男,3077
100,1,3,中和區,20歲,20,20,完全落入,1.0,女,2668
100,1,3,中和區,21歲,21,21,完全落入,1.0,男,2806
100,1,3,中和區,21歲,21,21,完全落入,1.0,女,2636
100,1,3,中和區,22歲,22,22,完全落入,1.0,男,3202
100,1,3,中和區,22歲,22,22,完全落入,1.0,女,2944
100,1,3,中和區,23歲,23,23,完全落入,1.0,男,2915
100,1,3,中和區,23歲,23,23,完全落入,1.0,女,2756
100,1,3,中和區,24歲,24,24,完全落入,1.0,男,2754
100,1,3,中和區,24歲,24,24,完全落入,1.0,女,2716
100,1,3,中和區,25歲,25,25,完全落入,1.0,男,3316
100,1,3,中和區,25歲,25,25,完全落入,1.0,女,3067
100,1,3,中和區,26歲,26,26,完全落入,1.0,男,3683
