民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
100,1,13,汐止區,0歲,0,0,不相關,0.0,男,567
100,1,13,汐止區,0歲,0,0,不相關,0.0,女,513
100,1,13,汐止區,1歲,1,1,不相關,0.0,男,752
100,1,13,汐止區,1歲,1,1,不相關,0.0,女,673
100,1,13,汐止區,2歲,2,2,不相關,0.0,男,738
100,1,13,汐止區,2歲,2,2,不相關,0.0,女,673
100,1,13,汐止區,3歲,3,3,不相關,0.0,男,852
100,1,13,汐止區,3歲,3,3,不相關,0.0,女,724
100,1,13,汐止區,4歲,4,4,不相關,0.0,男,766
100,1,13,汐止區,4歲,4,4,不相關,0.0,女,699
100,1,13,汐止區,5歲,5,5,不相關,0.0,男,758
100,1,13,汐止區,5歲,5,5,不相關,0.0,女,683
100,1,13,汐止區,6歲,6,6,不相關,0.0,男,806
100,1,13,汐止區,6歲,6,6,不相關,0.0,女,710
100,1,13,汐止區,7歲,7,7,不相關,0.0,男,834
100,1,13,汐止區,7歲,7,7,不相關,0.0,女,833
100,1,13,汐止區,8歲,8,8,不相關,0.0,男,893
100,1,13,汐止區,8歲,8,8,不相關,0.0,女,875
100,1,13,汐止區,9歲,9,9,不相關,0.0,男,936
100,1,13,汐止區,9歲,9,9,不相關,0.0,女,863
100,1,13,汐止區,10歲,10,10,不相關,0.0,男,1038
100,1,13,汐止區,10歲,10,10,不相關,0.0,女,950
100,1,13,汐止區,11歲,11,11,不相關,0.0,男,989
100,1,13,汐止區,11歲,11,11,不相關,0.0,女,890
100,1,13,汐止區,12歲,12,12,不相關,0.0,男,877
100,1,13,汐止區,12歲,12,12,不相關,0.0,女,857
100,1,13,汐止區,13歲,13,13,不相關,0.0,男,1152
100,1,13,汐止區,13歲,13,13,不相關,0.0,女,1046
100,1,13,汐止區,14歲,14,14,不相關,0.0,男,1132
100,1,13,汐止區,14歲,14,14,不相關,0.0,女,1057
100,1,13,汐止區,15歲,15,15,不相關,0.0,男,1252
100,1,13,汐止區,15歲,15,15,不相關,0.0,女,1148
100,1,13,汐止區,16歲,16,16,不相關,0.0,男,1341
100,1,13,汐止區,16歲,16,16,不相關,0.0,女,1228
100,1,13,汐止區,17歲,17,17,不相關,0.0,男,1347
100,1,13,汐止區,17歲,17,17,不相關,0.0,女,1210
100,1,13,汐止區,18歲,18,18,完全落入,1.0,男,1334
100,1,13,汐止區,18歲,18,18,完全落入,1.0,女,1231
100,1,13,汐止區,19歲,19,19,完全落入,1.0,男,1370
100,1,13,汐止區,19歲,19,19,完全落入,1.0,女,1199
100,1,13,汐止區,20歲,20,20,完全落入,1.0,男,1419
100,1,13,汐止區,20歲,20,20,完全落入,1.0,女,1292
100,1,13,汐止區,21歲,21,21,完全落入,1.0,男,1214
100,1,13,汐止區,21歲,21,21,完全落入,1.0,女,1106
100,1,13,汐止區,22歲,22,22,完全落入,1.0,男,1330
100,1,13,汐止區,22歲,22,22,完全落入,1.0,女,1248
100,1,13,汐止區,23歲,23,23,完全落入,1.0,男,1138
100,1,13,汐止區,23歲,23,23,完全落入,1.0,女,1080
100,1,13,汐止區,24歲,24,24,完全落入,1.0,男,1065
100,1,13,汐止區,24歲,24,24,完全落入,1.0,女,1080
100,1,13,汐止區,25歲,25,25,完全落入,1.0,男,1266
100,1,13,汐止區,25歲,25,25,完全落入,1.0,女,1225
100,1,13,汐止區,26歲,26,26,完全落入,1.0,男,1338
100,1,13,汐止區,26歲,26,26,完全落入,1.0,女,1293
100,1,13,汐止區,27歲,27,27,完全落入,1.0,男,1461
100,1,13,汐止區,27歲,27,27,完全落入,1.0,女,1359
100,1,13,汐止區,28歲,28,28,完全落入,1.0,男,1642
100,1,13,汐止區,28歲,28,28,完全落入,1.0,女,1534
100,1,13,汐止區,29歲,29,29,完全落入,1.0,男,1648
100,1,13,汐止區,29歲,29,29,完全落入,1.0,女,1561
100,1,13,汐止區,30歲,30,30,完全落入,1.0,男,1724
100,1,13,汐止區,30歲,30,30,完全落入,1.0,女,1740
100,1,13,汐止區,31歲,31,31,完全落入,1.0,男,1881
100,1,13,汐止區,31歲,31,31,完全落入,1.0,女,1853
100,1,13,汐止區,32歲,32,32,完全落入,1.0,男,1746
100,1,13,汐止區,32歲,32,32,完全落入,1.0,女,1737
100,1,13,汐止區,33歲,33,33,完全落入,1.0,男,1640
100,1,13,汐止區,33歲,33,33,完全落入,1.0,女,1632
100,1,13,汐止區,34歲,34,34,完全落入,1.0,男,1914
100,1,13,汐止區,34歲,34,34,完全落入,1.0,女,1935
100,1,13,汐止區,35歲,35,35,完全落入,1.0,男,1667
100,1,13,汐止區,35歲,35,35,完全落入,1.0,女,1660
100,1,13,汐止區,36歲,36,36,不相關,0.0,男,1666
100,1,13,汐止區,36歲,36,36,不相關,0.0,女,1583
100,1,13,汐止區,37歲,37,37,不相關,0.0,男,1681
100,1,13,汐止區,37歲,37,37,不相關,0.0,女,1622
100,1,13,汐止區,38歲,38,38,不相關,0.0,男,1621
100,1,13,汐止區,38歲,38,38,不相關,0.0,女,1701
100,1,13,汐止區,39歲,39,39,不相關,0.0,男,1768
100,1,13,汐止區,39歲,39,39,不相關,0.0,女,1688
100,1,13,汐止區,40歲,40,40,不相關,0.0,男,1821
100,1,13,汐止區,40歲,40,40,不相關,0.0,女,1873
100,1,13,汐止區,41歲,41,41,不相關,0.0,男,1838
100,1,13,汐止區,41歲,41,41,不相關,0.0,女,1878
100,1,13,汐止區,42歲,42,42,不相關,0.0,男,1800
100,1,13,汐止區,42歲,42,42,不相關,0.0,女,1956
100,1,13,汐止區,43歲,43,43,不相關,0.0,男,1816
100,1,13,汐止區,43歲,43,43,不相關,0.0,女,1884
100,1,13,汐止區,44歲,44,44,不相關,0.0,男,1938
100,1,13,汐止區,44歲,44,44,不相關,0.0,女,1940
100,1,13,汐止區,45歲,45,45,不相關,0.0,男,1880
100,1,13,汐止區,45歲,45,45,不相關,0.0,女,2004
100,1,13,汐止區,46歲,46,46,不相關,0.0,男,1951
100,1,13,汐止區,46歲,46,46,不相關,0.0,女,1977
100,1,13,汐止區,47歲,47,47,不相關,0.0,男,1941
100,1,13,汐止區,47歲,47,47,不相關,0.0,女,1981
100,1,13,汐止區,48歲,48,48,不相關,0.0,男,1834
