民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
101,1,12,淡水區,0歲,0,0,不相關,0.0,男,577
101,1,12,淡水區,0歲,0,0,不相關,0.0,女,551
101,1,12,淡水區,1歲,1,1,不相關,0.0,男,490
101,1,12,淡水區,1歲,1,1,不相關,0.0,女,437
101,1,12,淡水區,2歲,2,2,不相關,0.0,男,574
101,1,12,淡水區,2歲,2,2,不相關,0.0,女,545
101,1,12,淡水區,3歲,3,3,不相關,0.0,男,543
101,1,12,淡水區,3歲,3,3,不相關,0.0,女,529
101,1,12,淡水區,4歲,4,4,不相關,0.0,男,621
101,1,12,淡水區,4歲,4,4,不相關,0.0,女,555
101,1,12,淡水區,5歲,5,5,不相關,0.0,男,699
101,1,12,淡水區,5歲,5,5,不相關,0.0,女,595
101,1,12,淡水區,6歲,6,6,不相關,0.0,男,612
101,1,12,淡水區,6歲,6,6,不相關,0.0,女,581
101,1,12,淡水區,7歲,7,7,不相關,0.0,男,718
101,1,12,淡水區,7歲,7,7,不相關,0.0,女,599
101,1,12,淡水區,8歲,8,8,不相關,0.0,男,687
101,1,12,淡水區,8歲,8,8,不相關,0.0,女,659
101,1,12,淡水區,9歲,9,9,不相關,0.0,男,779
101,1,12,淡水區,9歲,9,9,不相關,0.0,女,714
101,1,12,淡水區,10歲,10,10,不相關,0.0,男,779
101,1,12,淡水區,10歲,10,10,不相關,0.0,女,660
101,1,12,淡水區,11歲,11,11,不相關,0.0,男,892
101,1,12,淡水區,11歲,11,11,不相關,0.0,女,853
101,1,12,淡水區,12歲,12,12,不相關,0.0,男,792
101,1,12,淡水區,12歲,12,12,不相關,0.0,女,740
101,1,12,淡水區,13歲,13,13,不相關,0.0,男,756
101,1,12,淡水區,13歲,13,13,不相關,0.0,女,739
101,1,12,淡水區,14歲,14,14,不相關,0.0,男,933
101,1,12,淡水區,14歲,14,14,不相關,0.0,女,918
101,1,12,淡水區,15歲,15,15,不相關,0.0,男,956
101,1,12,淡水區,15歲,15,15,不相關,0.0,女,864
101,1,12,淡水區,16歲,16,16,不相關,0.0,男,980
101,1,12,淡水區,16歲,16,16,不相關,0.0,女,940
101,1,12,淡水區,17歲,17,17,不相關,0.0,男,1003
101,1,12,淡水區,17歲,17,17,不相關,0.0,女,914
101,1,12,淡水區,18歲,18,18,完全落入,1.0,男,1059
101,1,12,淡水區,18歲,18,18,完全落入,1.0,女,957
101,1,12,淡水區,19歲,19,19,完全落入,1.0,男,1014
101,1,12,淡水區,19歲,19,19,完全落入,1.0,女,922
101,1,12,淡水區,20歲,20,20,完全落入,1.0,男,1123
101,1,12,淡水區,20歲,20,20,完全落入,1.0,女,922
101,1,12,淡水區,21歲,21,21,完全落入,1.0,男,1014
101,1,12,淡水區,21歲,21,21,完全落入,1.0,女,1011
101,1,12,淡水區,22歲,22,22,完全落入,1.0,男,936
101,1,12,淡水區,22歲,22,22,完全落入,1.0,女,911
101,1,12,淡水區,23歲,23,23,完全落入,1.0,男,1044
101,1,12,淡水區,23歲,23,23,完全落入,1.0,女,970
101,1,12,淡水區,24歲,24,24,完全落入,1.0,男,932
101,1,12,淡水區,24歲,24,24,完全落入,1.0,女,892
