民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
101,1,25,萬里區,0歲,0,0,不相關,0.0,男,100
101,1,25,萬里區,0歲,0,0,不相關,0.0,女,108
101,1,25,萬里區,1歲,1,1,不相關,0.0,男,109
101,1,25,萬里區,1歲,1,1,不相關,0.0,女,93
101,1,25,萬里區,2歲,2,2,不相關,0.0,男,103
101,1,25,萬里區,2歲,2,2,不相關,0.0,女,97
101,1,25,萬里區,3歲,3,3,不相關,0.0,男,112
101,1,25,萬里區,3歲,3,3,不相關,0.0,女,100
101,1,25,萬里區,4歲,4,4,不相關,0.0,男,109
101,1,25,萬里區,4歲,4,4,不相關,0.0,女,104
101,1,25,萬里區,5歲,5,5,不相關,0.0,男,101
101,1,25,萬里區,5歲,5,5,不相關,0.0,女,88
101,1,25,萬里區,6歲,6,6,不相關,0.0,男,74
101,1,25,萬里區,6歲,6,6,不相關,0.0,女,66
101,1,25,萬里區,7歲,7,7,不相關,0.0,男,100
101,1,25,萬里區,7歲,7,7,不相關,0.0,女,92
101,1,25,萬里區,8歲,8,8,不相關,0.0,男,95
101,1,25,萬里區,8歲,8,8,不相關,0.0,女,83
101,1,25,萬里區,9歲,9,9,不相關,0.0,男,118
101,1,25,萬里區,9歲,9,9,不相關,0.0,女,105
101,1,25,萬里區,10歲,10,10,不相關,0.0,男,102
101,1,25,萬里區,10歲,10,10,不相關,0.0,女,96
101,1,25,萬里區,11歲,11,11,不相關,0.0,男,104
101,1,25,萬里區,11歲,11,11,不相關,0.0,女,96
101,1,25,萬里區,12歲,12,12,不相關,0.0,男,94
101,1,25,萬里區,12歲,12,12,不相關,0.0,女,87
101,1,25,萬里區,13歲,13,13,不相關,0.0,男,116
101,1,25,萬里區,13歲,13,13,不相關,0.0,女,90
101,1,25,萬里區,14歲,14,14,不相關,0.0,男,133
101,1,25,萬里區,14歲,14,14,不相關,0.0,女,119
101,1,25,萬里區,15歲,15,15,不相關,0.0,男,129
101,1,25,萬里區,15歲,15,15,不相關,0.0,女,121
101,1,25,萬里區,16歲,16,16,不相關,0.0,男,125
101,1,25,萬里區,16歲,16,16,不相關,0.0,女,128
101,1,25,萬里區,17歲,17,17,不相關,0.0,男,121
101,1,25,萬里區,17歲,17,17,不相關,0.0,女,129
