民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
104,1,17,林口區,0歲,0,0,不相關,0.0,男,613
104,1,17,林口區,0歲,0,0,不相關,0.0,女,548
104,1,17,林口區,1歲,1,1,不相關,0.0,男,550
104,1,17,林口區,1歲,1,1,不相關,0.0,女,544
104,1,17,林口區,2歲,2,2,不相關,0.0,男,748
104,1,17,林口區,2歲,2,2,不相關,0.0,女,665
104,1,17,林口區,3歲,3,3,不相關,0.0,男,628
104,1,17,林口區,3歲,3,3,不相關,0.0,女,575
104,1,17,林口區,4歲,4,4,不相關,0.0,男,541
104,1,17,林口區,4歲,4,4,不相關,0.0,女,448
104,1,17,林口區,5歲,5,5,不相關,0.0,男,627
104,1,17,林口區,5歲,5,5,不相關,0.0,女,558
104,1,17,林口區,6歲,6,6,不相關,0.0,男,618
104,1,17,林口區,6歲,6,6,不相關,0.0,女,578
104,1,17,林口區,7歲,7,7,不相關,0.0,男,610
104,1,17,林口區,7歲,7,7,不相關,0.0,女,561
104,1,17,林口區,8歲,8,8,不相關,0.0,男,604
104,1,17,林口區,8歲,8,8,不相關,0.0,女,545
104,1,17,林口區,9歲,9,9,不相關,0.0,男,570
104,1,17,林口區,9歲,9,9,不相關,0.0,女,494
104,1,17,林口區,10歲,10,10,不相關,0.0,男,640
104,1,17,林口區,10歲,10,10,不相關,0.0,女,562
104,1,17,林口區,11歲,11,11,不相關,0.0,男,589
104,1,17,林口區,11歲,11,11,不相關,0.0,女,561
104,1,17,林口區,12歲,12,12,不相關,0.0,男,666
104,1,17,林口區,12歲,12,12,不相關,0.0,女,588
104,1,17,林口區,13歲,13,13,不相關,0.0,男,648
104,1,17,林口區,13歲,13,13,不相關,0.0,女,607
104,1,17,林口區,14歲,14,14,不相關,0.0,男,805
104,1,17,林口區,14歲,14,14,不相關,0.0,女,720
104,1,17,林口區,15歲,15,15,不相關,0.0,男,631
104,1,17,林口區,15歲,15,15,不相關,0.0,女,679
104,1,17,林口區,16歲,16,16,不相關,0.0,男,624
104,1,17,林口區,16歲,16,16,不相關,0.0,女,633
104,1,17,林口區,17歲,17,17,不相關,0.0,男,764
104,1,17,林口區,17歲,17,17,不相關,0.0,女,675
104,1,17,林口區,18歲,18,18,完全落入,1.0,男,697
104,1,17,林口區,18歲,18,18,完全落入,1.0,女,679
104,1,17,林口區,19歲,19,19,完全落入,1.0,男,709
104,1,17,林口區,19歲,19,19,完全落入,1.0,女,682
104,1,17,林口區,20歲,20,20,完全落入,1.0,男,672
104,1,17,林口區,20歲,20,20,完全落入,1.0,女,673
104,1,17,林口區,21歲,21,21,完全落入,1.0,男,677
104,1,17,林口區,21歲,21,21,完全落入,1.0,女,624
104,1,17,林口區,22歲,22,22,完全落入,1.0,男,646
104,1,17,林口區,22歲,22,22,完全落入,1.0,女,614
104,1,17,林口區,23歲,23,23,完全落入,1.0,男,648
104,1,17,林口區,23歲,23,23,完全落入,1.0,女,603
104,1,17,林口區,24歲,24,24,完全落入,1.0,男,649
104,1,17,林口區,24歲,24,24,完全落入,1.0,女,624
104,1,17,林口區,25歲,25,25,完全落入,1.0,男,610
104,1,17,林口區,25歲,25,25,完全落入,1.0,女,575
104,1,17,林口區,26歲,26,26,完全落入,1.0,男,676
104,1,17,林口區,26歲,26,26,完全落入,1.0,女,690
104,1,17,林口區,27歲,27,27,完全落入,1.0,男,563
104,1,17,林口區,27歲,27,27,完全落入,1.0,女,571
104,1,17,林口區,28歲,28,28,完全落入,1.0,男,551
104,1,17,林口區,28歲,28,28,完全落入,1.0,女,542
104,1,17,林口區,29歲,29,29,完全落入,1.0,男,599
104,1,17,林口區,29歲,29,29,完全落入,1.0,女,686
104,1,17,林口區,30歲,30,30,完全落入,1.0,男,669
104,1,17,林口區,30歲,30,30,完全落入,1.0,女,741
104,1,17,林口區,31歲,31,31,完全落入,1.0,男,708
104,1,17,林口區,31歲,31,31,完全落入,1.0,女,779
104,1,17,林口區,32歲,32,32,完全落入,1.0,男,728
104,1,17,林口區,32歲,32,32,完全落入,1.0,女,899
104,1,17,林口區,33歲,33,33,完全落入,1.0,男,802
104,1,17,林口區,33歲,33,33,完全落入,1.0,女,959
104,1,17,林口區,34歲,34,34,完全落入,1.0,男,825
104,1,17,林口區,34歲,34,34,完全落入,1.0,女,914
104,1,17,林口區,35歲,35,35,完全落入,1.0,男,863
104,1,17,林口區,35歲,35,35,完全落入,1.0,女,1049
104,1,17,林口區,36歲,36,36,不相關,0.0,男,892
104,1,17,林口區,36歲,36,36,不相關,0.0,女,1092
104,1,17,林口區,37歲,37,37,不相關,0.0,男,857
104,1,17,林口區,37歲,37,37,不相關,0.0,女,1028
104,1,17,林口區,38歲,38,38,不相關,0.0,男,1045
