民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
107,1,1,板橋區,0歲,0,0,不相關,0.0,男,2107
107,1,1,板橋區,0歲,0,0,不相關,0.0,女,1970
107,1,1,板橋區,1歲,1,1,不相關,0.0,男,2393
107,1,1,板橋區,1歲,1,1,不相關,0.0,女,2365
107,1,1,板橋區,2歲,2,2,不相關,0.0,男,2524
107,1,1,板橋區,2歲,2,2,不相關,0.0,女,2410
107,1,1,板橋區,3歲,3,3,不相關,0.0,男,2581
107,1,1,板橋區,3歲,3,3,不相關,0.0,女,2502
107,1,1,板橋區,4歲,4,4,不相關,0.0,男,2332
107,1,1,板橋區,4歲,4,4,不相關,0.0,女,2145
107,1,1,板橋區,5歲,5,5,不相關,0.0,男,3045
107,1,1,板橋區,5歲,5,5,不相關,0.0,女,2825
107,1,1,板橋區,6歲,6,6,不相關,0.0,男,2699
107,1,1,板橋區,6歲,6,6,不相關,0.0,女,2511
107,1,1,板橋區,7歲,7,7,不相關,0.0,男,2213
107,1,1,板橋區,7歲,7,7,不相關,0.0,女,2010
107,1,1,板橋區,8歲,8,8,不相關,0.0,男,2567
107,1,1,板橋區,8歲,8,8,不相關,0.0,女,2315
107,1,1,板橋區,9歲,9,9,不相關,0.0,男,2618
107,1,1,板橋區,9歲,9,9,不相關,0.0,女,2294
107,1,1,板橋區,10歲,10,10,不相關,0.0,男,2678
107,1,1,板橋區,10歲,10,10,不相關,0.0,女,2414
107,1,1,板橋區,11歲,11,11,不相關,0.0,男,2697
107,1,1,板橋區,11歲,11,11,不相關,0.0,女,2467
107,1,1,板橋區,12歲,12,12,不相關,0.0,男,2548
107,1,1,板橋區,12歲,12,12,不相關,0.0,女,2379
107,1,1,板橋區,13歲,13,13,不相關,0.0,男,2684
107,1,1,板橋區,13歲,13,13,不相關,0.0,女,2445
107,1,1,板橋區,14歲,14,14,不相關,0.0,男,2753
107,1,1,板橋區,14歲,14,14,不相關,0.0,女,2444
107,1,1,板橋區,15歲,15,15,不相關,0.0,男,2892
107,1,1,板橋區,15歲,15,15,不相關,0.0,女,2620
107,1,1,板橋區,16歲,16,16,不相關,0.0,男,2940
107,1,1,板橋區,16歲,16,16,不相關,0.0,女,2710
107,1,1,板橋區,17歲,17,17,不相關,0.0,男,3466
107,1,1,板橋區,17歲,17,17,不相關,0.0,女,3184
107,1,1,板橋區,18歲,18,18,完全落入,1.0,男,3172
107,1,1,板橋區,18歲,18,18,完全落入,1.0,女,2948
107,1,1,板橋區,19歲,19,19,完全落入,1.0,男,2882
107,1,1,板橋區,19歲,19,19,完全落入,1.0,女,2622
107,1,1,板橋區,20歲,20,20,完全落入,1.0,男,3409
107,1,1,板橋區,20歲,20,20,完全落入,1.0,女,3235
107,1,1,板橋區,21歲,21,21,完全落入,1.0,男,3474
107,1,1,板橋區,21歲,21,21,完全落入,1.0,女,3216
107,1,1,板橋區,22歲,22,22,完全落入,1.0,男,3567
107,1,1,板橋區,22歲,22,22,完全落入,1.0,女,3239
107,1,1,板橋區,23歲,23,23,完全落入,1.0,男,3505
